genes	protein	compartment	reactions	uniprot
CD36	protein_CD36	pm	FAt_16_0;FAt_16_2E;FAt_18_0;FAt_18_9Z;FAt_18_9Z12Z;FAt_20_5Z8Z11Z14Z;FAt_hs_10_0;FAt_hs_11_0;FAt_hs_12_0;FAt_hs_13_0;FAt_hs_14_0;FAt_hs_14_5Z;FAt_hs_14_7Z;FAt_hs_14_9Z;FAt_hs_15_0;FAt_hs_16_7Z;FAt_hs_16_9Z;FAt_hs_17_0;FAt_hs_17_10Z;FAt_hs_17_9Z;FAt_hs_18_11Z;FAt_hs_18_13Z;FAt_hs_18_6Z9Z;FAt_hs_18_6Z9Z12Z;FAt_hs_18_6Z9Z12Z15Z;FAt_hs_18_7Z;FAt_hs_18_9E;FAt_hs_18_9Z12Z15Z;FAt_hs_19_0;FAt_hs_20_0;FAt_hs_20_11Z;FAt_hs_20_11Z14Z;FAt_hs_20_11Z14Z17Z;FAt_hs_20_13Z;FAt_hs_20_5Z8Z11Z;FAt_hs_20_5Z8Z11Z14Z17Z;FAt_hs_20_8Z11Z;FAt_hs_20_8Z11Z14Z;FAt_hs_20_8Z11Z14Z17Z;FAt_hs_20_9Z;FAt_hs_21_0;FAt_hs_22_0;FAt_hs_22_10Z13Z16Z;FAt_hs_22_10Z13Z16Z19Z;FAt_hs_22_11Z;FAt_hs_22_13Z;FAt_hs_22_13Z16Z;FAt_hs_22_13Z16Z19Z;FAt_hs_22_4Z7Z10Z13Z16Z;FAt_hs_22_4Z7Z10Z13Z16Z19Z;FAt_hs_22_7Z10Z13Z16Z;FAt_hs_22_7Z10Z13Z16Z19Z;FAt_hs_23_0;FAt_hs_24_0;FAt_hs_24_12Z15Z18Z21Z;FAt_hs_24_15Z;FAt_hs_24_6Z9Z12Z15Z18Z;FAt_hs_24_6Z9Z12Z15Z18Z21Z;FAt_hs_24_9Z12Z15Z18Z;FAt_hs_24_9Z12Z15Z18Z21Z;FAt_hs_26_0;FAt_hs_26_17Z;FAt_hs_4_0;FAt_hs_5_0;FAt_hs_6_0;FAt_hs_7_0;FAt_hs_8_0;FAt_hs_9_0	P16671
CD38	protein_CD38	c	CADPRBPH;CADPRIBH;DNADPL;NADL;NADN;NADPL;NADPN;NMNN	P28907
CD38	protein_CD38	pm	CADPRIBtec;CADPRBPHe;CADPRIBHe;DNADPLe;NADLe;NADNe;NADPLe;NADPNe;NMNNe	P28907
CDC34	protein_CDC34	c	UBIQE1E2T;UBIQE1T	P49427
CDC37	protein_CDC37	c	NTPA	Q16543
CDC42	protein_CDC42	c	NTPG	P60953
CDIPT	protein_CDIPT	c	CDIPT	O14735
CDK2	protein_CDK2	c	PROTSK;PROTTK	P24941
CDK4	protein_CDK4	c	PROTSK;PROTTK	P11802
CDK5	protein_CDK5	c	PROTSK;PROTTK	Q00535
CDK6	protein_CDK6	c	PROTSK;PROTTK	Q00534
CDS2	protein_CDS2	c	CDS	O95674
CFTR	protein_CFTR	pm	Clt;NTPA	P13569
CHAC2	protein_CHAC2	c	GGCLUT2	Q8WUX2
CKB	protein_CKB	c	CK	P12277
CKB	protein_CKB	pm	CKe	P12277
CKM	protein_CKM	c	CK	P06732
CKM	protein_CKM	pm	CKe	P06732
CLCN2	protein_CLCN2	pm	Clt;H_2Clt;It;NO3t	P51788
CLCN3	protein_CLCN3	pm	H_2Clt	P51790
CLCN4	protein_CLCN4	pm	H_2Clt	P51793
CLCN5	protein_CLCN5	pm	H_2Clt	P51795
CLIC1	protein_CLIC1	pm	Clt;It;NO3t	O00299
CLIC2	protein_CLIC2	pm	Clt	O15247
CLIC3	protein_CLIC3	pm	Clt	O95833
CLIC4	protein_CLIC4	pm	Clt;It;NO3t	Q9Y696
CLNS1A	protein_CLNS1A	c	PRMTMMA;PRMTSDMA	P54105
CMPK1	protein_CMPK1	c	5FLUMPK;CYTK1;CYTK13;CYTK2;CYTK8;NDPK1;NDPK3;UMPK1;UMPK5	P30085
CMPK2	protein_CMPK2	c	CYTK1;CYTK13;CYTK2;CYTK8;NDPK1;NDPK3;UMPK1;UMPK5	Q5EBM0
CNDP2	protein_CNDP2	c	2ABUTGLYDP;AMPTASECG;FLDPP;FYDPP;GFDPP;GGDPP;GLDPP;GWDPP;KLDPP;LADPP;LGDPP;LLACPHEHYD;LLDPP;PFDPP;PLDPP;VLDPP	Q96KP4
CNP	protein_CNP	c	23CN3PA;23CN3PC;23CN3PG;23CN3PU	P09543
COASY	protein_COASY	c	DPCOAK;PTPAT	Q13057
COMT	protein_COMT	c	2OHE1MT;2OHE1MT2;2OHE2MT;2OHE2MT2;34DHOXMANDMT;34DHPHAMT;4OHE1MT;4OHE2MT;LDOPAMT;LDPAMMT;SALMCOM;SALMCOM2	P21964
CP	protein_CP	pm	FEROXe	P00450
CPPED1	protein_CPPED1	c	PROTSPP;PROTTPP	Q9BRF8
CPT1A	protein_CPT1A	c	CRNAT_10_0;CRNAT_10_2E;CRNAT_10_2E6Z;CRNAT_10_3OH_S;CRNAT_10_DC;CRNAT_11_0;CRNAT_12_0;CRNAT_12_2E;CRNAT_12_3OH_S;CRNAT_12_DC;CRNAT_13_0;CRNAT_14_0;CRNAT_14_2E;CRNAT_14_3OH_S;CRNAT_14_5E8Z;CRNAT_14_5E8Z3OH_S;CRNAT_14_5Z;CRNAT_14_7Z;CRNAT_14_7Z3OH_S;CRNAT_14_9Z;CRNAT_15_0;CRNAT_16_0;CRNAT_16_2E;CRNAT_16_3OH_S;CRNAT_16_7E10Z3OH_S;CRNAT_16_7Z;CRNAT_16_9Z;CRNAT_16_9Z3OH_S;CRNAT_16_DC;CRNAT_17_0;CRNAT_17_10Z;CRNAT_17_9Z;CRNAT_18_0;CRNAT_18_11Z;CRNAT_18_13Z;CRNAT_18_2E;CRNAT_18_3OH_S;CRNAT_18_6Z9Z;CRNAT_18_6Z9Z12Z;CRNAT_18_6Z9Z12Z15Z;CRNAT_18_7Z;CRNAT_18_9E;CRNAT_18_9Z;CRNAT_18_9Z12Z;CRNAT_18_9Z12Z15Z;CRNAT_18_9Z12Z3OH_S;CRNAT_18_9Z3OH_S;CRNAT_19_0;CRNAT_20_0;CRNAT_20_11Z;CRNAT_20_11Z14Z;CRNAT_20_11Z14Z17Z;CRNAT_20_13Z;CRNAT_20_5Z8Z11Z;CRNAT_20_5Z8Z11Z14Z;CRNAT_20_5Z8Z11Z14Z17Z;CRNAT_20_8Z11Z;CRNAT_20_8Z11Z14Z;CRNAT_20_8Z11Z14Z17Z;CRNAT_20_9Z;CRNAT_21_0;CRNAT_22_0;CRNAT_22_10Z13Z16Z;CRNAT_22_10Z13Z16Z19Z;CRNAT_22_11Z;CRNAT_22_13Z;CRNAT_22_13Z16Z;CRNAT_22_13Z16Z19Z;CRNAT_22_4Z7Z10Z13Z16Z;CRNAT_22_4Z7Z10Z13Z16Z19Z;CRNAT_22_7Z10Z13Z16Z;CRNAT_22_7Z10Z13Z16Z19Z;CRNAT_6_0;CRNAT_6_2E;CRNAT_6_3OH_S;CRNAT_6_DC;CRNAT_7_0;CRNAT_7_3OH_S;CRNAT_7_DC;CRNAT_8_0;CRNAT_8_2E;CRNAT_8_3OH_S;CRNAT_8_DC;CRNAT_9_0;CRNAT_9_3OH_S;PROTKSUCT	P50416
CRPPA	protein_CRPPA	c	R5PCT;RBTCT;RU5PCT	A4D126
CRYL1	protein_CRYL1	c	GULN3D	Q9Y2S2
CSNK1A1	protein_CSNK1A1	c	PROTSK;PROTTK	P48729
CSNK1G1	protein_CSNK1G1	c	PROTSK;PROTTK	Q9HCP0
CSNK1G2	protein_CSNK1G2	c	PROTSK;PROTTK	P78368
CSNK1G3	protein_CSNK1G3	c	PROTSK;PROTTK	Q9Y6M4
CSNK2A1	protein_CSNK2A1	c	PROTSK;PROTTK	P68400
CSNK2A2	protein_CSNK2A2	c	PROTSK;PROTTK	P19784
CSNK2B	protein_CSNK2B	c	PROTSK;PROTTK	P67870
CTH	protein_CTH	c	CYSIL2;CYSL2;CYSLNET;CYSTL1;CYSTL2;SELCYSTL1;SELMETHL1	P32929
CTPS1	protein_CTPS1	c	CTPS1;CTPS2;GLUN	P17812
CTPS2	protein_CTPS2	c	CTPS1;CTPS2;GLUN	Q9NRF8
CUL1	protein_CUL1	c	NEDD8E2CONJT;UBIQE2CONJT	Q13616
CUL2	protein_CUL2	c	UBIQE2CONJT	Q13617
CUL3	protein_CUL3	c	UBIQE2CONJT	Q13618
CUL4A	protein_CUL4A	c	UBIQE2CONJT	Q13619
CUL4B	protein_CUL4B	c	UBIQE2CONJT	Q13620
CUL5	protein_CUL5	c	UBIQE2CONJT	Q93034
CYB561D2	protein_CYB561D2	pm	TMASCBOXt;TMASCBOXt2;TMASCBOXt3	O14569
CYB5A	protein_CYB5A	c	ADRNCHR1ERx;ADRNLQ1ERx_L;AVITE1RCYTB5R;CYTB5ASCBR;CYTBFADSD5_20_8Z11Z14Z;CYTBFADSD5_20_8Z11Z14Z17Z;CYTBFADSD6_18_9Z;CYTBFADSD6_18_9Z12Z;CYTBFADSD6_18_9Z12Z15Z;CYTBFADSD6_20_11Z14Z;CYTBFADSD6_20_11Z14Z17Z;CYTBFADSD9_16_0;CYTBFADSD9_18_0;DOPAQ1ERx_L;DPAMCHR1ERx;DPAMQ1ERx_L;DPCHR1ERx_L;ESTRADIOL23Q1ERx;ESTRADIOL34Q1ERx;ESTRONE23Q1ERx;ESTRONE34Q1ERx;FCYTOB5OXR;IND56Q1ERx;METHBCYTBR;NRPPHRCHR1ERx;NRPPHRQ1ERx_L	P00167
CYB5B	protein_CYB5B	c	ADRNCHR1ERx;ADRNLQ1ERx_L;AVITE1RCYTB5R;CYTB5ASCBR;CYTBFADSD5_20_8Z11Z14Z;CYTBFADSD5_20_8Z11Z14Z17Z;CYTBFADSD6_18_9Z;CYTBFADSD6_18_9Z12Z;CYTBFADSD6_18_9Z12Z15Z;CYTBFADSD6_20_11Z14Z;CYTBFADSD6_20_11Z14Z17Z;CYTBFADSD9_16_0;CYTBFADSD9_18_0;DOPAQ1ERx_L;DPAMCHR1ERx;DPAMQ1ERx_L;DPCHR1ERx_L;ESTRADIOL23Q1ERx;ESTRADIOL34Q1ERx;ESTRONE23Q1ERx;ESTRONE34Q1ERx;FCYTOB5OXR;IND56Q1ERx;METHBCYTBR;NRPPHRCHR1ERx;NRPPHRQ1ERx_L	O43169
CYB5R3	protein_CYB5R3	c	ADRNCHR1ERx;ADRNLQ1ERx_L;AVITE1RCYTB5R;CYTB5ASCBR;DOPAQ1ERx_L;DPAMCHR1ERx;DPAMQ1ERx_L;DPCHR1ERx_L;ESTRADIOL23Q1ERx;ESTRADIOL34Q1ERx;ESTRONE23Q1ERx;ESTRONE34Q1ERx;FCYTOB5OXR;IND56Q1ERx;NRPPHRCHR1ERx;NRPPHRQ1ERx_L	P00387
CYBRD1	protein_CYBRD1	pm	TMASCBOXt;TMASCBOXt2;TMASCBOXt3	Q53TN4
DAGLA	protein_DAGLA	c	DAGL1;DAGL2;TAGL	Q9Y4D2
DAGLB	protein_DAGLB	c	DAGL1;DAGL2;TAGL	Q8NCG7
DARS1	protein_DARS1	c	ASPTRS	P14868
DCAF11	protein_DCAF11	c	UBIQE2CONJT	Q8TEB1
DCAF6	protein_DCAF6	c	UBIQE2CONJT	Q58WW2
DCAF7	protein_DCAF7	c	UBIQE2CONJT	P61962
DCTPP1	protein_DCTPP1	c	NDPC;NTPPDC	Q9H773
DCXR	protein_DCXR	c	XYLUR_Ly	Q7Z4W1
DDB1	protein_DDB1	c	UBIQE2CONJT	Q16531
DDT	protein_DDT	c	DOPACHRMDC_D	P30046
DERA	protein_DERA	c	DRPA	Q9Y315
DERL1	protein_DERL1	c	NTPA	Q9BUN8
DGKA	protein_DGKA	c	DAGK;DAGOACK;DAGOK;MAGOK	P23743
DHFR	protein_DHFR	c	DHFRy	P00374
DHRS11	protein_DHRS11	c	5ADHTRy;ANDRSTNDNRy;ESTRONEDHy;PRGSTRNRy	Q6UWP2
DNM2	protein_DNM2	c	NTPG	P50570
DNM3	protein_DNM3	c	NTPG	Q9UQ16
DNPEP	protein_DNPEP	c	ANGIO2ASPH	Q9ULA0
DNPH1	protein_DNPH1	c	DAMPNH;DCMPNH;DGMPNH;DIMPNH;DTMPNH;DUMPNH	O43598
DPP3	protein_DPP3	c	ANGIO2DDP;ANGIO3ARGH;ANGIO4DDP	Q9NY33
DPYD	protein_DPYD	c	D5FURADy;DTHYMy;DURADy	Q12882
DTYMK	protein_DTYMK	c	DTMPK1;DTMPK2;DUMPK1;DUMPK2	P23919
DUSP23	protein_DUSP23	c	PROTSPP;PROTTPP;PROTYPP	Q9BVJ7
EBP	protein_EBP	c	CHLSTD78I;CHLSTI1	Q15125
ECHDC1	protein_ECHDC1	c	EMCD;MMCD	Q9NTX5
EEF2	protein_EEF2	c	NTPG	P13639
ELOB	protein_ELOB	c	UBIQE2CONJT	Q15370
ELOC	protein_ELOC	c	UBIQE2CONJT	Q15369
EMB	protein_EMB	pm	2HB_5OXPROtex;2HB_ACACtex;2HB_ACtex;2HB_BUTtex;2HB_DLACtex;2HB_GLYCLTtex;2HB_PPAtex;2HBt2;2OBUT_2HBtex;2OBUT_5OXPROtex;2OBUT_ACACtex;2OBUT_ACtex;2OBUT_BUTtex;2OBUT_DLACtex;2OBUT_GLYCLTtex;2OBUT_LLACtex;2OBUT_PPAtex;2OBUTt;3MOBt2;4MOPt2;5OXPRO_ACACtex;5OXPRO_ACtex;5OXPRO_BUTtex;5OXPRO_DLACtex;5OXPRO_GLYCLTtex;5OXPRO_PPAtex;5OXPROt2;ACAC_ACtex;ACAC_GLYCLTtex;ACACt2;AC_GLYCLTtex;ACt2;BUT_ACACtex;BUT_ACtex;BUT_GLYCLTtex;BUT_PPAtex;BUTt2r;DLAC_ACACtex;DLAC_ACtex;DLAC_BUTtex;DLAC_GLYCLTtex;DLAC_PPAtex;D_LACt2;GLYCLTt2;H2SUCCt;LLAC_2HBtex;LLAC_5OXPROtex;LLAC_ACACtex;LLAC_ACtex;LLAC_BUTtex;LLAC_DLACtex;LLAC_GLYCLTtex;LLAC_PPAtex;L_LACt2;PPA_ACACtex;PPA_ACtex;PPA_GLYCLTtex;PPAt2r;PYR_2HBtex;PYR_2OBUTtex;PYR_5OXPROtex;PYR_ACACtex;PYR_ACtex;PYR_BUTtex;PYR_DLACtex;PYR_GLYCLTtex;PYR_LLACtex;PYR_PPAtex;PYRt2	Q6PCB8
ENO1	protein_ENO1	c	ENO	P06733
ENO2	protein_ENO2	c	ENO	P09104
ENO3	protein_ENO3	c	ENO	P13929
ENOPH1	protein_ENOPH1	c	ENOPH	Q9UHY7
ENTPD1	protein_ENTPD1	pm	NDPADPe;NTPAe	P49961
EPHX1	protein_EPHX1	c	EDP1011EPHX;EDP1314EPHX;EDP1617EPHX;EDP1920EPHX;EDP78EPHX;EEQ1112EPHX;EEQ1415EPHX;EEQ1718EPHX;EEQ56EPHX;EEQ89EPHX;EET1112EPHX;EET1314EPHX;EET56EPHX;EET89EPHX;EPOME1213EPHX;EPOME910EPHX	P07099
EPHX2	protein_EPHX2	c	EDP1011EPHX;EDP1314EPHX;EDP1617EPHX;EDP1920EPHX;EDP78EPHX;EEQ1112EPHX;EEQ1415EPHX;EEQ1718EPHX;EEQ56EPHX;EEQ89EPHX;EET1112EPHX;EET1314EPHX;EET56EPHX;EET89EPHX;EPOME1213EPHX;EPOME910EPHX	P34913
EPRS1	protein_EPRS1	c	GLUTRS;PROTRS	P07814
ESD	protein_ESD	c	AC4OACNAMDC;AC9OACNAMDC;SFGTH	P10768
FABP1	protein_FABP1	pm	FAt_16_0;FAt_16_2E;FAt_18_0;FAt_18_9Z;FAt_18_9Z12Z;FAt_20_5Z8Z11Z14Z;FAt_hs_10_0;FAt_hs_11_0;FAt_hs_12_0;FAt_hs_13_0;FAt_hs_14_0;FAt_hs_14_5Z;FAt_hs_14_7Z;FAt_hs_14_9Z;FAt_hs_15_0;FAt_hs_16_7Z;FAt_hs_16_9Z;FAt_hs_17_0;FAt_hs_17_10Z;FAt_hs_17_9Z;FAt_hs_18_11Z;FAt_hs_18_13Z;FAt_hs_18_6Z9Z;FAt_hs_18_6Z9Z12Z;FAt_hs_18_6Z9Z12Z15Z;FAt_hs_18_7Z;FAt_hs_18_9E;FAt_hs_18_9Z12Z15Z;FAt_hs_19_0;FAt_hs_20_0;FAt_hs_20_11Z;FAt_hs_20_11Z14Z;FAt_hs_20_11Z14Z17Z;FAt_hs_20_13Z;FAt_hs_20_5Z8Z11Z;FAt_hs_20_5Z8Z11Z14Z17Z;FAt_hs_20_8Z11Z;FAt_hs_20_8Z11Z14Z;FAt_hs_20_8Z11Z14Z17Z;FAt_hs_20_9Z;FAt_hs_21_0;FAt_hs_22_0;FAt_hs_22_10Z13Z16Z;FAt_hs_22_10Z13Z16Z19Z;FAt_hs_22_11Z;FAt_hs_22_13Z;FAt_hs_22_13Z16Z;FAt_hs_22_13Z16Z19Z;FAt_hs_22_4Z7Z10Z13Z16Z;FAt_hs_22_4Z7Z10Z13Z16Z19Z;FAt_hs_22_7Z10Z13Z16Z;FAt_hs_22_7Z10Z13Z16Z19Z;FAt_hs_23_0;FAt_hs_24_0;FAt_hs_24_12Z15Z18Z21Z;FAt_hs_24_15Z;FAt_hs_24_6Z9Z12Z15Z18Z;FAt_hs_24_6Z9Z12Z15Z18Z21Z;FAt_hs_24_9Z12Z15Z18Z;FAt_hs_24_9Z12Z15Z18Z21Z;FAt_hs_26_0;FAt_hs_26_17Z;FAt_hs_4_0;FAt_hs_5_0;FAt_hs_6_0;FAt_hs_7_0;FAt_hs_8_0;FAt_hs_9_0	P07148
FABP5	protein_FABP5	pm	FAt_16_0;FAt_16_2E;FAt_18_0;FAt_18_9Z;FAt_18_9Z12Z;FAt_20_5Z8Z11Z14Z;FAt_hs_10_0;FAt_hs_11_0;FAt_hs_12_0;FAt_hs_13_0;FAt_hs_14_0;FAt_hs_14_5Z;FAt_hs_14_7Z;FAt_hs_14_9Z;FAt_hs_15_0;FAt_hs_16_7Z;FAt_hs_16_9Z;FAt_hs_17_0;FAt_hs_17_10Z;FAt_hs_17_9Z;FAt_hs_18_11Z;FAt_hs_18_13Z;FAt_hs_18_6Z9Z;FAt_hs_18_6Z9Z12Z;FAt_hs_18_6Z9Z12Z15Z;FAt_hs_18_7Z;FAt_hs_18_9E;FAt_hs_18_9Z12Z15Z;FAt_hs_19_0;FAt_hs_20_0;FAt_hs_20_11Z;FAt_hs_20_11Z14Z;FAt_hs_20_11Z14Z17Z;FAt_hs_20_13Z;FAt_hs_20_5Z8Z11Z;FAt_hs_20_5Z8Z11Z14Z17Z;FAt_hs_20_8Z11Z;FAt_hs_20_8Z11Z14Z;FAt_hs_20_8Z11Z14Z17Z;FAt_hs_20_9Z;FAt_hs_21_0;FAt_hs_22_0;FAt_hs_22_10Z13Z16Z;FAt_hs_22_10Z13Z16Z19Z;FAt_hs_22_11Z;FAt_hs_22_13Z;FAt_hs_22_13Z16Z;FAt_hs_22_13Z16Z19Z;FAt_hs_22_4Z7Z10Z13Z16Z;FAt_hs_22_4Z7Z10Z13Z16Z19Z;FAt_hs_22_7Z10Z13Z16Z;FAt_hs_22_7Z10Z13Z16Z19Z;FAt_hs_23_0;FAt_hs_24_0;FAt_hs_24_12Z15Z18Z21Z;FAt_hs_24_15Z;FAt_hs_24_6Z9Z12Z15Z18Z;FAt_hs_24_6Z9Z12Z15Z18Z21Z;FAt_hs_24_9Z12Z15Z18Z;FAt_hs_24_9Z12Z15Z18Z21Z;FAt_hs_26_0;FAt_hs_26_17Z;FAt_hs_4_0;FAt_hs_5_0;FAt_hs_6_0;FAt_hs_7_0;FAt_hs_8_0;FAt_hs_9_0	Q01469
FADS1	protein_FADS1	c	CYTBFADSD5_20_8Z11Z14Z;CYTBFADSD5_20_8Z11Z14Z17Z	O60427
FADS2	protein_FADS2	c	CYTBFADSD6_18_9Z;CYTBFADSD6_18_9Z12Z;CYTBFADSD6_18_9Z12Z15Z;CYTBFADSD6_20_11Z14Z;CYTBFADSD6_20_11Z14Z17Z	O95864
FAF1	protein_FAF1	c	NTPA	Q9UNN5
FAF2	protein_FAF2	c	NTPA	Q96CS3
FAH	protein_FAH	c	FUMAC;FUMAC2	P16930
FAHD1	protein_FAHD1	c	OAADC	Q6P587
FARSA	protein_FARSA	c	PHETRS	Q9Y285
FARSB	protein_FARSB	c	PHETRS	Q9NSD9
FASN	protein_FASN	c	3OHAACPDH1;3OHAACPDH2;3OHAACPDH3;3OHAACPDH4;3OHAACPDH5;3OHAACPDH6;3OHAACPDH7;3OHAACPDH8;3OXAACPR1y;3OXAACPR2y;3OXAACPR3y;3OXAACPR4y;3OXAACPR5y;3OXAACPR6y;3OXAACPR7y;3OXAACPR8y;ACOATA;BKAACPSYN1;BKAACPSYN2;BKAACPSYN3;BKAACPSYN4;BKAACPSYN5;BKAACPSYN6;BKAACPSYN7;BKAACPSYN8;EACPR1y;EACPR2y;EACPR3y;EACPR4y;EACPR5y;EACPR6y;EACPR7y;EACPR8y;FA120ACPH;FA140ACPH;FA160ACPH;FA180ACPH;MCOATA	P49327
FBXL20	protein_FBXL20	c	UBIQE2CONJT	Q96IG2
FBXO4	protein_FBXO4	c	UBIQE2CONJT	Q9UKT5
FBXO7	protein_FBXO7	c	UBIQE2CONJT	Q9Y3I1
FCSK	protein_FCSK	c	FK	Q8N0W3
FDPS	protein_FDPS	c	DMATT;GRTT	P14324
FH	protein_FH	c	FUM	P07954
FIG4	protein_FIG4	c	PI345P5P;PI35P5P;PI45P5P	Q92562
FKBP1A	protein_FKBP1A	c	PEPTDPROI	P62942
FKBP2	protein_FKBP2	c	PEPTDPROI	P26885
FKBP3	protein_FKBP3	c	PEPTDPROI	Q00688
FKBP4	protein_FKBP4	c	PEPTDPROI	Q02790
FKBP5	protein_FKBP5	c	PEPTDPROI	Q13451
FLAD1	protein_FLAD1	c	FMNAT	Q8NFF5
FLVCR1	protein_FLVCR1	pm	PHEMEt	Q9Y5Y0
FN3K	protein_FN3K	c	FRU3K;PROTKFRU3K;PROTKRBLK	Q9H479
FN3KRP	protein_FN3KRP	c	PROTKRBLK	Q9HA64
FTH1	protein_FTH1	c	FISC	P02794
FTL	protein_FTL	c	FISC	P02792
FUT1	protein_FUT1	c	FUTGAL2A;FUTGLOBO1;FUTINLC8CER1;FUTINLC8CER2;FUTLC4CER;FUTLC5CER;FUTNLC5CER;FUTNLC6CER;FUTNLC7CER;FUTPGBSIDE	P19526
FXN	protein_FXN	c	FEROX	Q16595
FYN	protein_FYN	c	PROTYK	P06241
G6PD	protein_G6PD	c	G6PDH2	P11413
GALE	protein_GALE	c	UAG4E;UDPG4E	Q14376
GALK1	protein_GALK1	c	GALK	P51570
GALK2	protein_GALK2	c	GALK	Q01415
GALM	protein_GALM	c	GALM;GLCM	Q96C23
GALNT10	protein_GALNT10	c	PROTSACGALT;PROTTACGALT	Q86SR1
GALNT2	protein_GALNT2	c	PROTSACGALT;PROTTACGALT	Q10471
GALNT4	protein_GALNT4	c	PROTSACGALT;PROTTACGALT	Q8N4A0
GALNT5	protein_GALNT5	c	PROTSACGALT;PROTTACGALT	Q7Z7M9
GALNT6	protein_GALNT6	c	PROTSACGALT;PROTTACGALT	Q8NCL4
GALNT7	protein_GALNT7	c	PROTSACGALT;PROTTACGALT	Q86SF2
GALT	protein_GALT	c	UGLT	P07902
GAPDH	protein_GAPDH	c	E4PD;GAPD;NADHHR;NADHHS	P04406
GAPDHS	protein_GAPDHS	c	GAPD	O14556
GARS1	protein_GARS1	c	AP4ASYN;GLYTRS	P41250
GART	protein_GART	c	GARFT;PRAGS;PRAIS	P22102
GBE1	protein_GBE1	c	GLBRAN	Q04446
GCH1	protein_GCH1	c	GTPCH1;GTPCH2;GTPCH3;GTPCH4	P30793
GCLC	protein_GCLC	c	GLU2ABUTS;GLUCYS	P48506
GCLM	protein_GCLM	c	GLU2ABUTS;GLUCYS	P48507
GCNT2	protein_GCNT2	c	ACGAMNT2	Q8N0V5
GDE1	protein_GDE1	c	GPDDA2;GPDDA3;GPDDA5;GPDDA6	Q9NZC3
GDPD1	protein_GDPD1	c	GPDDA6;LNAPELPLD;LPCLPLD;LPCOLPLD;LPELPLD	Q8N9F7
GFUS	protein_GFUS	c	GFUCSx;GFUCSy	Q13630
GGCT	protein_GGCT	c	GGLUCT2ABUT;GGLUCTC	O75223
GLO1	protein_GLO1	c	LGTHL	Q04760
GLRX	protein_GLRX	c	GRDX2CGTHR;GRDX2CGTHRDG;GTHNODN;PRDX1GRDX2CDG;SNOCYSDN;SRDX1GRDX2CDG	P35754
GLUL	protein_GLUL	c	GLNS	P15104
GMDS	protein_GMDS	c	GMAND	O60547
GMPPA	protein_GMPPA	c	MAN1PT	Q96IJ6
GMPPB	protein_GMPPB	c	MAN1PT	Q9Y5P6
GMPR	protein_GMPR	c	GMPR	P36959
GMPR2	protein_GMPR2	c	GMPR	Q9P2T1
GMPS	protein_GMPS	c	GLUN;GMPS;GMPS2;THIOGMPS;THIOGMPS2	P49915
GNPDA1	protein_GNPDA1	c	G6PDA	P46926
GNPDA2	protein_GNPDA2	c	G6PDA	Q8TDQ7
GOT1	protein_GOT1	c	2ABUTTA;3SALATA;ASPTA;CYSTA;EHGLAT;GOATA;GTHGLXTA;GTHOXATA;LCYSTAT;OPHGLXTA;OPHOXATA;PHETA1;TYRTA;UNK3	P17174
GOT2	protein_GOT2	c	3HKYNAKGAT;CYSTA;KYNAKGAT;LCYSTAT;PHETA1;TYRTA	P00505
GPCPD1	protein_GPCPD1	c	GPDDA1;GPDDA2	Q9NPB8
GPHN	protein_GPHN	c	MPMOBDT;MPTAT	Q9NQX3
GPI	protein_GPI	c	G6PM;PGI	P06744
GPT	protein_GPT	c	ALATA_L;VANILPYR	P24298
GPX1	protein_GPX1	c	GTHP;HPDHA10GTHR;HPDHA11GTHR;HPDHA13GTHR;HPDHA14GTHR;HPDHA16GTHR;HPDHA17GTHR;HPDHA20GTHR;HPDHA4GTHR;HPDHA7GTHR;HPDHA8GTHR;HPEPE11GTHR;HPEPE12GTHR;HPEPE15GTHR;HPEPE18GTHR;HPEPE5GTHR;HPEPE8GTHR;HPEPE9GTHR;HPETE11GTHR;HPETE12GTHR;HPETE15GTHR;HPETE5GTHR;HPETE8GTHR;HPETE9GTHR;HPODE13GTHR;HPODE9GTHR;PGG1GTHR;PGG2GTHR;PGG3GTHR;SELDIGTHOXy;SELGTHGTHR	P07203
GPX4	protein_GPX4	c	GTHP;HPDHA10GTHR;HPDHA11GTHR;HPDHA13GTHR;HPDHA14GTHR;HPDHA16GTHR;HPDHA17GTHR;HPDHA20GTHR;HPDHA4GTHR;HPDHA7GTHR;HPDHA8GTHR;HPEPE11GTHR;HPEPE12GTHR;HPEPE15GTHR;HPEPE18GTHR;HPEPE5GTHR;HPEPE8GTHR;HPEPE9GTHR;HPETE11GTHR;HPETE12GTHR;HPETE15GTHR;HPETE5GTHR;HPETE8GTHR;HPETE9GTHR;HPODE13GTHR;HPODE9GTHR;PGG1GTHR;PGG2GTHR;PGG3GTHR	P36969
GRHPR	protein_GRHPR	c	GLYCLTDy;HPYRRx_R;HPYRRy_R;LALDO2x;LALDO2y	Q9UBQ7
GRIA1	protein_GRIA1	pm	CA2t;Kt1;LIt;MG2tec;NAt	P42261
GSK3A	protein_GSK3A	c	PROTSK;PROTTK	P49840
GSR	protein_GSR	c	GTHOx;GTHOy	P00390
GSS	protein_GSS	c	GTHS;GTHS2	P48637
