genes	name	uniprot	ncbigene	hgnc.symbol	proteomic evidence (#studies)	proteomic evidence (pubmed)	references	notes
CLIC1	CLIC1	O00299	1192	CLIC1	21	pubmed:16861337;pubmed:18614565;pubmed:23781972;pubmed:24555563;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591		
CSNK1A1	KC1A	P48729	1452	CSNK1A1	21	pubmed:16861337;pubmed:18399644;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:19758581;pubmed:22415086;pubmed:30898060;pubmed:3866141	
DDB1	DDB1	Q16531	1642	DDB1	21	pubmed:16861337;pubmed:18399644;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591		
EEF2	EF2	P13639	1938	EEF2	21	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26078478;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
ESD	ESTD	P10768	2098	ESD	21	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:22157974;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:3456572;pubmed:3462728;pubmed:3770744;pubmed:93000	
GFUS	FCL	Q13630	7264	GFUS	21	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:72567;pubmed:7448421	
GLO1	LGUL	Q04760	2739	GLO1	21	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:3196289;pubmed:93000	
HBD	HBD	P02042	3045	HBD	21	pubmed:18399644;pubmed:18614565;pubmed:22954596;pubmed:23781972;pubmed:24555563;pubmed:26078478;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:15449937	
KRAS	RASK	P01116	3845	KRAS	21	pubmed:16861337;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
LDHA	LDHA	P00338	3939	LDHA	21	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:8906464	
PAFAH1B3	PA1B3	Q15102	5050	PAFAH1B3	21	pubmed:18494517;pubmed:18614565;pubmed:22157974;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:21844189;pubmed:8440681	
PARK7	PARK7	Q99497	11315	PARK7	21	pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:27470541	
PEPD	PEPD	P12955	5184	PEPD	21	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:395949;pubmed:6058286;pubmed:7063276	
RAB10	RAB10	P61026	10890	RAB10	21	pubmed:16861337;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591		
RAB8A	RAB8A	P61006	4218	RAB8A	21	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323		
RAP1A	RAP1A	P62834	5906	RAP1A	21	pubmed:12362340;pubmed:14963112;pubmed:16861337;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
RUVBL2	RUVB2	Q9Y230	10856	RUVBL2	21	pubmed:16861337;pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:10524211	
SELENBP1	SBP1	Q13228	8991	SELENBP1	21	pubmed:18614565;pubmed:22157974;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:29255262;pubmed:33616868	
SLC4A1	B3AT	P02730	6521	SLC4A1	21	pubmed:12362340;pubmed:24555563;pubmed:26078478;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:23864610;pubmed:34669510;pubmed:9581022	
SOD1	SODC	P00441	6647	SOD1	21	pubmed:16861337;pubmed:18614565;pubmed:22954596;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:214140;pubmed:6770891;pubmed:901548	
UBA1	UBA1	P22314	7317	UBA1	21	pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:18494517;pubmed:18614565;pubmed:1986373;pubmed:22954596;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001	
UBAC1	UBAC1	Q9BSL1	10422	UBAC1	21	pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591		
ACTB	ACTB	P60709	60	ACTB	20	pubmed:12362340;pubmed:16861337;pubmed:18399644;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:25717184;pubmed:27055045;pubmed:284418;pubmed:35020457;pubmed:6682109	
ATP1A1	AT1A1	P05023	476	ATP1A1	20	pubmed:16861337;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:10952709;pubmed:12388775;pubmed:9159180	
ATP6V1B2	VATB2	P21281	526	ATP6V1B2	20	pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:33341364;pubmed:7796469	
BSG	BASI	P35613	682	BSG	20	pubmed:16861337;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:26195724;pubmed:28409866	
CBR1	CBR1	P16152	873	CBR1	20	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:8070312	
CNP	CN37	P09543	1267	CNP	20	pubmed:16861337;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:6119115;pubmed:6274404;pubmed:6328143	
CUL2	CUL2	Q13617	8453	CUL2	20	pubmed:16861337;pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323		
CYB5R3	NB5R3	P00387	1727	CYB5R3	20	pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:13449071;pubmed:4401234;pubmed:4403130	
DARS1	SYDC	P14868	1615	DARS1	20	pubmed:16861337;pubmed:18399644;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:19421340;pubmed:35976696	
DERA	DEOC	Q9Y315	51071	DERA	20	pubmed:16861337;pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:25229427;pubmed:4989681	
ENO2	ENOG	P09104	2026	ENO2	20	pubmed:16861337;pubmed:18494517;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:6301709	
FASN	FAS	P49327	2194	FASN	20	pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:4379089	
GPI	G6PI	P06744	2821	GPI	20	pubmed:14963112;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26078478;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:5135316;pubmed:6934695	
HBQ1	HBAT	P09105	3049	HBQ1	20	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:2239920	
HSP90AA1	HS90A	P07900	3320	HSP90AA1	20	pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:2070838;pubmed:33832207	
MPST	THTM	P25325	4357	MPST	20	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:4828222;pubmed:6938201	
MTHFD1	C1TC	P11586	4522	MTHFD1	20	pubmed:14963112;pubmed:19778645;pubmed:24555563;pubmed:26078478;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:4726849	
NPEPPS	PSA	P55786	9520	NPEPPS	20	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:22157974;pubmed:23781972;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:7002549	
NSF	NSF	P46459	4905	NSF	20	pubmed:16861337;pubmed:18399644;pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
PAFAH1B1	LIS1	P43034	5048	PAFAH1B1	20	pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:21844189;pubmed:8440681	
PDXP	PLPP	Q96GD0	57026	PDXP	20	pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:1322411;pubmed:8125926	
PFAS	PUR4	O15067	5198	PFAS	20	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
PGD	6PGD	P52209	5226	PGD	20	pubmed:16861337;pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:3932573;pubmed:3994686;pubmed:521257	
PPIA	PPIA	P62937	5478	PPIA	20	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26078478;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	doi:10.2220/biomedres.17.213;pubmed:3280030;pubmed:3538549	
SLC29A1	S29A1	Q99808	2030	SLC29A1	20	pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:26271157;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:23219802;pubmed:25896650;pubmed:33690842;pubmed:3379069;pubmed:9605565	
TPI1	TPIS	P60174	7167	TPI1	20	pubmed:22954596;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:14559119;pubmed:5169140;pubmed:8444148	
TXN	THIO	P10599	7295	TXN	20	pubmed:16861337;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:8554614	
USP5	UBP5	P45974	8078	USP5	20	pubmed:22954596;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:7851534	
WARS1	SYWC	P23381	7453	WARS1	20	pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:19421340;pubmed:35976696	
YARS1	SYYC	P54577	8565	YARS1	20	pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:19421340;pubmed:35976696	
ABCB6	ABCB6	Q9NP58	10058	ABCB6	19	pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:26271157;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:22655043;pubmed:27239515;pubmed:29749379	
ABCC4	MRP4	O15439	10257	ABCC4	19	pubmed:16861337;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:26271157;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:15794947;pubmed:32996603	
AK1	KAD1	P00568	203	AK1	19	pubmed:16861337;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:1332781;pubmed:6934695	
CA3	CAH3	P07451	761	CA3	19	pubmed:14963112;pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:4958988;pubmed:4975695	
CUL1	CUL1	Q13616	8454	CUL1	19	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
DDT	DOPD	P30046	1652	DDT	19	pubmed:14963112;pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:22157974;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:31812320;pubmed:8898931	
DNM2	DYN2	P50570	1785	DNM2	19	pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
FAH	FAAA	P16930	2184	FAH	19	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:11468232;pubmed:2378358	
G6PD	G6PD	P11413	2539	G6PD	19	pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:16888458;pubmed:19997026;pubmed:3126064;pubmed:5643703;pubmed:5666113;pubmed:6696761;pubmed:743300;pubmed:7857286	
