	genes	uniprot	hgnc.symbol	drugcentral	drug_name	target_class	action_type
419	FASN	P49327	FASN	2350	rabeprazole	Enzyme
420	FASN	P49327	FASN	4867	dexrabeprazole	Enzyme
421	DNPH1	O43598	DNPH1	92	adenosine phosphate	Enzyme
422	PCMT1	P22061	PCMT1	2414	ademetionine	Enzyme
423	MAPK1	P28482	MAPK1	43	aceclofenac	Kinase
424	MAPK1	P28482	MAPK1	318	benzbromarone	Kinase
425	MAPK1	P28482	MAPK1	867	dicoumarol	Kinase
426	MAPK1	P28482	MAPK1	1364	hexachlorophene	Kinase
427	MAPK1	P28482	MAPK1	1457	diiodohydroxyquinoline	Kinase
428	MAPK1	P28482	MAPK1	1508	isotretinoin	Kinase
429	MAPK1	P28482	MAPK1	1650	meclofenamic acid	Kinase
430	MAPK1	P28482	MAPK1	2459	sorafenib	Kinase
431	MAPK1	P28482	MAPK1	2525	sulfasalazine	Kinase
432	MAPK1	P28482	MAPK1	2722	tretinoin	Kinase
433	MAPK1	P28482	MAPK1	2767	troglitazone	Kinase
434	MAPK1	P28482	MAPK1	2855	zafirlukast	Kinase
435	MAPK1	P28482	MAPK1	3032	bithionol	Kinase
436	MAPK1	P28482	MAPK1	3219	exisulind	Kinase
437	MAPK1	P28482	MAPK1	4673	nalfurafine	Kinase
438	MAPK1	P28482	MAPK1	5039	tannic acid	Kinase
439	ROCK2	O75116	ROCK2	1132	fasudil	Kinase	INHIBITOR
440	ROCK2	O75116	ROCK2	2544	sunitinib	Kinase
441	ROCK2	O75116	ROCK2	4178	vandetanib	Kinase
442	ROCK2	O75116	ROCK2	4187	crizotinib	Kinase
443	ROCK2	O75116	ROCK2	4190	ruxolitinib	Kinase
444	ROCK2	O75116	ROCK2	4359	bosutinib	Kinase
445	ROCK2	O75116	ROCK2	4713	tofacitinib	Kinase
446	ROCK2	O75116	ROCK2	4866	ceritinib	Kinase
447	ROCK2	O75116	ROCK2	4938	ripasudil	Kinase	INHIBITOR
448	ROCK2	O75116	ROCK2	5231	midostaurin	Kinase
449	ROCK2	O75116	ROCK2	5269	netarsudil	Kinase	INHIBITOR
450	ROCK2	O75116	ROCK2	5347	fedratinib	Kinase
451	ROCK2	O75116	ROCK2	5426	delgocitinib	Kinase	INHIBITOR
452	MAP2K3	P46734	MAP2K3	2544	sunitinib	Kinase
453	MAP2K3	P46734	MAP2K3	4187	crizotinib	Kinase
454	MAP2K3	P46734	MAP2K3	4190	ruxolitinib	Kinase
455	MAP2K3	P46734	MAP2K3	4359	bosutinib	Kinase
456	MAP2K3	P46734	MAP2K3	4903	nintedanib	Kinase
457	MAP2K3	P46734	MAP2K3	5231	midostaurin	Kinase
458	MAP2K3	P46734	MAP2K3	5347	fedratinib	Kinase
459	MAP2K2	P36507	MAP2K2	785	dasatinib	Kinase
460	MAP2K2	P36507	MAP2K2	2544	sunitinib	Kinase
461	MAP2K2	P36507	MAP2K2	4178	vandetanib	Kinase
462	MAP2K2	P36507	MAP2K2	4190	ruxolitinib	Kinase
463	MAP2K2	P36507	MAP2K2	4225	axitinib	Kinase
464	MAP2K2	P36507	MAP2K2	4359	bosutinib	Kinase
465	MAP2K2	P36507	MAP2K2	4802	trametinib	Kinase	INHIBITOR
466	MAP2K2	P36507	MAP2K2	4903	nintedanib	Kinase
467	MAP2K2	P36507	MAP2K2	5046	cobimetinib	Kinase	ALLOSTERIC MODULATOR
468	MAP2K2	P36507	MAP2K2	5252	neratinib	Kinase
469	MAP2K2	P36507	MAP2K2	5290	binimetinib	Kinase	INHIBITOR
470	MAP2K2	P36507	MAP2K2	5347	fedratinib	Kinase
471	MAP2K2	P36507	MAP2K2	5388	selumetinib	Kinase	INHIBITOR
472	NRAS	P01111	NRAS	5414	lonafarnib	Enzyme	INHIBITOR
473	PREP	P48147	PREP	3514	quercetin	Enzyme
474	PREP	P48147	PREP	4055	baicalin	Enzyme
475	MIF	P14174	MIF	1364	hexachlorophene	Unclassified
476	MIF	P14174	MIF	2646	levothyroxine	Unclassified
477	MIF	P14174	MIF	4894	iguratimod	Unclassified
478	FABP5	Q01469	FABP5	3400	oleic acid	Cytosolic other
479	DTYMK	P23919	DTYMK	2861	zidovudine	Kinase
480	GSTP1	P09211	GSTP1	701	clomipramine	Enzyme
481	GSTP1	P09211	GSTP1	1071	ethacrynic acid	Enzyme
482	GSTP1	P09211	GSTP1	3613	Vitamin E	Enzyme
483	PTPN11	Q06124	PTPN11	558	cefsulodin	Enzyme
484	PTPN11	Q06124	PTPN11	1066	estramustine phosphate	Enzyme
485	PTPN11	Q06124	PTPN11	3178	enoxolone	Enzyme
486	NQO2	P16083	NQO2	160	aminoacridine	Enzyme
487	NQO2	P16083	NQO2	429	bunazosin	Enzyme
488	NQO2	P16083	NQO2	607	chloroquine	Enzyme
489	NQO2	P16083	NQO2	776	dabigatran etexilate	Enzyme
490	NQO2	P16083	NQO2	1423	imatinib	Enzyme
491	NQO2	P16083	NQO2	1672	melatonin	Enzyme
492	NQO2	P16083	NQO2	1932	nilotinib	Enzyme
493	NQO2	P16083	NQO2	2266	primaquine	Enzyme
494	NQO2	P16083	NQO2	3584	terazosin	Enzyme
495	NQO2	P16083	NQO2	4209	prazosin	Enzyme
496	ACHE	P22303	ACHE	30	methoxsalen	Enzyme
497	ACHE	P22303	ACHE	115	alfuzosin	Enzyme
498	ACHE	P22303	ACHE	146	ambenonium	Enzyme	INHIBITOR
499	ACHE	P22303	ACHE	285	bambuterol	Enzyme
500	ACHE	P22303	ACHE	406	bromopride	Enzyme
501	ACHE	P22303	ACHE	444	butenafine	Enzyme
502	ACHE	P22303	ACHE	463	caffeine	Enzyme
503	ACHE	P22303	ACHE	670	clebopride	Enzyme
504	ACHE	P22303	ACHE	719	clotrimazole	Enzyme
505	ACHE	P22303	ACHE	789	decamethonium	Enzyme
506	ACHE	P22303	ACHE	801	demecarium	Enzyme	INHIBITOR
507	ACHE	P22303	ACHE	875	diethylstilbestrol	Enzyme
508	ACHE	P22303	ACHE	927	distigmine	Enzyme	INHIBITOR
509	ACHE	P22303	ACHE	946	donepezil	Enzyme	INHIBITOR
510	ACHE	P22303	ACHE	974	dyclonine	Enzyme
511	ACHE	P22303	ACHE	977	ebastine	Enzyme
512	ACHE	P22303	ACHE	982	echothiophate	Enzyme	INHIBITOR
513	ACHE	P22303	ACHE	983	econazole	Enzyme
514	ACHE	P22303	ACHE	988	edrophonium	Enzyme	INHIBITOR
515	ACHE	P22303	ACHE	1086	profenamine	Enzyme
516	ACHE	P22303	ACHE	1094	ethylestrenol	Enzyme
517	ACHE	P22303	ACHE	1152	fenofibrate	Enzyme
518	ACHE	P22303	ACHE	1209	fluoxetine	Enzyme
519	ACHE	P22303	ACHE	1272	galantamine	Enzyme	INHIBITOR
520	ACHE	P22303	ACHE	1273	gallamine	Enzyme
521	ACHE	P22303	ACHE	1364	hexachlorophene	Enzyme
522	ACHE	P22303	ACHE	1365	hexafluronium	Enzyme	INHIBITOR
523	ACHE	P22303	ACHE	1482	irinotecan	Enzyme
524	ACHE	P22303	ACHE	1494	fluostigmine	Enzyme	INHIBITOR
525	ACHE	P22303	ACHE	1723	metergoline	Enzyme
526	ACHE	P22303	ACHE	1800	miconazole	Enzyme
527	ACHE	P22303	ACHE	1812	minaprine	Enzyme
528	ACHE	P22303	ACHE	1890	nefazodone	Enzyme
529	ACHE	P22303	ACHE	1897	neostigmine	Enzyme	INHIBITOR
530	ACHE	P22303	ACHE	1955	nizatidine	Enzyme
531	ACHE	P22303	ACHE	2056	papaverine	Enzyme
532	ACHE	P22303	ACHE	2099	pentoxifylline	Enzyme
533	ACHE	P22303	ACHE	2159	physostigmine	Enzyme	INHIBITOR
534	ACHE	P22303	ACHE	2231	pralidoxime	Enzyme	ACTIVATOR
535	ACHE	P22303	ACHE	2270	procainamide	Enzyme
536	ACHE	P22303	ACHE	2296	propentofylline	Enzyme
537	ACHE	P22303	ACHE	2330	pyridostigmine	Enzyme	INHIBITOR
538	ACHE	P22303	ACHE	2338	mepacrine	Enzyme
539	ACHE	P22303	ACHE	2351	raloxifene	Enzyme
540	ACHE	P22303	ACHE	2358	ranitidine	Enzyme
541	ACHE	P22303	ACHE	2392	rivastigmine	Enzyme	INHIBITOR
542	ACHE	P22303	ACHE	2544	sunitinib	Enzyme
543	ACHE	P22303	ACHE	2551	tacrine	Enzyme	INHIBITOR
544	ACHE	P22303	ACHE	2599	terconazole	Enzyme
545	ACHE	P22303	ACHE	3018	benzethonium	Enzyme
546	ACHE	P22303	ACHE	3186	eseridine	Enzyme
547	ACHE	P22303	ACHE	3408	oxiconazole	Enzyme
548	ACHE	P22303	ACHE	3514	quercetin	Enzyme
549	ACHE	P22303	ACHE	3521	rasagiline	Enzyme
550	ACHE	P22303	ACHE	3535	rutoside	Enzyme
551	ACHE	P22303	ACHE	3848	velnacrine	Enzyme
552	ACHE	P22303	ACHE	4118	pazopanib	Enzyme
553	ACHE	P22303	ACHE	4138	gentian violet	Enzyme
554	ACHE	P22303	ACHE	4150	rimonabant	Enzyme
555	ACHE	P22303	ACHE	4676	obidoxime	Enzyme
556	ACHE	P22303	ACHE	4683	paraoxon	Enzyme
557	ACHE	P22303	ACHE	4732	thioctic acid	Enzyme
558	ACHE	P22303	ACHE	4808	ipidacrine	Enzyme
559	ACHE	P22303	ACHE	4908	acotiamide	Enzyme	INHIBITOR
560	TXNRD1	Q16881	TXNRD1	244	arsenic trioxide	Enzyme	INHIBITOR
561	TXNRD1	Q16881	TXNRD1	1763	methylthioninium chloride	Enzyme
562	TXNRD1	Q16881	TXNRD1	4122	auranofin	Enzyme
563	TXNRD1	Q16881	TXNRD1	4349	aurothioglucose	Enzyme
564	TXNRD1	Q16881	TXNRD1	4706	sodium aurothiomalate	Enzyme
565	FDPS	P14324	FDPS	112	alendronic acid	Enzyme	INHIBITOR
566	FDPS	P14324	FDPS	1404	ibandronic acid	Enzyme	INHIBITOR
567	FDPS	P14324	FDPS	1431	incadronic acid	Enzyme	INHIBITOR
568	FDPS	P14324	FDPS	2048	pamidronic acid	Enzyme	INHIBITOR
569	FDPS	P14324	FDPS	2387	risedronic acid	Enzyme	INHIBITOR
570	FDPS	P14324	FDPS	2868	zoledronic acid	Enzyme	INHIBITOR
571	FDPS	P14324	FDPS	3377	neridronic acid	Enzyme
572	FDPS	P14324	FDPS	4074	minodronic acid	Enzyme
573	FDPS	P14324	FDPS	4630	sodium pyrophosphate	Enzyme
574	FKBP1A	P62942	FKBP1A	760	ciclosporin	Enzyme
575	FKBP1A	P62942	FKBP1A	1118	everolimus	Enzyme	INHIBITOR
576	FKBP1A	P62942	FKBP1A	2168	pimecrolimus	Enzyme	INHIBITOR
577	FKBP1A	P62942	FKBP1A	2446	sirolimus	Enzyme	INHIBITOR
578	FKBP1A	P62942	FKBP1A	2552	tacrolimus	Enzyme	INHIBITOR
579	FKBP1A	P62942	FKBP1A	2621	thiabendazole	Enzyme
580	FKBP1A	P62942	FKBP1A	2949	zotarolimus	Enzyme	INHIBITOR
581	FKBP1A	P62942	FKBP1A	4161	temsirolimus	Enzyme	INHIBITOR
582	AKR1C3	P42330	AKR1C3	371	bimatoprost	Enzyme
583	AKR1C3	P42330	AKR1C3	721	cloxazolam	Enzyme
584	AKR1C3	P42330	AKR1C3	852	diazepam	Enzyme
585	AKR1C3	P42330	AKR1C3	865	diclofenac	Enzyme
586	AKR1C3	P42330	AKR1C3	1193	flufenamic acid	Enzyme
587	AKR1C3	P42330	AKR1C3	1219	flurbiprofen	Enzyme
588	AKR1C3	P42330	AKR1C3	1407	ibuprofen	Enzyme
589	AKR1C3	P42330	AKR1C3	1440	indomethacin	Enzyme
590	AKR1C3	P42330	AKR1C3	1650	meclofenamic acid	Enzyme
591	AKR1C3	P42330	AKR1C3	1659	medroxyprogesterone	Enzyme
592	AKR1C3	P42330	AKR1C3	1663	mefenamic acid	Enzyme
593	AKR1C3	P42330	AKR1C3	1795	mezlocillin	Enzyme
594	AKR1C3	P42330	AKR1C3	1883	naproxen	Enzyme
595	AKR1C3	P42330	AKR1C3	2698	tolfenamic acid	Enzyme
596	AKR1C3	P42330	AKR1C3	3851	dexibuprofen	Enzyme
597	LAP3	P28838	LAP3	2787	ubenimex	Enzyme
598	NAMPT	P43490	NAMPT	854	diazoxide	Enzyme
599	NAMPT	P43490	NAMPT	2835	nicotinic acid	Enzyme
600	NAMPT	P43490	NAMPT	4973	chidamide	Enzyme
601	NAMPT	P43490	NAMPT	4973	chidamide	Cytokine
602	KCNN4	O15554	KCNN4	6	(S)-nitrendipine	Ion channel	BLOCKER
603	KCNN4	O15554	KCNN4	626	chlorzoxazone	Ion channel	ACTIVATOR
604	KCNN4	O15554	KCNN4	719	clotrimazole	Ion channel
605	KCNN4	O15554	KCNN4	1947	nitrendipine	Ion channel	BLOCKER
606	KCNN4	O15554	KCNN4	2382	riluzole	Ion channel	ACTIVATOR
607	ABCC1	P33527	ABCC1	219	anhydrovinblastine	Transporter
608	ABCC1	P33527	ABCC1	318	benzbromarone	Transporter
609	ABCC1	P33527	ABCC1	726	colchicine	Transporter
610	ABCC1	P33527	ABCC1	760	ciclosporin	Transporter
611	ABCC1	P33527	ABCC1	786	daunorubicin	Transporter
612	ABCC1	P33527	ABCC1	960	doxorubicin	Transporter
613	ABCC1	P33527	ABCC1	1112	etoposide	Transporter
614	ABCC1	P33527	ABCC1	1115	etravirine	Transporter
615	ABCC1	P33527	ABCC1	1414	idarubicin	Transporter
616	ABCC1	P33527	ABCC1	1423	imatinib	Transporter
617	ABCC1	P33527	ABCC1	1440	indomethacin	Transporter
618	ABCC1	P33527	ABCC1	1482	irinotecan	Transporter
619	ABCC1	P33527	ABCC1	1751	methotrexate	Transporter
620	ABCC1	P33527	ABCC1	1795	mezlocillin	Transporter
621	ABCC1	P33527	ABCC1	1821	mitoxantrone	Transporter
622	ABCC1	P33527	ABCC1	2172	pimozide	Transporter
623	ABCC1	P33527	ABCC1	2422	saquinavir	Transporter
624	ABCC1	P33527	ABCC1	2528	sulfinpyrazone	Transporter
625	ABCC1	P33527	ABCC1	2815	verapamil	Transporter
626	ABCC1	P33527	ABCC1	2823	vinblastine	Transporter
627	ABCC1	P33527	ABCC1	2825	vincristine	Transporter
628	ABCC1	P33527	ABCC1	3514	quercetin	Transporter
629	ABCC1	P33527	ABCC1	4601	diosmetin	Transporter
630	ABCC1	P33527	ABCC1	4719	daunorubicinol	Transporter
631	EPHX1	P07099	EPHX1	3630	triclocarban	Enzyme
632	ABCC5	O15440	ABCC5	26	fluorouracil	Transporter
633	ABCC5	O15440	ABCC5	269	azathioprine	Transporter
634	ABCC5	O15440	ABCC5	1708	mercaptopurine	Transporter
635	ABCC5	O15440	ABCC5	1751	methotrexate	Transporter
636	ABCC5	O15440	ABCC5	2441	sildenafil	Transporter
637	ABCC5	O15440	ABCC5	2632	thioguanine	Transporter
638	ABCC5	O15440	ABCC5	4392	cisplatin	Transporter
639	PAK2	Q13177	PAK2	4359	bosutinib	Kinase
640	PAK2	Q13177	PAK2	4903	nintedanib	Kinase
641	PAK2	Q13177	PAK2	5231	midostaurin	Kinase
642	PAK2	Q13177	PAK2	5252	neratinib	Kinase
643	PAK2	Q13177	PAK2	5347	fedratinib	Kinase
644	CSNK2A1	P68400	CSNK2A1	2544	sunitinib	Kinase
645	CSNK2A1	P68400	CSNK2A1	3514	quercetin	Kinase
646	CSNK2A1	P68400	CSNK2A1	3533	ruboxistaurin	Kinase
647	CSNK2A1	P68400	CSNK2A1	4190	ruxolitinib	Kinase
648	CSNK2A1	P68400	CSNK2A1	4903	nintedanib	Kinase
649	CSNK2A1	P68400	CSNK2A1	5231	midostaurin	Kinase
650	CSNK2A1	P68400	CSNK2A1	5347	fedratinib	Kinase
651	ABHD16A	O95870	ABHD16A	1996	orlistat	Enzyme
652	RPS6KA3	P51812	RPS6KA3	2544	sunitinib	Kinase
653	RPS6KA3	P51812	RPS6KA3	3533	ruboxistaurin	Kinase
654	RPS6KA3	P51812	RPS6KA3	4359	bosutinib	Kinase
655	RPS6KA3	P51812	RPS6KA3	4903	nintedanib	Kinase
656	RPS6KA3	P51812	RPS6KA3	5231	midostaurin	Kinase
657	RPS6KA3	P51812	RPS6KA3	5347	fedratinib	Kinase
658	MAP2K1	Q02750	MAP2K1	785	dasatinib	Kinase
659	MAP2K1	Q02750	MAP2K1	2544	sunitinib	Kinase
660	MAP2K1	Q02750	MAP2K1	4178	vandetanib	Kinase
661	MAP2K1	Q02750	MAP2K1	4190	ruxolitinib	Kinase
662	MAP2K1	Q02750	MAP2K1	4225	axitinib	Kinase
663	MAP2K1	Q02750	MAP2K1	4359	bosutinib	Kinase
664	MAP2K1	Q02750	MAP2K1	4802	trametinib	Kinase	INHIBITOR
665	MAP2K1	Q02750	MAP2K1	4903	nintedanib	Kinase
666	MAP2K1	Q02750	MAP2K1	5046	cobimetinib	Kinase	INHIBITOR
667	MAP2K1	Q02750	MAP2K1	5252	neratinib	Kinase
668	MAP2K1	Q02750	MAP2K1	5290	binimetinib	Kinase	INHIBITOR
669	MAP2K1	Q02750	MAP2K1	5347	fedratinib	Kinase
670	MAP2K1	Q02750	MAP2K1	5388	selumetinib	Kinase	INHIBITOR
671	SHMT1	P34896	SHMT1	1811	mimosine	Enzyme
672	SHMT1	P34896	SHMT1	2073	pemetrexed	Enzyme
673	SHMT1	P34896	SHMT1	2836	pyridoxine	Enzyme
674	GART	P22102	GART	2073	pemetrexed	Enzyme	INHIBITOR
675	KARS1	Q15046	KARS	1423	imatinib	Enzyme
676	KARS1	Q15046	KARS	3514	quercetin	Enzyme
677	PRUNE1	Q86TP1	PRUNE	924	dipyridamole	Enzyme
678	PRKACB	P22694	PRKACB	3533	ruboxistaurin	Kinase
679	PRKACB	P22694	PRKACB	5231	midostaurin	Kinase
680	CSNK2A2	P19784	CSNK2A2	2544	sunitinib	Kinase
681	CSNK2A2	P19784	CSNK2A2	3533	ruboxistaurin	Kinase
682	CSNK2A2	P19784	CSNK2A2	4190	ruxolitinib	Kinase
683	CSNK2A2	P19784	CSNK2A2	4225	axitinib	Kinase
684	CSNK2A2	P19784	CSNK2A2	4903	nintedanib	Kinase
685	CSNK2A2	P19784	CSNK2A2	5347	fedratinib	Kinase
686	EBP	Q15125	EBP	176	amiodarone	Enzyme
687	EBP	Q15125	EBP	422	buflomedil	Enzyme
688	EBP	Q15125	EBP	700	clomifene	Enzyme
689	EBP	Q15125	EBP	1353	haloperidol	Enzyme
690	EBP	Q15125	EBP	1872	naftifine	Enzyme
691	EBP	Q15125	EBP	1993	opipramol	Enzyme
692	EBP	Q15125	EBP	2351	raloxifene	Enzyme
693	EBP	Q15125	EBP	2561	tamoxifen	Enzyme
694	EBP	Q15125	EBP	2740	trifluoperazine	Enzyme
695	EBP	Q15125	EBP	2741	trifluperidol	Enzyme
696	EBP	Q15125	EBP	2761	triparanol	Enzyme
697	LYN	P07948	LYN	785	dasatinib	Kinase	INHIBITOR
698	LYN	P07948	LYN	1045	erlotinib	Kinase
699	LYN	P07948	LYN	1282	gefitinib	Kinase
700	LYN	P07948	LYN	1423	imatinib	Kinase
701	LYN	P07948	LYN	1912	niclosamide	Kinase
702	LYN	P07948	LYN	1932	nilotinib	Kinase
703	LYN	P07948	LYN	2459	sorafenib	Kinase
704	LYN	P07948	LYN	2544	sunitinib	Kinase
705	LYN	P07948	LYN	4118	pazopanib	Kinase
706	LYN	P07948	LYN	4178	vandetanib	Kinase
707	LYN	P07948	LYN	4187	crizotinib	Kinase
708	LYN	P07948	LYN	4359	bosutinib	Kinase	INHIBITOR
709	LYN	P07948	LYN	4716	ponatinib	Kinase	INHIBITOR
710	LYN	P07948	LYN	4810	ibrutinib	Kinase
711	LYN	P07948	LYN	4866	ceritinib	Kinase
712	LYN	P07948	LYN	4903	nintedanib	Kinase
713	LYN	P07948	LYN	5231	midostaurin	Kinase
714	LYN	P07948	LYN	5252	neratinib	Kinase
715	LYN	P07948	LYN	5260	acalabrutinib	Kinase	INHIBITOR
716	LYN	P07948	LYN	5341	quizartinib	Kinase
717	LYN	P07948	LYN	5347	fedratinib	Kinase
718	LYN	P07948	LYN	5431	tirbanibulin	Kinase
719	LYN	P07948	LYN	5459	infigratinib	Kinase
720	GSK3A	P49840	GSK3A	4903	nintedanib	Kinase
721	GSK3A	P49840	GSK3A	5231	midostaurin	Kinase
722	PSAT1	Q9Y617	PSAT1	2836	pyridoxine	Enzyme
723	SLC25A5	P05141	SLC25A5	690	clodronic acid	Enzyme
724	SYK	P43405	SYK	785	dasatinib	Kinase
725	SYK	P43405	SYK	1423	imatinib	Kinase
726	SYK	P43405	SYK	3514	quercetin	Kinase
727	SYK	P43405	SYK	4118	pazopanib	Kinase
728	SYK	P43405	SYK	4187	crizotinib	Kinase
729	SYK	P43405	SYK	4359	bosutinib	Kinase
730	SYK	P43405	SYK	4866	ceritinib	Kinase
731	SYK	P43405	SYK	5231	midostaurin	Kinase
732	SYK	P43405	SYK	5252	neratinib	Kinase
733	SYK	P43405	SYK	5280	fostamatinib	Kinase	INHIBITOR
734	SYK	P43405	SYK	5347	fedratinib	Kinase
735	SYK	P43405	SYK	5459	infigratinib	Kinase
736	PLD1	Q13393	PLD1	2351	raloxifene	Enzyme
737	SIRT2	Q8IXJ6	SIRT2	1906	nicotinamide	Enzyme
738	SIRT2	Q8IXJ6	SIRT2	2966	suramin	Enzyme
739	STK11	Q15831	STK11	2544	sunitinib	Kinase
740	STK11	Q15831	STK11	3533	ruboxistaurin	Kinase
741	STK11	Q15831	STK11	4903	nintedanib	Kinase
742	STK11	Q15831	STK11	5231	midostaurin	Kinase
743	STK11	Q15831	STK11	5347	fedratinib	Kinase
744	SLC19A1	P41440	SLC19A1	1751	methotrexate	Transporter
745	SLC19A1	P41440	SLC19A1	2073	pemetrexed	Transporter
746	SLC19A1	P41440	SLC19A1	2353	raltitrexed	Transporter
747	SLC19A1	P41440	SLC19A1	4117	pralatrexate	Transporter
748	PRKAA1	Q13131	PRKAA1	2544	sunitinib	Kinase
749	PRKAA1	Q13131	PRKAA1	4178	vandetanib	Kinase
750	PRKAA1	Q13131	PRKAA1	4187	crizotinib	Kinase
751	PRKAA1	Q13131	PRKAA1	4359	bosutinib	Kinase
752	PRKAA1	Q13131	PRKAA1	4903	nintedanib	Kinase
753	PRKAA1	Q13131	PRKAA1	5231	midostaurin	Kinase
754	PRKAA1	Q13131	PRKAA1	5347	fedratinib	Kinase
755	PRKAA1	Q13131	PRKAA1	5375	cepharanthine	Kinase	INHIBITOR
756	CD38	P28907	CD38	3514	quercetin	Tumour-associated antigen
757	CD38	P28907	CD38	5063	daratumumab	Tumour-associated antigen	ANTIBODY BINDING
758	CD38	P28907	CD38	5385	isatuximab	Tumour-associated antigen	BINDING AGENT
759	GOT2	P00505	GOT2	1550	aspartic acid	Enzyme
760	CSNK1G3	Q9Y6M4	CSNK1G3	2544	sunitinib	Kinase
761	CSNK1G3	Q9Y6M4	CSNK1G3	5252	neratinib	Kinase
762	NAPEPLD	Q6IQ20	NAPEPLD	1364	hexachlorophene	Unclassified	INHIBITOR
763	NAPEPLD	Q6IQ20	NAPEPLD	3032	bithionol	Unclassified	INHIBITOR
764	AGL	P35573	AGL	1807	miglustat	Enzyme
765	AGL	P35573	AGL	5110	migalastat	Enzyme
766	CSNK1G1	Q9HCP0	CSNK1G1	2544	sunitinib	Kinase
767	DAGLB	Q8NCG7	DAGLB	1996	orlistat	Enzyme
768	SLC25A6	P12236	SLC25A6	690	clodronic acid	Enzyme
769	PTPN1	P18031	PTPN1	318	benzbromarone	Enzyme
770	PTPN1	P18031	PTPN1	690	clodronic acid	Enzyme
771	PTPN1	P18031	PTPN1	1066	estramustine phosphate	Enzyme
772	PTPN1	P18031	PTPN1	2050	aminosalicylic acid	Enzyme
773	PTPN1	P18031	PTPN1	2666	tiludronic acid	Enzyme
774	PTPN1	P18031	PTPN1	2767	troglitazone	Enzyme
775	PTPN1	P18031	PTPN1	3178	enoxolone	Enzyme
776	PTPN1	P18031	PTPN1	3217	evans blue	Enzyme
777	PTPN1	P18031	PTPN1	3514	quercetin	Enzyme
778	PTPN1	P18031	PTPN1	4608	trypan blue	Enzyme
779	TRPV2	Q9Y5S1	TRPV2	5288	cannabidiol	Ion channel	ACTIVATOR
780	MAPK3	P27361	MAPK3	511	carmofur	Kinase
781	MAPK3	P27361	MAPK3	928	disulfiram	Kinase
782	MAPK3	P27361	MAPK3	1364	hexachlorophene	Kinase
783	MAPK3	P27361	MAPK3	1457	diiodohydroxyquinoline	Kinase
784	MAPK3	P27361	MAPK3	1893	nelfinavir	Kinase
785	MAPK3	P27361	MAPK3	2459	sorafenib	Kinase
786	MAPK3	P27361	MAPK3	2632	thioguanine	Kinase
787	MAPK3	P27361	MAPK3	2855	zafirlukast	Kinase
788	MAPK3	P27361	MAPK3	4063	tirilazad	Kinase
789	MAPK3	P27361	MAPK3	4189	hydroxyprogesterone caproate	Kinase
790	MAPK3	P27361	MAPK3	4392	cisplatin	Kinase
791	MAPK3	P27361	MAPK3	4673	nalfurafine	Kinase
792	MAPK3	P27361	MAPK3	4733	thiomersal	Kinase
793	MAPK3	P27361	MAPK3	5039	tannic acid	Kinase
794	ANPEP	P15144	ANPEP	2787	ubenimex	Enzyme
795	PRKAB1	Q9Y478	PRKAB1	1725	metformin	Kinase
796	PRKAB1	Q9Y478	PRKAB1	2126	phenformin	Kinase
797	PRMT1	Q99873	PRMT1	1207	fluorescein	Enzyme
798	PRMT1	Q99873	PRMT1	2090	pentamidine	Enzyme
799	PRMT1	Q99873	PRMT1	2414	ademetionine	Enzyme
800	PRMT1	Q99873	PRMT1	2966	suramin	Enzyme
801	PRMT1	Q99873	PRMT1	3275	hexamidine	Enzyme
802	PRMT1	Q99873	PRMT1	4466	eosin	Enzyme
803	PTPN6	P29350	PTPN6	558	cefsulodin	Enzyme
804	PTPN6	P29350	PTPN6	1066	estramustine phosphate	Enzyme
805	PTPN6	P29350	PTPN6	3178	enoxolone	Enzyme
806	INSR	P06213	INSR	1423	imatinib	Kinase	AGONIST
807	INSR	P06213	INSR	1548	lapatinib	Kinase	AGONIST
808	INSR	P06213	INSR	1932	nilotinib	Kinase
809	INSR	P06213	INSR	2459	sorafenib	Kinase	AGONIST
810	INSR	P06213	INSR	2544	sunitinib	Kinase	AGONIST
811	INSR	P06213	INSR	4187	crizotinib	Kinase	AGONIST
812	INSR	P06213	INSR	4866	ceritinib	Kinase	AGONIST
813	INSR	P06213	INSR	4901	insulin glargine	Kinase	AGONIST
814	INSR	P06213	INSR	4903	nintedanib	Kinase	AGONIST
815	INSR	P06213	INSR	4960	insulin degludec	Kinase	AGONIST
816	INSR	P06213	INSR	4981	insulin aspart	Kinase	AGONIST
817	INSR	P06213	INSR	4985	insulin detemir	Kinase	AGONIST
818	INSR	P06213	INSR	5002	insulin lispro	Kinase	AGONIST
819	INSR	P06213	INSR	5003	insulin human	Kinase	AGONIST
820	INSR	P06213	INSR	5009	mecasermin	Kinase
821	INSR	P06213	INSR	5057	insulin glulisine	Kinase	AGONIST
822	INSR	P06213	INSR	5062	osimertinib	Kinase
823	INSR	P06213	INSR	5233	brigatinib	Kinase	INHIBITOR
824	INSR	P06213	INSR	5252	neratinib	Kinase
825	INSR	P06213	INSR	5345	entrectinib	Kinase
826	INSR	P06213	INSR	5347	fedratinib	Kinase
827	INSR	P06213	INSR	5459	infigratinib	Kinase
828	ABCC10	Q5T3U5	ABCC10	219	anhydrovinblastine	Transporter
829	ABCC10	Q5T3U5	ABCC10	939	docetaxel	Transporter
830	ABCC10	Q5T3U5	ABCC10	2044	paclitaxel	Transporter
831	ABCC10	Q5T3U5	ABCC10	2823	vinblastine	Transporter
