	genes	mim	mim.phenotype	hgnc.symbol	type	ncbigene	ensembl	phenotype	cyto.location	morbid.symbol	chromosome	ensemble	mgi	title	title.symbol	mim.all	mim.phenotype.title	mim.phenotype.title.symbol
222	CYB5B	611964		CYB5B	gene	80777	ENSG00000103018				chr16	ENSG00000103018	1913677	CYTOCHROME b5, TYPE B (OUTER MITOCHONDRIAL MEMBRANE)	CYB5B	611964		
223	CYB5R3	613213	250800	CYB5R3	gene	1727	ENSG00000100243	Methemoglobinemia, type II, 250800 (3);Methemoglobinemia, type I, 250800 (3)	22q13.2	CYB5R3	chr22	ENSG00000100243	94893	CYTOCHROME b5 REDUCTASE 3	CYB5R3	250800;613213	METHEMOGLOBINEMIA DUE TO DEFICIENCY OF METHEMOGLOBIN REDUCTASE	
224	CYBRD1	605745		CYBRD1	gene	79901	ENSG00000071967				chr2	ENSG00000071967	2654575	CYTOCHROME b REDUCTASE 1	CYBRD1	605745		
225	DAGLA	614015		DAGLA	gene	747	ENSG00000134780				chr11	ENSG00000134780	2677061	DIACYLGLYCEROL LIPASE, ALPHA	DAGLA	614015		
226	DAGLB	614016		DAGLB	gene	221955	ENSG00000164535				chr7	ENSG00000164535	2442032	DIACYLGLYCEROL LIPASE, BETA	DAGLB	614016		
227	DARS1	603084	615281	DARS1	gene	1615	ENSG00000115866	Hypomyelination with brainstem and spinal cord involvement and leg spasticity, 615281 (3)	2q21.3	DARS1	chr2	ENSG00000115866	2442544	ASPARTYL-tRNA SYNTHETASE 1	DARS1	603084;615281	HYPOMYELINATION WITH BRAINSTEM AND SPINAL CORD INVOLVEMENT AND LEG SPASTICITY	HBSL
228	DCTPP1	615840		DCTPP1	gene	79077	ENSG00000179958				chr16	ENSG00000179958	1913672	dCTP PYROPHOSPHATASE 1	DCTPP1	615840		
229	DCXR	608347	260800	DCXR	gene	51181	ENSG00000169738	[Pentosuria], 260800 (3)	17q25.3	DCXR	chr17	ENSG00000169738	1915130	DICARBONYL/L-XYLULOSE REDUCTASE	DCXR	260800;608347	PENTOSURIA	PNTSU
230	DDT	602750		DDT	gene	1652	ENSG00000099977				chr22	ENSG00000099977	1298381	D-DOPACHROME TAUTOMERASE	DDT	602750		
231	DERA	619668		DERA	gene	51071	ENSG00000023697				chr12	ENSG00000023697	1913762	DEOXYRIBOSE-PHOSPHATE ALDOLASE	DERA	619668		
232	DGKA	125855		DGKA	gene	1606	ENSG00000065357				chr12	ENSG00000065357	102952	DIACYLGLYCEROL KINASE, ALPHA, 80-KD	DGKA	125855		
233	DGKD	601826		DGKD	gene	8527	ENSG00000077044				chr2	ENSG00000077044	2138334	DIACYLGLYCEROL KINASE, DELTA, 130-KD	DGKD	601826		
234	DHFR	126060	613839	DHFR	gene	1719	ENSG00000228716	Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3)	5q14.1	DHFR	chr5	ENSG00000228716	94890	DIHYDROFOLATE REDUCTASE	DHFR	126060;613839	MEGALOBLASTIC ANEMIA DUE TO DIHYDROFOLATE REDUCTASE DEFICIENCY	
235	DHRS11	616159		DHRS11	gene	79154	ENSG00000278535				chr17	ENSG00000278535	2652816	SHORT-CHAIN DEHYDROGENASE/REDUCTASE FAMILY, MEMBER 11	DHRS11	616159		
236	DNM2	602378	160150	DNM2	gene	1785	ENSG00000079805	Centronuclear myopathy 1, 160150 (3)	19p13.2	DNM2	chr19	ENSG00000079805	109547	DYNAMIN 2	DNM2	160150;602378	MYOPATHY, CENTRONUCLEAR, 1	CNM1
237	DNM2	602378	606482	DNM2	gene	1785	ENSG00000079805	Charcot-Marie-Tooth disease, dominant intermediate B, 606482 (3);Charcot-Marie-Tooth disease, axonal type 2M, 606482 (3)	19p13.2	DNM2	chr19	ENSG00000079805	109547	DYNAMIN 2	DNM2	602378;606482	CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE B	CMTDIB
238	DNM2	602378	615368	DNM2	gene	1785	ENSG00000079805	Lethal congenital contracture syndrome 5, 615368 (3)	19p13.2	DNM2	chr19	ENSG00000079805	109547	DYNAMIN 2	DNM2	602378;615368	LETHAL CONGENITAL CONTRACTURE SYNDROME 5	LCCS5
239	DNM3	611445		DNM3	gene	26052	ENSG00000197959				chr1	ENSG00000197959	1341299	DYNAMIN 3	DNM3	611445		
240	DNPEP	611367		DNPEP	gene	23549	ENSG00000123992				chr2	ENSG00000123992	1278328	ASPARTYL AMINOPEPTIDASE	DNPEP	611367		
241	DNPH1	618762		DNPH1	gene	10591	ENSG00000112667				chr6	ENSG00000112667	3039376	2-PRIME-DEOXYNUCLEOSIDE 5-PRIME-PHOSPHATE N-HYDROLASE 1	DNPH1	618762		
242	DPP3	606818		DPP3	gene	10072	ENSG00000254986				chr11	ENSG00000254986	1922471	DIPEPTIDYL PEPTIDASE III	DPP3	606818		
243	DTYMK	188345	619847	DTYMK	gene	1841	ENSG00000168393	Neurodegeneration, childhood-onset, with progressive microcephaly, 619847 (3)	2q37.3	DTYMK	chr2	ENSG00000168393	108396	DEOXYTHYMIDYLATE KINASE	DTYMK	188345;619847	NEURODEGENERATION, CHILDHOOD-ONSET, WITH PROGRESSIVE MICROCEPHALY	CONPM
244	DUSP23	618361		DUSP23	gene	54935	ENSG00000158716				chr1	ENSG00000158716	1915690	DUAL-SPECIFICITY PHOSPHATASE 23	DUSP23	618361		
245	EBP	300205	300960	EBP	gene	10682	ENSG00000147155	MEND syndrome, 300960 (3)	Xp11.23	EBP	chrX	ENSG00000147155	107822	EMOPAMIL-BINDING PROTEIN	EBP	300205;300960	MEND SYNDROME	MEND
246	EBP	300205	302960	EBP	gene	10682	ENSG00000147155	Chondrodysplasia punctata, X-linked dominant, 302960 (3)	Xp11.23	EBP	chrX	ENSG00000147155	107822	EMOPAMIL-BINDING PROTEIN	EBP	300205;302960	CHONDRODYSPLASIA PUNCTATA 2, X-LINKED DOMINANT	CDPX2
247	ECHDC1	612136		ECHDC1	gene	55862	ENSG00000093144				chr6	ENSG00000093144	1277169	ENOYL COENZYME A HYDRATASE DOMAIN-CONTAINING PROTEIN 1	ECHDC1	612136		
248	EEF2	130610	609306	EEF2	gene	1938	ENSG00000167658	?Spinocerebellar ataxia 26, 609306 (3)	19p13.3	EEF2	chr19	ENSG00000167658	95288	EUKARYOTIC TRANSLATION ELONGATION FACTOR 2	EEF2	130610;609306	SPINOCEREBELLAR ATAXIA 26	SCA26
249	EMB	615669		EMB	gene	133418	ENSG00000170571				chr5	ENSG00000170571	95321	EMBIGIN	EMB	615669		
250	ENO1	172430		ENO1	gene	2023	ENSG00000074800				chr1	ENSG00000074800	3648653;95393	ENOLASE 1	ENO1	172430		
251	ENO2	131360		ENO2	gene	2026	ENSG00000111674				chr12	ENSG00000111674	95394	ENOLASE 2	ENO2	131360		
252	ENO3	131370	612932	ENO3	gene	2027	ENSG00000108515	Glycogen storage disease XIII, 612932 (3)	17p13.2	ENO3	chr17	ENSG00000108515	95395	ENOLASE 3	ENO3	131370;612932	GLYCOGEN STORAGE DISEASE XIII	GSD13
253	ENTPD1	601752	615683	ENTPD1	gene	953	ENSG00000138185	Spastic paraplegia 64, autosomal recessive, 615683 (3)	10q24.1	ENTPD1	chr10	ENSG00000138185	102805	ECTONUCLEOSIDE TRIPHOSPHATE DIPHOSPHOHYDROLASE 1	ENTPD1	601752;615683	SPASTIC PARAPLEGIA 64, AUTOSOMAL RECESSIVE	SPG64
254	EPHX1	132810		EPHX1	gene	2052	ENSG00000143819				chr1	ENSG00000143819	95405	EPOXIDE HYDROLASE 1, MICROSOMAL	EPHX1	132810		
255	EPRS1	138295	617951	EPRS1	gene	2058	ENSG00000136628	Leukodystrophy, hypomyelinating, 15, 617951 (3)	1q41	EPRS	chr1	ENSG00000136628	97838	GLUTAMYL-PROLYL-tRNA SYNTHETASE 1	EPRS1	138295;617951	LEUKODYSTROPHY, HYPOMYELINATING, 15	HLD15
256	ESD	133280		ESD	gene	2098	ENSG00000139684				chr13	ENSG00000139684	3781082;95421	ESTERASE D	ESD	133280		
257	FABP1	134650		FABP1	gene	2168	ENSG00000163586				chr2	ENSG00000163586	95479	FATTY ACID-BINDING PROTEIN 1	FABP1	134650		
258	FABP5	605168		FABP5	gene	2171	ENSG00000164687				chr8	ENSG00000164687	101790	FATTY ACID-BINDING PROTEIN 5	FABP5	605168		
259	FADS1	606148		FADS1	gene	3992	ENSG00000149485				chr11	ENSG00000149485	1923517	FATTY ACID DESATURASE 1	FADS1	606148		
260	FADS2	606149		FADS2	gene	9415	ENSG00000134824				chr11	ENSG00000134824	1930079	FATTY ACID DESATURASE 2	FADS2	606149		
261	FAH	613871	276700	FAH	gene	2184	ENSG00000103876	Tyrosinemia, type I, 276700 (3)	15q25.1	FAH	chr15	ENSG00000103876	95482	FUMARYLACETOACETATE HYDROLASE	FAH	276700;613871	TYROSINEMIA, TYPE I	TYRSN1
262	FARSA	602918	619013	FARSA	gene	2193	ENSG00000179115	?Rajab interstitial lung disease with brain calcifications 2, 619013 (3)	19p13.13	FARSA	chr19	ENSG00000179115	1913840	PHENYLALANINE-tRNA SYNTHETASE, ALPHA SUBUNIT	FARSA	602918;619013	RAJAB INTERSTITIAL LUNG DISEASE WITH BRAIN CALCIFICATIONS 2	RILDBC2
263	FARSB	609690	613658	FARSB	gene	10056	ENSG00000116120	Rajab interstitial lung disease with brain calcifications 1, 613658 (3)	2q36.1	FARSB	chr2	ENSG00000116120	1346035	PHENYLALANINE-tRNA SYNTHETASE, BETA SUBUNIT	FARSB	609690;613658	RAJAB INTERSTITIAL LUNG DISEASE WITH BRAIN CALCIFICATIONS 1	RILDBC1
264	FASN	600212		FASN	gene	2194	ENSG00000169710				chr17	ENSG00000169710	95485	FATTY ACID SYNTHASE	FASN	600212		
265	FCSK	608675	618324	FCSK	gene	197258	ENSG00000157353	Congenital disorder of glycosylation with defective fucosylation 2, 618324 (3)	16q22.1	FCSK	chr16	ENSG00000157353	1916071	FUCOSE KINASE	FCSK	608675;618324	CONGENITAL DISORDER OF GLYCOSYLATION WITH DEFECTIVE FUCOSYLATION 2	CDGF2
266	FDPS	134629	616631	FDPS	gene	2224	ENSG00000160752	Porokeratosis 9, multiple types, 616631 (3)	1q22	FDPS	chr1	ENSG00000160752	104888	FARNESYL DIPHOSPHATE SYNTHASE	FDPS	134629;616631	POROKERATOSIS 9, MULTIPLE TYPES	POROK9
267	FH	136850	150800	FH	gene	2271	ENSG00000091483	Leiomyomatosis and renal cell cancer, 150800 (3)	1q43	FH	chr1	ENSG00000091483	95530	FUMARATE HYDRATASE	FH	136850;150800	HEREDITARY LEIOMYOMATOSIS AND RENAL CELL CANCER	HLRCC
268	FH	136850	606812	FH	gene	2271	ENSG00000091483	Fumarase deficiency, 606812 (3)	1q43	FH	chr1	ENSG00000091483	95530	FUMARATE HYDRATASE	FH	136850;606812	FUMARASE DEFICIENCY	FMRD
269	FIG4	609390	216340	FIG4	gene	9896	ENSG00000112367	Yunis-Varon syndrome, 216340 (3)	6q21	FIG4	chr6	ENSG00000112367	2143585	FIG4 PHOSPHOINOSITIDE 5-PHOSPHATASE	FIG4	216340;609390	YUNIS-VARON SYNDROME	YVS
270	FIG4	609390	611228	FIG4	gene	9896	ENSG00000112367	Charcot-Marie-Tooth disease, type 4J, 611228 (3)	6q21	FIG4	chr6	ENSG00000112367	2143585	FIG4 PHOSPHOINOSITIDE 5-PHOSPHATASE	FIG4	609390;611228	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4J	CMT4J
271	FIG4	609390	612577	FIG4	gene	9896	ENSG00000112367	Amyotrophic lateral sclerosis 11, 612577 (3)	6q21	FIG4	chr6	ENSG00000112367	2143585	FIG4 PHOSPHOINOSITIDE 5-PHOSPHATASE	FIG4	609390;612577	AMYOTROPHIC LATERAL SCLEROSIS 11	ALS11
272	FIG4	609390	612691	FIG4	gene	9896	ENSG00000112367	?Polymicrogyria, bilateral temporooccipital, 612691 (3)	6q21	FIG4	chr6	ENSG00000112367	2143585	FIG4 PHOSPHOINOSITIDE 5-PHOSPHATASE	FIG4	609390;612691	POLYMICROGYRIA, BILATERAL TEMPOROOCCIPITAL	BTOP
273	FKBP1A	186945		FKBP1A	gene	2280	ENSG00000088832				chr20	ENSG00000088832	95541	FK506-BINDING PROTEIN 1A	FKBP1A	186945		
274	FKBP2	186946		FKBP2	gene	2286	ENSG00000173486				chr11	ENSG00000173486	95542	FK506-BINDING PROTEIN 2	FKBP2	186946		
275	FKBP3	186947		FKBP3	gene	2287	ENSG00000100442				chr14	ENSG00000100442	1353460	FK506-BINDING PROTEIN 3	FKBP3	186947		
276	FKBP4	600611		FKBP4	gene	2288	ENSG00000004478				chr12	ENSG00000004478	95543	FK506-BINDING PROTEIN 4	FKBP4	600611		
277	FKBP5	602623	608516	FKBP5	gene	2289	ENSG00000096060	{Major depressive disorder and accelerated response to antidepressant drug treatment}, 608516 (3)	6p21.31	FKBP5	chr6	ENSG00000096060	104670	FK506-BINDING PROTEIN 5	FKBP5	602623;608516	MAJOR DEPRESSIVE DISORDER	MDD
278	FLAD1	610595	255100	FLAD1	gene	80308	ENSG00000160688	Lipid storage myopathy due to flavin adenine dinucleotide synthetase deficiency, 255100 (3)	1q21.3	FLAD1	chr1	ENSG00000160688	2443030	FLAVIN ADENINE DINUCLEOTIDE SYNTHETASE 1	FLAD1	255100;610595	LIPID STORAGE MYOPATHY DUE TO FLAVIN ADENINE DINUCLEOTIDE SYNTHETASE DEFICIENCY	LSMFLAD
279	FN3K	608425		FN3K	gene	64122	ENSG00000167363				chr17	ENSG00000167363	1926834	FRUCTOSAMINE 3-KINASE		608425		
280	FN3KRP	611683		FN3KRP	gene	79672	ENSG00000141560				chr17	ENSG00000141560	2679256	FRUCTOSAMINE 3-KINASE-RELATED PROTEIN		611683		
281	FTH1	134770	615517	FTH1	gene	2495	ENSG00000167996	?Hemochromatosis, type 5, 615517 (3)	11q12.3	FTH1	chr11	ENSG00000167996	95588	FERRITIN HEAVY CHAIN 1	FTH1	134770;615517	HEMOCHROMATOSIS, TYPE 5	HFE5
282	FTH1	134770	620669	FTH1	gene	2495	ENSG00000167996	Neurodegeneration with brain iron accumulation 9, 620669 (3)	11q12.3	FTH1	chr11	ENSG00000167996	95588	FERRITIN HEAVY CHAIN 1	FTH1	134770;620669	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 9	NBIA9
283	FTL	134790	600886	FTL	gene	2512	ENSG00000087086	Hyperferritinemia-cataract syndrome, 600886 (3)	19q13.33	FTL	chr19	ENSG00000087086	5434102;95589;95590	FERRITIN LIGHT CHAIN	FTL	134790;600886	HYPERFERRITINEMIA WITH OR WITHOUT CATARACT	HRFTC
284	FTL	134790	606159	FTL	gene	2512	ENSG00000087086	Neurodegeneration with brain iron accumulation 3, 606159 (3)	19q13.33	FTL	chr19	ENSG00000087086	5434102;95589;95590	FERRITIN LIGHT CHAIN	FTL	134790;606159	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 3	NBIA3
285	FTL	134790	615604	FTL	gene	2512	ENSG00000087086	L-ferritin deficiency, dominant and recessive, 615604 (3)	19q13.33	FTL	chr19	ENSG00000087086	5434102;95589;95590	FERRITIN LIGHT CHAIN	FTL	134790;615604	L-FERRITIN DEFICIENCY	LFTD
286	FUT1	211100	616754	FUT1	gene	2523	ENSG00000174951	[Bombay phenotype], 616754 (3)	19q13.33	FUT1	chr19	ENSG00000174951	109375	FUCOSYLTRANSFERASE 1	FUT1	211100;616754	BOMBAY PHENOTYPE	
287	FXN	606829	229300	FXN	gene	2395	ENSG00000165060	Friedreich ataxia, 229300 (3);Friedreich ataxia with retained reflexes, 229300 (3)	9q21.11	FXN	chr9	ENSG00000165060	1096879	FRATAXIN	FXN	229300;606829	FRIEDREICH ATAXIA	FRDA
288	FYN	137025		FYN	gene	2534	ENSG00000010810				chr6	ENSG00000010810	95602	FYN PROTOONCOGENE, SRC FAMILY TYROSINE KINASE	FYN	137025		
289	G6PD	305900	300908	G6PD	gene	2539	ENSG00000160211	Hemolytic anemia, G6PD deficient (favism), 300908 (3)	Xq28	G6PD	chrX	ENSG00000160211	105977;105979	GLUCOSE-6-PHOSPHATE DEHYDROGENASE	G6PD	300908;305900	ANEMIA, NONSPHEROCYTIC HEMOLYTIC, DUE TO G6PD DEFICIENCY	
290	G6PD	305900	611162	G6PD	gene	2539	ENSG00000160211	{Resistance to malaria due to G6PD deficiency}, 611162 (3)	Xq28	G6PD	chrX	ENSG00000160211	105977;105979	GLUCOSE-6-PHOSPHATE DEHYDROGENASE	G6PD	305900;611162	MALARIA, SUSCEPTIBILITY TO	
291	GALE	606953	230350	GALE	gene	2582	ENSG00000117308	Galactose epimerase deficiency, 230350 (3)	1p36.11	GALE	chr1	ENSG00000117308	1921496	UDP-GALACTOSE-4-EPIMERASE	GALE	230350;606953	GALACTOSEMIA III	GALAC3
292	GALK1	604313	230200	GALK1	gene	2584	ENSG00000108479	Galactokinase deficiency with cataracts, 230200 (3)	17q25.1	GALK1	chr17	ENSG00000108479	95730	GALACTOKINASE 1	GALK1	230200;604313	GALACTOSEMIA II	GALAC2
293	GALM	137030	618881	GALM	gene	130589	ENSG00000143891	Galactosemia IV, 618881 (3)	2p22.1	GALM	chr2	ENSG00000143891	2442420	GALACTOSE MUTAROTASE	GALM	137030;618881	GALACTOSEMIA IV	GALAC4
294	GALNT2	602274	618885	GALNT2	gene	2590	ENSG00000143641	Congenital disorder of glycosylation, type IIt, 618885 (3)	1q42.13	GALNT2	chr1	ENSG00000143641	894694	UDP-N-ACETYL-ALPHA-D-GALACTOSAMINE:POLYPEPTIDE N-ACETYLGALACTOSAMINYLTRANSFERASE 2	GALNT2	602274;618885	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIt	CDG2T
295	GALNT4	603565		GALNT4	gene	8693	ENSG00000257594				chr12	ENSG00000257594	894692	UDP-N-ACETYL-ALPHA-D-GALACTOSAMINE:POLYPEPTIDE N-ACETYLGALACTOSAMINYLTRANSFERASE 4	GALNT4	603565		
296	GALT	606999	230400	GALT	gene	2592	ENSG00000213930	Galactosemia, 230400 (3)	9p13.3	GALT	chr9	ENSG00000213930	95638	GALACTOSE-1-PHOSPHATE URIDYLYLTRANSFERASE	GALT	230400;606999	GALACTOSEMIA I	GALAC1
297	GAPDH	138400		GAPDH	gene	2597	ENSG00000111640				chr12	ENSG00000111640	3708786;3782011;5434255;95640	GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE	GAPDH	138400		
298	GAPDHS	609169		GAPDHS	gene	26330	ENSG00000105679				chr19	ENSG00000105679	95653	GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE, SPERMATOGENIC	GAPDHS	609169		
299	GARS1	600287	600794	GARS1	gene	2617	ENSG00000106105	Neuronopathy, distal hereditary motor, autosomal dominant 5, 600794 (3)	7p14.3	GARS1	chr7	ENSG00000106105	2449057	GLYCYL-tRNA SYNTHETASE 1	GARS1	600287;600794	NEURONOPATHY, DISTAL HEREDITARY MOTOR, AUTOSOMAL DOMINANT 5	HMND5
300	GARS1	600287	601472	GARS1	gene	2617	ENSG00000106105	Charcot-Marie-Tooth disease, type 2D, 601472 (3)	7p14.3	GARS1	chr7	ENSG00000106105	2449057	GLYCYL-tRNA SYNTHETASE 1	GARS1	600287;601472	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2D	CMT2D
301	GARS1	600287	619042	GARS1	gene	2617	ENSG00000106105	Spinal muscular atrophy, infantile, James type, 619042 (3)	7p14.3	GARS1	chr7	ENSG00000106105	2449057	GLYCYL-tRNA SYNTHETASE 1	GARS1	600287;619042	SPINAL MUSCULAR ATROPHY, INFANTILE, JAMES TYPE	SMAJI
302	GART	138440		GART	gene	2618	ENSG00000159131				chr21	ENSG00000159131	95654	PHOSPHORIBOSYLGLYCINAMIDE FORMYLTRANSFERASE/PHOSPHORIBOSYLGLYCINAMIDE SYNTHETASE/PHOSPHORIBOSYLAMINOIMIDAZOLE SYNTHETASE	GART	138440		
303	GBE1	607839	232500	GBE1	gene	2632	ENSG00000114480	Glycogen storage disease IV, 232500 (3)	3p12.2	GBE1	chr3	ENSG00000114480	1921435	GLYCOGEN BRANCHING ENZYME	GBE1	232500;607839	GLYCOGEN STORAGE DISEASE IV	GSD4
304	GBE1	607839	263570	GBE1	gene	2632	ENSG00000114480	Polyglucosan body disease, adult form, 263570 (3)	3p12.2	GBE1	chr3	ENSG00000114480	1921435	GLYCOGEN BRANCHING ENZYME	GBE1	263570;607839	POLYGLUCOSAN BODY NEUROPATHY, ADULT FORM	APBN
305	GCLC	606857	230450	GCLC	gene	2729	ENSG00000001084	Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency, 230450 (3)	6p12.1	GCLC	chr6	ENSG00000001084	104990	GLUTAMATE-CYSTEINE LIGASE, CATALYTIC SUBUNIT	GCLC	230450;606857	GAMMA-GLUTAMYLCYSTEINE SYNTHETASE DEFICIENCY, HEMOLYTIC ANEMIA DUE TO	
306	GCLC	606857	608446	GCLC	gene	2729	ENSG00000001084	{Myocardial infarction, susceptibility to}, 608446 (3)	6p12.1	GCLC	chr6	ENSG00000001084	104990	GLUTAMATE-CYSTEINE LIGASE, CATALYTIC SUBUNIT	GCLC	606857;608446	MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO	
307	GCLM	601176	608446	GCLM	gene	2730	ENSG00000023909	{Myocardial infarction, susceptibility to}, 608446 (3)	1p22.1	GCLM	chr1	ENSG00000023909	104995	GLUTAMATE-CYSTEINE LIGASE, MODIFIER SUBUNIT	GCLM	601176;608446	MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO	
308	GCNT2	600429	110800	GCNT2	gene	2651	ENSG00000111846	[Blood group, Ii], 110800 (3);Adult i phenotype without cataract, 110800 (3)	6p24.3-p24.2	GCNT2	chr6	ENSG00000111846	1100870	GLUCOSAMINYL (N-ACETYL) TRANSFERASE 2, I-BRANCHING ENZYME	GCNT2	110800;600429	BLOOD GROUP, I SYSTEM	Ii
309	GCNT2	600429	116700	GCNT2	gene	2651	ENSG00000111846	Cataract 13 with adult i phenotype, 116700 (3)	6p24.3-p24.2	GCNT2	chr6	ENSG00000111846	1100870	GLUCOSAMINYL (N-ACETYL) TRANSFERASE 2, I-BRANCHING ENZYME	GCNT2	116700;600429	CATARACT 13 WITH ADULT i PHENOTYPE	CTRCT13
310	GDE1	605943		GDE1	gene	51573	ENSG00000006007				chr16	ENSG00000006007	1891827	GLYCEROPHOSPHODIESTER PHOSPHODIESTERASE 1	GDE1	605943		
311	GDPD1	616317		GDPD1	gene	284161	ENSG00000153982				chr17	ENSG00000153982	1913819	GLYCEROPHOSPHODIESTER PHOSPHODIESTERASE DOMAIN-CONTAINING PROTEIN 1	GDPD1	616317		
312	GFUS	137020		GFUS	gene	7264	ENSG00000104522				chr8	ENSG00000104522	98857	GDP-L-FUCOSE SYNTHASE	GFUS	137020		
313	GGCT	137170		GGCT	gene	79017	ENSG00000006625				chr7	ENSG00000006625	95700	GAMMA-GLUTAMYL CYCLOTRANSFERASE	GGCT	137170		
314	GLO1	138750		GLO1	gene	2739	ENSG00000124767				chr6	ENSG00000124767	95742	GLYOXALASE I	GLO1	138750		
315	GLRX	600443		GLRX	gene	2745	ENSG00000173221				chr5	ENSG00000173221	2135625	GLUTAREDOXIN	GLRX	600443		
316	GLUL	138290	610015	GLUL	gene	2752	ENSG00000135821	Glutamine deficiency, congenital, 610015 (3)	1q25.3	GLUL	chr1	ENSG00000135821	95739	GLUTAMATE-AMMONIA LIGASE	GLUL	138290;610015	GLUTAMINE DEFICIENCY, CONGENITAL	
317	GMDS	602884		GMDS	gene	2762	ENSG00000112699				chr6	ENSG00000112699	1891112	GDP-MANNOSE 4,6-DEHYDRATASE	GMDS	602884		
318	GMPPA	615495	615510	GMPPA	gene	29926	ENSG00000144591	Alacrima, achalasia, and impaired intellectual development syndrome, 615510 (3)	2q35	GMPPA	chr2	ENSG00000144591	1916330	GDP-MANNOSE PYROPHOSPHORYLASE A	GMPPA	615495;615510	ALACRIMA, ACHALASIA, AND IMPAIRED INTELLECTUAL DEVELOPMENT SYNDROME	AAMR
319	GMPPB	615320	615350	GMPPB	gene	29925	ENSG00000173540	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 14, 615350 (3)	3p21.31	GMPPB	chr3	ENSG00000173540	2660880	GDP-MANNOSE PYROPHOSPHORYLASE B	GMPPB	615320;615350	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 14	MDDGA14
320	GMPPB	615320	615351	GMPPB	gene	29925	ENSG00000173540	Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 14, 615351 (3)	3p21.31	GMPPB	chr3	ENSG00000173540	2660880	GDP-MANNOSE PYROPHOSPHORYLASE B	GMPPB	615320;615351	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH IMPAIRED INTELLECTUAL DEVELOPMENT), TYPE B, 14	MDDGB14
321	GMPPB	615320	615352	GMPPB	gene	29925	ENSG00000173540	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 14, 615352 (3)	3p21.31	GMPPB	chr3	ENSG00000173540	2660880	GDP-MANNOSE PYROPHOSPHORYLASE B	GMPPB	615320;615352	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 14	MDDGC14
322	GMPR	139265		GMPR	gene	2766	ENSG00000137198				chr6	ENSG00000137198	1913605	GUANOSINE MONOPHOSPHATE REDUCTASE	GMPR	139265		
323	GMPR2	610781		GMPR2	gene	51292	ENSG00000100938				chr14	ENSG00000100938	1917903	GUANOSINE MONOPHOSPHATE REDUCTASE 2	GMPR2	610781		
324	GMPS	600358		GMPS	gene	8833	ENSG00000163655				chr3	ENSG00000163655	2448526	GUANINE MONOPHOSPHATE SYNTHETASE	GMPS	600358		
325	GNPDA1	601798		GNPDA1	gene	10007	ENSG00000113552				chr5	ENSG00000113552	1347054	GLUCOSAMINE-6-PHOSPHATE DEAMINASE 1	GNPDA1	601798		
326	GNPDA2	613222		GNPDA2	gene	132789	ENSG00000163281				chr4	ENSG00000163281	1915230	GLUCOSAMINE-6-PHOSPHATE DEAMINASE 2	GNPDA2	613222		
327	GOT1	138180	614419	GOT1	gene	2805	ENSG00000120053	Aspartate aminotransferase, serum level of, QTL1, 614419 (3)	10q24.2	GOT1	chr10	ENSG00000120053	95791	GLUTAMATE OXALOACETATE TRANSAMINASE, SOLUBLE	GOT1	138180;614419	ASPARTATE AMINOTRANSFERASE, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 1	
328	GOT2	138150	618721	GOT2	gene	2806	ENSG00000125166	Developmental and epileptic encephalopathy 82, 618721 (3)	16q21	GOT2	chr16	ENSG00000125166	95792	GLUTAMATE OXALOACETATE TRANSAMINASE, MITOCHONDRIAL	GOT2	138150;618721	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 82	DEE82
329	GPCPD1	614124		GPCPD1	gene	56261	ENSG00000125772				chr20	ENSG00000125772	104898	GLYCEROPHOSPHOCHOLINE PHOSPHODIESTERASE 1	GPCPD1	614124		
330	GPHN	603930	615501	GPHN	gene	10243	ENSG00000171723	Molybdenum cofactor deficiency C, 615501 (3)	14q23.3-q24.1	GPHN	chr14	ENSG00000171723	109602	GEPHYRIN	GPHN	603930;615501	MOLYBDENUM COFACTOR DEFICIENCY, COMPLEMENTATION GROUP C	MOCODC
