	Entry	Gene Names (primary)	Organism (ID)	Alternative products (isoforms)	UniParc	CCDS	EMBL	RefSeq	BMRB	PDB	SASBDB	SMR	BioGRID	CORUM	ComplexPortal	DIP	ELM	IntAct	MINT	STRING	BindingDB	ChEMBL	DrugBank	DrugCentral	SwissLipids	Allergome	CAZy	IDEAL	MEROPS	PeroxiBase	REBASE	TCDB	DEPOD	PhosphoSitePlus	dbSNP	COMPLUYEAST-2DPAGE	EPD	MassIVE	MaxQB	PRIDE	PaxDb	PeptideAtlas	ProteomicsDB	Ensembl	GeneID	KEGG	CTD	GeneCards	HGNC	HPA	MIM	neXtProt	Orphanet	PharmGKB	eggNOG	GeneTree	HOGENOM	OMA	OrthoDB	PhylomeDB	TreeFam	BioCyc	BRENDA	PathwayCommons	Reactome	SIGNOR	GeneWiki	Bgee	ExpressionAtlas	CDD	DisProt	HAMAP	InterPro	PANTHER	Pfam	PIRSF	PRINTS	ProDom	PROSITE	SMART	SUPFAM
124	P33402	GUCY1A2	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3; Name=1; Synonyms=Alpha-2; IsoId=P33402-1; Sequence=Displayed; Name=2; Synonyms=Alpha-2-I; IsoId=P33402-2; Sequence=VSP_001814; Name=3; IsoId=P33402-3; Sequence=VSP_054154;	UPI0000128C17	CCDS58170.1 [P33402-2];CCDS8335.1 [P33402-1];	X63282;Z50053;AP001282;AP001881;AP003078;AP005014;CH471065;BC130484;BC130488;BC144033;	NP_000846.1 [P33402-1];NP_001243353.1 [P33402-2];				P33402;	109232;	P33402;	CPX-2860;			P33402;		9606.ENSP00000282249;		CHEMBL2111348;	DB09401;DB01020;DB13749;DB09241;DB09282;DB00435;DB06154;DB13170;DB08931;	P33402;										P33402;				P33402;	P33402;		9606-ENSP00000282249;	P33402;	54910 [P33402-1];54911 [P33402-2];	ENST00000282249.6 [P33402-2];ENST00000347596.2 [P33402-3];ENST00000526355.7 [P33402-1];	2977;	hsa:2977;	2977;	GUCY1A2;	HGNC:4684;	ENSG00000152402;	601244;	NX_P33402;		PA186;	KOG4171;	ENSGT00940000157765;	CLU_011614_5_0_1;	SLMLHYF;	2898719at2759;	P33402;	TF351403;		4.6.1.2;	P33402;	R-HSA-392154;R-HSA-445355;	P33402;	GUCY1A2;	ENSG00000152402;		cd07302;			IPR001054;IPR018297;IPR038158;IPR011644;IPR011645;IPR042463;IPR024096;IPR029787;	PTHR45655:SF7;PTHR45655;	PF00211;PF07700;PF07701;				PS00452;PS50125;	SM00044;	SSF111126;SSF55073;
125	P34949	MPI	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P34949-1; Sequence=Displayed; Name=2; IsoId=P34949-2; Sequence=VSP_013357;	UPI000000DB74	CCDS10272.1 [P34949-1];CCDS73757.1 [P34949-2];	X76057;AF227218;AF227216;AF227217;AK292374;CH471136;BC017351;BC046357;	NP_001276085.1;NP_001276086.1 [P34949-2];NP_002426.1 [P34949-1];				P34949;	110491;					P34949;	P34949;	9606.ENSP00000318318;	P34949;	CHEMBL2758;		P34949;										P34949;	rs764835081 rs104894494 rs887249336 rs566620411 rs104894495 rs773678732 rs766458792 rs104894489 rs748090636 rs28928906 rs369326210 rs863225087		P34949;	P34949;	P34949;		9606-ENSP00000318318;	P34949;	54959 [P34949-1];54960 [P34949-2];	ENST00000323744.10 [P34949-2];ENST00000352410.9 [P34949-1];	4351;	hsa:4351;	4351;	MPI;	HGNC:7216;	ENSG00000178802;	154550;602579;	NX_P34949;	79319;	PA30922;	KOG2757;	ENSGT00390000016075;	CLU_026967_2_0_1;	DIGLFCG;	1116301at2759;	P34949;	TF312831;			P34949;	R-HSA-4043916;R-HSA-446205;			ENSG00000178802;	P34949;	cd07011;			IPR001250;IPR016305;IPR018050;IPR046456;IPR046457;IPR046458;IPR014710;IPR011051;	PTHR10309;PTHR10309:SF0;	PF01238;PF20511;PF20512;	PIRSF001480;	PR00714;		PS00965;PS00966;		SSF51182;
126	P35790	CHKA	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; Synonyms=CHKalpha2 {ECO:0000303|PubMed:34077757}, alpha-2 {ECO:0000303|PubMed:34077757}; IsoId=P35790-1; Sequence=Displayed; Name=2; Synonyms=CHKalpha1 {ECO:0000303|PubMed:34077757}, alpha-1 {ECO:0000303|PubMed:34077757}; IsoId=P35790-2; Sequence=VSP_009683;	UPI000013D662	CCDS8178.1 [P35790-1];CCDS8179.1 [P35790-2];	D10704;AP002807;AP002992;BC036471;	NP_001268.2 [P35790-1];NP_997634.1 [P35790-2];		2CKO;2CKP;2CKQ;2I7Q;3F2R;3G15;3ZM9;4BR3;4CG8;4CG9;4CGA;4DA5;5AFV;5EQE;5EQP;5EQY;5FTG;5FUT;5W6O;7A04;7A06;7NB1;7NB2;7NB3;		P35790;	107543;					P35790;		9606.ENSP00000265689;	P35790;	CHEMBL3117;	DB00122;DB14006;		SLP:000001746 [P35790-1];									P35790;	rs765529707 rs763056271 rs17853641 rs17853642		P35790;	P35790;	P35790;		9606-ENSP00000265689;	P35790;	55154 [P35790-1];55155 [P35790-2];	ENST00000265689.9 [P35790-1];ENST00000356135.9 [P35790-2];	1119;	hsa:1119;	1119;	CHKA;	HGNC:1937;	ENSG00000110721;	118491;620023;	NX_P35790;	88616;	PA26468;	KOG2686;	ENSGT00950000182939;	CLU_012712_2_1_1;	GFWSIIR;	144299at2759;	P35790;	TF313549;	MetaCyc:HS03334-MONOMER;	2.7.1.32;	P35790;	R-HSA-1483191;R-HSA-1483213;	P35790;	CHKA;	ENSG00000110721;	P35790;	cd05156;			IPR011009;	PTHR22603:SF36;PTHR22603;	PF01633;						SSF56112;
127	P36551	CPOX	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P36551-1; Sequence=Displayed; Name=2; IsoId=P36551-2; Sequence=VSP_057182, VSP_057183;	UPI0000073C93	CCDS2932.1 [P36551-1];	Z34531;Z34803;Z34804;Z34805;Z34806;Z34807;Z34808;AK290140;AK299692;AK223481;CH471052;BC017210;BC023551;BC023554;D16611;Z28409;	NP_000088.3 [P36551-1];		2AEX;		P36551;	107763;					P36551;	P36551;	9606.ENSP00000264193;		CHEMBL1681618;												P36551;	rs201826432 rs759347283 rs1374394802 rs121917872 rs1131857 rs121917874 rs2228056 rs121917870 rs587777271 rs121917873 rs121917866 rs11921054 rs121917868 rs28931603		P36551;	P36551;	P36551;		9606-ENSP00000264193;	P36551;	55213 [P36551-1];	ENST00000647941.2 [P36551-1];	1371;	hsa:1371;	1371;	CPOX;	HGNC:2321;	ENSG00000080819;	121300;612732;618892;	NX_P36551;	79273;	PA134979958;	KOG1518;	ENSGT00390000017311;	CLU_026169_1_0_1;	HDKGTLF;	1018040at2759;	P36551;	TF300703;	MetaCyc:HS01369-MONOMER;	1.3.3.3;	P36551;	R-HSA-189451;		Coproporphyrinogen_III_oxidase;	ENSG00000080819;	P36551;				IPR001260;IPR036406;IPR018375;	PTHR10755;PTHR10755:SF0;	PF01218;		PR00073;		PS01021;		SSF102886;
128	P36871	PGM1	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3; Name=1; IsoId=P36871-1; Sequence=Displayed; Name=2; IsoId=P36871-2; Sequence=VSP_004686; Name=3; IsoId=P36871-3; Sequence=VSP_045204;	UPI000000105F	CCDS53323.1 [P36871-2];CCDS53324.1 [P36871-3];CCDS625.1 [P36871-1];	M83088;BT006961;AK298505;AK312254;AL109925;BC001756;BC019920;BC067763;BC090856;S67989;S67998;	NP_001166289.1 [P36871-2];NP_001166290.1 [P36871-3];NP_002624.2 [P36871-1];		5EPC;5F9C;5HSH;5JN5;5TR2;5VBI;5VEC;5VG7;5VIN;6SNO;6SNP;6SNQ;6UIQ;6UO6;7S0W;7S77;		P36871;	111256;			DIP-60903N;		P36871;	P36871;	9606.ENSP00000360124;			DB02835;DB04397;DB06773;											P36871;	rs1320810473 rs587777402 rs1300651770 rs587777403 rs200390982 rs855314 rs121918371 rs398122912 rs1126728 rs1465877146 rs587777404 rs772768778 rs777164338 rs1301021797 rs11208257 rs6676290 rs587777401		P36871;	P36871;	P36871;	P36871;	9606-ENSP00000360124;	P36871;	4816;55222 [P36871-1];55223 [P36871-2];	ENST00000371083.4 [P36871-2];ENST00000371084.8 [P36871-1];ENST00000540265.5 [P36871-3];	5236;	hsa:5236;	5236;	PGM1;	HGNC:8905;	ENSG00000079739;	171900;614921;	NX_P36871;	319646;	PA33242;	KOG0625;	ENSGT00940000155542;	CLU_009330_0_1_1;	SHRIYAL;	5476118at2759;	P36871;	TF300350;	MetaCyc:HS01335-MONOMER;	5.4.2.2;	P36871;	R-HSA-3322077;R-HSA-5609974;R-HSA-6798695;R-HSA-70221;R-HSA-70370;	P36871;	PGM1;	ENSG00000079739;	P36871;	cd03085;	DP02748;		IPR005844;IPR016055;IPR005845;IPR005846;IPR036900;IPR016066;IPR005841;IPR045244;	PTHR22573:SF37;PTHR22573;	PF02878;PF02879;PF02880;		PR00509;		PS00710;		SSF55957;SSF53738;
129	P36959	GMPR	9606	ALTERNATIVE PRODUCTS:  	UPI000012B8B2	CCDS4537.1;	L35304;M27941;M24470;AL009031;AL138883;BC008281;	NP_006868.3;		2BLE;2BWG;		P36959;	109028;					P36959;		9606.ENSP00000259727;			DB01972;											P36959;	rs760571328 rs1042391			P36959;	P36959;		9606-ENSP00000259727;	P36959;	55249;	ENST00000259727.5;	2766;	hsa:2766;	2766;	GMPR;	HGNC:4376;	ENSG00000137198;	139265;	NX_P36959;		PA28761;	KOG2550;	ENSGT00940000156595;	CLU_022552_5_3_1;	AYKEYFG;	5472229at2759;	P36959;	TF300378;		1.7.1.7;	P36959;	R-HSA-74217;			ENSG00000137198;		cd00381;		MF_00596;	IPR013785;IPR005993;IPR015875;IPR001093;	PTHR43170;PTHR43170:SF3;	PF00478;	PIRSF000235;			PS00487;	SM01240;	SSF51412;
130	P36969	GPX4	9606	ALTERNATIVE PRODUCTS:  Event=Alternative initiation; Named isoforms=2; Name=Mitochondrial; IsoId=P36969-1; Sequence=Displayed; Name=Cytoplasmic; IsoId=P36969-2; Sequence=VSP_018740;	UPI00001AAC3F	CCDS42457.1 [P36969-1];CCDS92476.1 [P36969-2];	X71973;AF060972;AY324108;AC004151;AC005390;BC011836;BC021567;BC022071;BC032695;BC039849;	NP_001034936.1;NP_002076.2 [P36969-1];		2GS3;2OBI;5H5Q;5H5R;5H5S;6ELW;6HKQ;6HN3;7L8K;7L8L;7L8M;7L8Q;7L8R;7U4I;7U4J;7U4K;7U4L;7U4M;7U4N;		P36969;	109137;			DIP-53543N;		P36969;	P36969;	9606.ENSP00000346103;	P36969;	CHEMBL4295754;	DB09096;DB00143;DB03310;		SLP:000001633;					3603;3632;3633;				P36969;	rs8178967 rs76201145		P36969;	P36969;	P36969;		9606-ENSP00000346103;	P36969;	55250 [P36969-1];55251 [P36969-2];	ENST00000354171.13 [P36969-1];ENST00000611653.4 [P36969-2];	2879;	hsa:2879;	2879;	GPX4;	HGNC:4556;	ENSG00000167468;	138322;250220;	NX_P36969;	93317;	PA28952;	KOG1651;	ENSGT00940000161913;		IGFPANN;	67394at2759;	P36969;	TF338735;	MetaCyc:HS09562-MONOMER;	1.11.1.12;	P36969;	R-HSA-2142688;R-HSA-2142712;R-HSA-2142770;R-HSA-9018676 [P36969-2];R-HSA-9018896 [P36969-2];R-HSA-9020265 [P36969-2];R-HSA-9023661 [P36969-2];		GPX4;	ENSG00000167468;	P36969;	cd00340;			IPR000889;IPR029759;IPR029760;IPR036249;	PTHR11592;PTHR11592:SF78;	PF00255;	PIRSF000303;			PS00460;PS00763;PS51355;		SSF52833;
131	P37837	TALDO1	9606	ALTERNATIVE PRODUCTS:  Event=Alternative initiation; Named isoforms=2; Name=1; Synonyms=TALDO1L {ECO:0000303|PubMed:27703206}; IsoId=P37837-1; Sequence=Displayed; Name=2; Synonyms=TALDO1S {ECO:0000303|PubMed:27703206}; IsoId=P37837-2; Sequence=VSP_061595;	UPI00001114B0	CCDS7712.1 [P37837-1];	L19437;AF010400;AF010398;AF010399;AF058913;AK313427;BC010103;BC018847;L27346;	NP_006746.1 [P37837-1];		1F05;		P37837;	112751;					P37837;	P37837;	9606.ENSP00000321259;						9551;								P37837;			P37837;	P37837;	P37837;	P37837;	9606-ENSP00000321259;	P37837;	55278;	ENST00000319006.8 [P37837-1];	6888;	hsa:6888;	6888;	TALDO1;	HGNC:11559;	ENSG00000177156;	602063;606003;	NX_P37837;	101028;	PA36328;	KOG2772;	ENSGT00390000017361;	CLU_047470_0_1_1;	KFGYKTL;	1972468at2759;	P37837;	TF300757;			P37837;	R-HSA-163754;R-HSA-6791055;R-HSA-6791462;R-HSA-71336;R-HSA-8950505;R-HSA-9818028;	P37837;		ENSG00000177156;	P37837;	cd00957;		MF_00492;	IPR013785;IPR001585;IPR004730;IPR018225;	PTHR10683;PTHR10683:SF18;	PF00923;				PS01054;PS00958;		SSF51569;
132	P40145	ADCY8	9606	ALTERNATIVE PRODUCTS:  	UPI000012887C	CCDS6363.1;	Z35309;M83533;	NP_001106.1;				P40145;	106627;					P40145;		9606.ENSP00000286355;	P40145;	CHEMBL2960;	DB02587;											P40145;	rs2228949			P40145;			9606-ENSP00000286355;	P40145;	55337;	ENST00000286355.10;	114;	hsa:114;	114;	ADCY8;	HGNC:239;	ENSG00000155897;	103070;	NX_P40145;		PA29;	KOG3619;	ENSGT00940000158742;	CLU_001072_3_0_1;	TTEWIPE;	3686360at2759;	P40145;	TF313845;			P40145;	R-HSA-163359;R-HSA-163615;R-HSA-164378;R-HSA-170660;R-HSA-170670;R-HSA-381676;R-HSA-418555;R-HSA-418594;R-HSA-418597;R-HSA-432040;R-HSA-442720;R-HSA-5610787;R-HSA-9634597;R-HSA-9660821;R-HSA-9664323;	P40145;	ADCY8;	ENSG00000155897;	P40145;	cd07302;			IPR001054;IPR018297;IPR032628;IPR030672;IPR009398;IPR029787;	PTHR45627;PTHR45627:SF1;	PF16214;PF06327;PF00211;	PIRSF039050;			PS00452;PS50125;	SM00044;	SSF55073;
133	P40925	MDH1	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3; Name=1; IsoId=P40925-1; Sequence=Displayed; Name=2; IsoId=P40925-2; Sequence=VSP_042661; Name=3; IsoId=P40925-3; Sequence=VSP_045847;	UPI0000167B3E	CCDS1874.1 [P40925-1];CCDS56121.1 [P40925-3];	D55654;U20352;CR457405;AK295931;AK300719;AK312331;AC016734;CH471053;BC001484;	NP_001186040.1 [P40925-3];NP_001186041.1 [P40925-2];NP_001303303.1;NP_005908.1 [P40925-1];		7RM9;7RRL;		P40925;	110355;		CPX-7142;			P40925;	P40925;	9606.ENSP00000438144;	P40925;	CHEMBL3560;	DB11638;DB00157;DB03461;	P40925;										P40925;			P40925;	P40925;	P40925;		9606-ENSP00000438144;	P40925;	25276;55384 [P40925-1];55385 [P40925-2];	ENST00000233114.13 [P40925-1];ENST00000432309.6 [P40925-3];ENST00000544381.4 [P40925-1];	4190;	hsa:4190;	4190;	MDH1;	HGNC:6970;	ENSG00000014641;	154200;618959;	NX_P40925;		PA30714;	KOG1496;	ENSGT00530000063410;	CLU_040727_2_0_1;	TKGMERG;	501358at2759;	P40925;	TF105826;	MetaCyc:HS00361-MONOMER;	1.1.1.37;	P40925;	R-HSA-70263;	P40925;		ENSG00000014641;	P40925;	cd01336;		MF_01517;	IPR001557;IPR022383;IPR001236;IPR015955;IPR001252;IPR011274;IPR010945;IPR036291;	PTHR23382;PTHR23382:SF3;	PF02866;PF00056;	PIRSF000102;			PS00068;		SSF56327;SSF51735;
134	P42356	PI4KA	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; Synonyms=PI4K230 {ECO:0000303|PubMed:10101268}; IsoId=P42356-1; Sequence=Displayed; Name=2; Synonyms=PI4K97 {ECO:0000303|PubMed:10101268}; IsoId=P42356-2; Sequence=VSP_008805;	UPI0000E06BD6	CCDS33603.2 [P42356-1];	L36151;AC007050;AC007308;AF012872;BC018120;BC053654;	NP_477352.3 [P42356-1];		6BQ1;		P42356;		P42356;				P42356;	P42356;	9606.ENSP00000255882;	P42356;	CHEMBL3667;		P42356;	SLP:000000895;SLP:000000902 [P42356-2];									P42356;	rs759091754 rs17819211 rs1298440445 rs1490645147 rs1351749039 rs144363917 rs776650691 rs888913273 rs142690596 rs2539908 rs747119727 rs773127016 rs770450191 rs1601301648		P42356;	P42356;	P42356;		9606-ENSP00000255882;	P42356;	55512 [P42356-1];55513 [P42356-2];	ENST00000255882.11 [P42356-1];	5297;	hsa:5297;	5297;	PI4KA;	HGNC:8983;	ENSG00000241973;	600286;616531;619621;619708;	NX_P42356;	631079;98889;436252;	PA162399305;	KOG0902;	ENSGT00550000074798;		TIEVWQS;	147843at2759;	P42356;	TF102041;	MetaCyc:HS13481-MONOMER;		P42356;	R-HSA-1483248;R-HSA-1660514;	P42356;	PI4KA;	ENSG00000241973;	P42356;	cd00871;cd05167;			IPR016024;IPR011009;IPR000403;IPR036940;IPR018936;IPR001263;IPR042236;IPR045495;IPR015433;	PTHR10048:SF15;PTHR10048;	PF00454;PF00613;PF19274;				PS00915;PS00916;PS50290;PS51545;	SM00145;SM00146;	SSF48371;SSF56112;
135	P46926	GNPDA1	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P46926-1; Sequence=Displayed; Name=2; IsoId=P46926-2; Sequence=VSP_057011;	UPI000004D014	CCDS4272.1 [P46926-1];	AF048826;AJ002231;AF029914;AF035809;AF035804;AF035805;AF035806;AF035807;AF035808;D31766;AK296452;AC005740;CH471062;CH471062;CH471062;CH471062;BC012853;BC020769;BC022322;	NP_005462.1 [P46926-1];XP_006714810.1 [P46926-1];XP_011535839.1;		1NE7;		P46926;	115325;					P46926;	P46926;	9606.ENSP00000423674;			DB02445;DB02379;DB03951;											P46926;			P46926;	P46926;	P46926;		9606-ENSP00000423674;	P46926;	55767 [P46926-1];6552;	ENST00000311337.11 [P46926-1];ENST00000500692.6 [P46926-1];ENST00000503794.5 [P46926-1];ENST00000508177.5 [P46926-1];	10007;	hsa:10007;	10007;	GNPDA1;	HGNC:4417;	ENSG00000113552;	601798;	NX_P46926;		PA28796;	KOG3148;	ENSGT00390000014316;		FNEPCSS;	5475442at2759;	P46926;	TF300841;		3.5.99.6;	P46926;	R-HSA-70171;		GNPDA1;	ENSG00000113552;	P46926;	cd01399;		MF_01241;	IPR006148;IPR004547;IPR018321;IPR037171;	PTHR11280;PTHR11280:SF8;	PF01182;				PS01161;		SSF100950;
136	P47712	PLA2G4A	9606	ALTERNATIVE PRODUCTS:  	UPI0000203D76	CCDS1372.1;	M72393;M68874;AY552098;AL022147;AL049797;BC114340;	NP_001298122.1;NP_077734.1;XP_011507944.1;	P47712;	1BCI;1CJY;1RLW;		P47712;	111338;			DIP-40991N;		P47712;	P47712;	9606.ENSP00000356436;	P47712;	CHEMBL3816;	DB00041;DB00411;DB00578;DB06311;DB00445;DB13867;DB00588;DB05029;DB04552;DB01083;DB00721;DB01103;DB00086;DB04786;DB04827;	P47712;	SLP:000000565;									P47712;	rs28395828 rs121434634 rs12720588 rs370896190 rs121434635 rs1557895416 rs28395831 rs2307198		P47712;	P47712;	P47712;		9606-ENSP00000356436;	P47712;	55788;	ENST00000367466.4;	5321;	hsa:5321;	5321;	PLA2G4A;	HGNC:9035;	ENSG00000116711;	600522;618372;	NX_P47712;	468635;477787;	PA271;	KOG1012;KOG1325;	ENSGT01030000234606;	CLU_011663_1_1_1;	MIMALMS;	4250045at2759;	P47712;	TF325228;	MetaCyc:HS04039-MONOMER;	3.1.1.4;	P47712;	R-HSA-111995;R-HSA-1482788;R-HSA-1482798;R-HSA-1482801;R-HSA-1482839;R-HSA-1482922;R-HSA-1482925;R-HSA-1483115;R-HSA-1483166;R-HSA-2142753;R-HSA-418592;R-HSA-432142;R-HSA-6811436;	P47712;	PLA2G4A;	ENSG00000116711;		cd04036;cd07200;			IPR016035;IPR041847;IPR000008;IPR035892;IPR002642;	PTHR10728;PTHR10728:SF13;	PF00168;PF01735;				PS50004;PS51210;	SM00239;SM00022;	SSF49562;SSF52151;
137	P48067	SLC6A9	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3; Name=GlyT-1C; IsoId=P48067-1; Sequence=Displayed; Name=GlyT-1A; IsoId=P48067-2; Sequence=VSP_006270; Name=GlyT-1B; IsoId=P48067-3; Sequence=VSP_006271;	UPI000053030B	CCDS30695.1 [P48067-2];CCDS41316.1 [P48067-3];CCDS41317.1 [P48067-1];	S70609;S70612;AL139220;CH471059;CH471059;	NP_001020016.1 [P48067-2];NP_001315558.1 [P48067-2];NP_008865.2 [P48067-3];NP_964012.2 [P48067-1];		6ZBV;6ZPL;		P48067;	112427;					P48067;		9606.ENSP00000353791;	P48067;	CHEMBL2337;	DB00145;	P48067;								2.A.22.2.12;		P48067;	rs1057519313		P48067;	P48067;	P48067;		9606-ENSP00000353791;	P48067;	55861 [P48067-1];55862 [P48067-2];55863 [P48067-3];	ENST00000357730.6 [P48067-3];ENST00000360584.6 [P48067-1];ENST00000372310.8 [P48067-2];ENST00000673836.1 [P48067-2];	6536;	hsa:6536;	6536;	SLC6A9;	HGNC:11056;	ENSG00000196517;	601019;617301;	NX_P48067;	289863;289860;	PA35916;	KOG3660;	ENSGT00940000157263;	CLU_006855_9_5_1;	AQHNGVQ;	3084493at2759;	P48067;	TF343812;			P48067;	R-HSA-442660;	P48067;	Glycine_transporter_1;	ENSG00000196517;	P48067;	cd11498;			IPR000175;IPR003028;IPR037272;	PTHR11616:SF263;PTHR11616;	PF00209;		PR01204;PR00176;		PS00610;PS00754;PS50267;		SSF161070;
138	P48163	ME1	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P48163-1; Sequence=Displayed; Name=2; IsoId=P48163-2; Sequence=VSP_057051;	UPI000000127E	CCDS34492.1 [P48163-1];	X77244;L34035;AK302777;AK223417;AL049699;AL136970;AL391416;BC025246;U43944;	NP_002386.1 [P48163-1];XP_011534138.1;		2AW5;3WJA;7X11;7X12;		P48163;	110363;		CPX-7142;			P48163;		9606.ENSP00000358719;	P48163;	CHEMBL3495;	DB00157;DB03461;											P48163;			P48163;	P48163;	P48163;		9606-ENSP00000358719;	P48163;	5576;55867 [P48163-1];	ENST00000369705.4 [P48163-1];	4199;	hsa:4199;	4199;	ME1;	HGNC:6983;	ENSG00000065833;	154250;	NX_P48163;		PA30723;	KOG1257;	ENSGT00950000183134;	CLU_011405_5_0_1;	QIVNHMV;	1069499at2759;	P48163;	TF300537;		1.1.1.40;	P48163;	R-HSA-1989781;R-HSA-70268;R-HSA-9818025;	P48163;	ME1;ME1_(gene);	ENSG00000065833;		cd05312;			IPR046346;IPR015884;IPR012301;IPR037062;IPR012302;IPR001891;IPR036291;	PTHR23406;PTHR23406:SF17;	PF00390;PF03949;	PIRSF000106;	PR00072;		PS00331;	SM01274;SM00919;	SSF53223;SSF51735;
139	P48426	PIP4K2A	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P48426-1; Sequence=Displayed; Name=2; IsoId=P48426-2; Sequence=VSP_056458;	UPI0000001052	CCDS7141.1 [P48426-1];CCDS81443.1 [P48426-2];	U14957;S78798;AL513128;AL157707;AL390318;AK294817;EF445009;EF445009;AL157707;AL390318;AL513128;AL390318;AL157707;AL513128;CH471072;CH471072;BC018034;	NP_001316991.1 [P48426-2];NP_005019.2 [P48426-1];XP_016871819.1 [P48426-2];XP_016871820.1 [P48426-2];		2YBX;6OSP;6UX9;6YM3;6YM4;6YM5;7N6Z;7N71;7N7J;7N7K;7N7L;7N7M;7N7N;7N7O;8C8C;		P48426;	111322;					P48426;	P48426;	9606.ENSP00000365757;	P48426;	CHEMBL1795194;			SLP:000000855;									P48426;	rs11813789 rs2230469		P48426;	P48426;	P48426;		9606-ENSP00000365757;	P48426;	4169;55887 [P48426-1];	ENST00000376573.9 [P48426-1];ENST00000545335.5 [P48426-2];	5305;	hsa:5305;	5305;	PIP4K2A;	HGNC:8997;	ENSG00000150867;	603140;	NX_P48426;	585936;	PA162399615;	KOG0229;	ENSGT00940000156508;	CLU_004312_7_0_1;	MWGINST;	5481504at2759;	P48426;	TF354315;	MetaCyc:HS07693-MONOMER;	2.7.1.149;	P48426;	R-HSA-1660499;R-HSA-6811555;R-HSA-6811558;R-HSA-8847453;	P48426;	PIP4K2A;	ENSG00000150867;	P48426;	cd17309;			IPR023610;IPR002498;IPR027484;	PTHR23086:SF21;PTHR23086;	PF01504;				PS51455;	SM00330;	SSF56104;
140	P48506	GCLC	9606	ALTERNATIVE PRODUCTS:  	UPI000000D970	CCDS4952.1;	M90656;AY780794;AL033397;BC022487;BC039894;L39773;AF118846;	NP_001184044.1;NP_001489.1;				P48506;	108991;	P48506;	CPX-2865;			P48506;		9606.ENSP00000229416;	P48506;	CHEMBL4055;	DB14001;DB00151;DB14002;DB00142;DB00163;											P48506;	rs2066512 rs760031222 rs121907946 rs17883718		P48506;	P48506;			9606-ENSP00000229416;	P48506;	55896;	ENST00000650454.1;	2729;	hsa:2729;	2729;	GCLC;	HGNC:4311;	ENSG00000001084;	230450;606857;	NX_P48506;	586;33574;	PA28612;	KOG3754;	ENSGT00390000011908;	CLU_010467_0_0_1;	HPEYGRF;	166789at2759;	P48506;	TF105644;	MetaCyc:ENSG00000001084-MONOMER;	6.3.2.2;	P48506;	R-HSA-174403;R-HSA-5578999;R-HSA-9818027;	P48506;	GCLC;	ENSG00000001084;	P48506;				IPR004308;IPR014746;	PTHR11164;PTHR11164:SF0;	PF03074;						SSF55931;
141	P48507	GCLM	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P48507-1; Sequence=Displayed; Name=2; IsoId=P48507-2; Sequence=VSP_057008;	UPI000000D9B9	CCDS746.1 [P48507-1];CCDS81352.1 [P48507-2];	L35546;AB809606;CR541833;AY773965;AK290449;AL049796;AL117351;CH471097;CH471097;BC041809;	NP_001295182.1 [P48507-2];NP_002052.1 [P48507-1];				P48507;	108992;	P48507;	CPX-2865;			P48507;	P48507;	9606.ENSP00000359258;		CHEMBL4295765;	DB00151;DB00142;											P48507;	rs17880087		P48507;	P48507;	P48507;		9606-ENSP00000359258;	P48507;	55897 [P48507-1];	ENST00000370238.8 [P48507-1];ENST00000615724.1 [P48507-2];	2730;	hsa:2730;	2730;	GCLM;	HGNC:4312;	ENSG00000023909;	601176;	NX_P48507;		PA28613;	KOG3023;	ENSGT00510000047658;	CLU_055657_1_0_1;	CCVVPAE;	1706825at2759;	P48507;	TF105986;	MetaCyc:ENSG00000023909-MONOMER;	6.3.2.2;	P48507;	R-HSA-174403;R-HSA-5578999;R-HSA-9818027;		GCLM;	ENSG00000023909;					IPR032963;IPR023210;IPR036812;	PTHR13295;PTHR13295:SF4;	PF00248;						SSF51430;
