	Entry	Gene Names (primary)	Organism (ID)	Alternative products (isoforms)	EC number	Rhea ID	UniParc	Gene Ontology IDs	Chain	PubMed ID	CCDS	EMBL	RefSeq	BMRB	PDB	SASBDB	SMR	BioGRID	CORUM	ComplexPortal	DIP	ELM	IntAct	MINT	STRING	BindingDB	ChEMBL	DrugBank	DrugCentral	GuidetoPHARMACOLOGY	SwissLipids	Allergome	CAZy	IDEAL	MEROPS	PeroxiBase	REBASE	TCDB	DEPOD	PhosphoSitePlus	dbSNP	COMPLUYEAST-2DPAGE	EPD	MassIVE	MaxQB	PRIDE	PaxDb	PeptideAtlas	ProteomicsDB	Ensembl	EnsemblBacteria	EnsemblFungi	EnsemblMetazoa	EnsemblPlants	EnsemblProtists	GeneID	Gramene	KEGG	VectorBase	WBParaSite	ArachnoServer	CGD	ConoServer	CTD	dictyBase	EchoBASE	GeneCards	HGNC	HPA	MGI	MIM	neXtProt	Orphanet	PharmGKB	PomBase	RGD	SGD	TAIR	TubercuList	VGNC	WormBase	Xenbase	ZFIN	eggNOG	GeneTree	HOGENOM	OMA	OrthoDB	PhylomeDB	TreeFam	BioCyc	BRENDA	PathwayCommons	Reactome	SIGNOR	GeneWiki	Bgee	ExpressionAtlas	CDD	DisProt	HAMAP	InterPro	PANTHER	Pfam	PIRSF	PRINTS	PROSITE	SMART	SUPFAM
332	P52788	SMS	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P52788-1; Sequence=Displayed; Name=2; IsoId=P52788-2; Sequence=VSP_034406;	2.5.1.22	RHEA:19973	UPI0000135E88	GO:0005829; GO:0006555; GO:0006595; GO:0006597; GO:0008757; GO:0016768; GO:0070062	"CHAIN 2..366; /note=""Spermine synthase""; /id=""PRO_0000156538"""	7546290; 9299240; 14702039; 15772651; 15489334; 12665801; 14508504; 15592455; 19413330; 21269460; 23186163; 18367445; 18550699; 19206178; 22612257; 23897707; 23696453; 24680889	CCDS14203.1 [P52788-1];CCDS59161.1 [P52788-2];	Z49099;AD001528;AK313834;U53331;U73023;CH471074;BC009898;BC085621;	NP_001245352.1 [P52788-2];NP_004586.2 [P52788-1];		3C6K;3C6M;		P52788;	112495;					P52788;	P52788;	9606.ENSP00000385746;	P52788;	CHEMBL4934;	DB00127;												P52788;	rs121434610 rs397515549 rs1394834572 rs397515550 rs267607076 rs397515553		P52788;	P52788;	P52788;		9606-ENSP00000385746;	P52788;	56531 [P52788-1];56532 [P52788-2];	ENST00000379404.5 [P52788-2];ENST00000404933.7 [P52788-1];						6611;		hsa:6611;						6611;			SMS;	HGNC:11123;	ENSG00000102172;		300105;309583;	NX_P52788;	3063;	PA35972;										KOG1562;	ENSGT00870000136506;	CLU_048650_1_0_1;	FMEEWVF;	3059359at2759;	P52788;	TF324508;	MetaCyc:HS02362-MONOMER;	2.5.1.22;	P52788;	R-HSA-351202;		SMS_(gene);	ENSG00000102172;	P52788;	cd02440;			IPR030374;IPR030373;IPR029063;IPR035246;IPR037163;IPR015576;IPR040900;	PTHR46315;PTHR46315:SF1;	PF17284;PF01564;PF17950;			PS01330;PS51006;		SSF53335;
333	P52790	HK3	9606	ALTERNATIVE PRODUCTS:  	2.7.1.1	RHEA:22740 RHEA:16125 RHEA:17825	UPI000006E237	GO:0001678; GO:0004340; GO:0004396; GO:0005524; GO:0005536; GO:0005576; GO:0005739; GO:0005829; GO:0006002; GO:0006006; GO:0006096; GO:0008865; GO:0034774; GO:0046835; GO:0051156; GO:0061621; GO:1904813	"CHAIN 1..923; /note=""Hexokinase-3""; /id=""PRO_0000197590"""	8812439; 15489334; 8717435; 16959974	CCDS4407.1;	U51333;CH471195;BC028129;U42303;	NP_002106.2;		3HM8;		P52790;	109348;					P52790;	P52790;	9606.ENSP00000292432;		CHEMBL2709;													P52790;	rs35610191 rs376532514 rs755546220		P52790;	P52790;	P52790;	P52790;	9606-ENSP00000292432;	P52790;	56534;	ENST00000292432.10;						3101;		hsa:3101;						3101;			HK3;	HGNC:4925;	ENSG00000160883;		142570;	NX_P52790;		PA29303;										KOG1369;	ENSGT00950000182787;	CLU_014393_1_0_1;	VRPCEVG;	5481886at2759;	P52790;	TF314238;	MetaCyc:HS08548-MONOMER;	2.7.1.1;	P52790;	R-HSA-6798695;R-HSA-70171;	P52790;	HK3;	ENSG00000160883;	P52790;	cd00012;			IPR043129;IPR001312;IPR019807;IPR022673;IPR022672;	PTHR19443;PTHR19443:SF1;	PF00349;PF03727;		PR00475;	PS00378;PS51748;		SSF53067;
334	P52888	THOP1	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P52888-1; Sequence=Displayed; Name=2; IsoId=P52888-2; Sequence=VSP_056494, VSP_056495;	3.4.24.15		UPI0000000C3E	GO:0000209; GO:0004222; GO:0005758; GO:0005829; GO:0006508; GO:0006518; GO:0046872	"CHAIN 1..689; /note=""Thimet oligopeptidase""; /id=""PRO_0000078153"""	7639763; 14702039; 15057824; 15489334; 8286339; 19608861; 21269460; 22814378; 23186163; 24275569; 17251185	CCDS12095.1 [P52888-1];	Z50115;U29366;AK093392;AC006538;BC000135;BC002391;	NP_003240.1 [P52888-1];		1S4B;2O36;		P52888;	112921;					P52888;	P52888;	9606.ENSP00000304467;										M03.001;					P52888;			P52888;	P52888;	P52888;		9606-ENSP00000304467;	P52888;	3634;56547 [P52888-1];	ENST00000307741.11 [P52888-1];ENST00000395212.8 [P52888-2];						7064;		hsa:7064;						7064;			THOP1;	HGNC:11793;	ENSG00000172009;		601117;	NX_P52888;		PA36505;										KOG2089;	ENSGT00950000183171;	CLU_001805_2_0_1;	KNFQSAM;	735202at2759;	P52888;	TF300459;		3.4.24.15;	P52888;	R-HSA-983168;	P52888;	THOP1;	ENSG00000172009;	P52888;	cd06455;			IPR024079;IPR024077;IPR024080;IPR045090;IPR001567;	PTHR11804;PTHR11804:SF50;	PF01432;			PS00142;		SSF55486;
335	P53004	BLVRA	9606	ALTERNATIVE PRODUCTS:  	1.3.1.24	RHEA:15797 RHEA:15793	UPI0000126937	GO:0000166; GO:0004074; GO:0005829; GO:0008270; GO:0042167; GO:0070062; GO:0106276; GO:0106277	"CHAIN 3..296; /note=""Biliverdin reductase A""; /evidence=""ECO:0000269|PubMed:8631357""; /id=""PRO_0000010853"""	8950184; 8631357; 14702039; 12853948; 15489334; 8424666; 7929092; 18669648; 19413330; 19580635; 19690332; 19608861; 21269460; 23186163; 24275569; 25944712	CCDS5472.1;	U34877;X93086;AK291862;AY616754;AC005189;AC004939;AC004985;BC005902;BC008456;	NP_000703.2;NP_001240752.1;XP_011513776.1;XP_016868009.1;		2H63;		P53004;	107113;	P53004;		DIP-42180N;		P53004;	P53004;	9606.ENSP00000385757;			DB00157;												P53004;	rs699512 rs17245918 rs1050916		P53004;	P53004;	P53004;		9606-ENSP00000385757;	P53004;	56566;	ENST00000265523.9;ENST00000402924.5;						644;		hsa:644;						644;			BLVRA;	HGNC:1062;	ENSG00000106605;		109750;614156;	NX_P53004;	276405;	PA25373;										ENOG502QTSZ;	ENSGT00390000011072;	CLU_053157_0_0_1;	FICTENA;	2906063at2759;	P53004;	TF342889;	MetaCyc:HS02928-MONOMER;	1.3.1.24;	P53004;	R-HSA-189483;R-HSA-9707564;	P53004;		ENSG00000106605;	P53004;				IPR017094;IPR015249;IPR000683;IPR036291;	PTHR43377;PTHR43377:SF1;	PF09166;PF01408;	PIRSF037032;				SSF55347;SSF51735;
336	P53396	ACLY	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3; Name=1; IsoId=P53396-1; Sequence=Displayed; Name=2; IsoId=P53396-2; Sequence=VSP_042201; Name=3; IsoId=P53396-3; Sequence=VSP_057230, VSP_042201;	2.3.3.8	RHEA:21160	UPI000013CDF3	GO:0003878; GO:0005524; GO:0005576; GO:0005654; GO:0005829; GO:0006085; GO:0006099; GO:0006101; GO:0006107; GO:0006633; GO:0006695; GO:0008610; GO:0015936; GO:0016020; GO:0035578; GO:0046872; GO:0070062; GO:1904813	"CHAIN 1..1101; /note=""ATP-citrate synthase""; /id=""PRO_0000102781"""	1371749; 9116495; 14702039; 16625196; 15489334; 10653665; 16139798; 15592455; 17081983; 17924679; 18088087; 18691976; 18669648; 19286649; 19369195; 19690332; 19608861; 20068231; 21269460; 21406692; 23186163; 23932781; 24275569; 27664236; 29779826; 34491895; 20558738; 22102020	CCDS11412.1 [P53396-1];CCDS11413.1 [P53396-2];	X64330;U18197;AK295675;AK304802;AC091172;AC125257;BC006195;	NP_001087.2 [P53396-1];NP_001290203.1;NP_001290204.1;NP_942127.1 [P53396-2];XP_005257452.1 [P53396-1];XP_016880177.1;		3MWD;3MWE;3PFF;5TDE;5TDF;5TDM;5TDZ;5TE1;5TEQ;5TES;5TET;6HXH;6HXK;6HXL;6HXM;6O0H;6POE;6POF;6QFB;6UI9;6UIA;6UUW;6UUZ;6UV5;6Z2H;7LIW;7LJ9;7LLA;7RIG;7RKZ;7RMP;8G1E;8G1F;8G5C;8G5D;	P53396;	P53396;	106563;					P53396;	P53396;	9606.ENSP00000466259;	P53396;	CHEMBL3720;	DB11936;	P53396;	3245;	SLP:000000779;									P53396;	rs2304497		P53396;	P53396;	P53396;		9606-ENSP00000253792;	P53396;	56581 [P53396-1];56582 [P53396-2];5912;	ENST00000352035.7 [P53396-1];ENST00000353196.5 [P53396-2];ENST00000393896.6 [P53396-2];ENST00000537919.5 [P53396-3];ENST00000590151.5 [P53396-1];						47;		hsa:47;						47;			ACLY;	HGNC:115;	ENSG00000131473;		108728;	NX_P53396;		PA24441;										KOG1254;	ENSGT00940000154881;	CLU_006587_2_0_1;	MDYAWAK;	536at2759;	P53396;	TF300560;	MetaCyc:HS05535-MONOMER;	2.3.3.8;	P53396;	R-HSA-163765;R-HSA-6798695;R-HSA-75105;	P53396;		ENSG00000131473;	P53396;	cd06100;			IPR014608;IPR017440;IPR032263;IPR016143;IPR002020;IPR036969;IPR033847;IPR003781;IPR005811;IPR036291;IPR017866;IPR016102;	PTHR23118;PTHR23118:SF42;	PF16114;PF00285;PF02629;PF00549;	PIRSF036511;		PS01216;PS00399;PS01217;	SM00881;	SSF48256;SSF56059;SSF51735;SSF52210;
337	P53602	MVD	9606	ALTERNATIVE PRODUCTS:  	4.1.1.33	RHEA:23732	UPI000012A0C6	GO:0004163; GO:0005524; GO:0005829; GO:0006695; GO:0008284; GO:0008299; GO:0019287; GO:0030544; GO:0042803	"CHAIN 2..400; /note=""Diphosphomevalonate decarboxylase""; /id=""PRO_0000087012"""	8626466; 15489334; 9392419; 11108725; 14972328; 18669648; 19413330; 21269460; 22223895; 23186163; 24275569; 26202976; 18823933	CCDS10968.1;	U49260;BT006930;CH471184;BC000011;	NP_002452.1;		3D4J;		P53602;	110682;					P53602;		9606.ENSP00000301012;	P53602;	CHEMBL4340;			642;	SLP:000001242;									P53602;	rs200033380 rs776358937 rs144010349 rs770939767 rs776684503 rs761991070 rs34519538 rs755948940 rs764836183 rs546127665		P53602;	P53602;	P53602;		9606-ENSP00000301012;	P53602;	56588;	ENST00000301012.8;						4597;											MVD;	HGNC:7529;	ENSG00000167508;		603236;614714;	NX_P53602;	79152;	PA31330;										KOG2833;	ENSGT00390000015359;	CLU_040369_4_4_1;	LTLHAMM;	458712at2759;	P53602;	TF105952;	MetaCyc:ENSG00000167508-MONOMER;	4.1.1.33;	P53602;	R-HSA-191273;R-HSA-2426168;R-HSA-446199;	P53602;		ENSG00000167508;	P53602;				IPR036554;IPR006204;IPR005935;IPR029765;IPR041431;IPR020568;IPR014721;	PTHR10977;PTHR10977:SF3;	PF00288;PF18376;	PIRSF015950;				SSF55060;SSF54211;
338	P53985	SLC16A1	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P53985-1; Sequence=Displayed; Name=2; IsoId=P53985-2; Sequence=VSP_056191;		RHEA:29415 RHEA:71803 RHEA:71775 RHEA:64720 RHEA:71795 RHEA:71783 RHEA:71779 RHEA:29303	UPI00000012F5	GO:0005813; GO:0005886; GO:0006629; GO:0007098; GO:0008028; GO:0009925; GO:0015129; GO:0015130; GO:0015141; GO:0015650; GO:0015718; GO:0015728; GO:0016020; GO:0016323; GO:0016324; GO:0016328; GO:0030054; GO:0032094; GO:0035879; GO:0042593; GO:0042802; GO:0042867; GO:0043231; GO:0045202; GO:0046943; GO:0050796; GO:0051780; GO:0070062; GO:0071407; GO:0071422; GO:0097159; GO:0150104; GO:1901475; GO:1905039	"CHAIN 1..500; /note=""Monocarboxylate transporter 1""; /id=""PRO_0000211381"""	7835905; 11944921; 17974005; 16710414; 15489334; 10921872; 12115955; 12946269; 15505343; 15901598; 17081983; 17127621; 18691976; 18669648; 19413330; 19369195; 20068231; 21406692; 23186163; 24275569; 25390740; 24390345; 25957687; 25944712; 10590411; 17701893; 21269460; 32946811; 33333023	CCDS858.1 [P53985-1];	L31801;AJ438945;AL162079;AL158844;CH471122;BC026317;BC045664;	NP_001159968.1 [P53985-1];NP_003042.3 [P53985-1];XP_011540328.1;XP_011540329.1;		6LYY;6LZ0;7CKO;7CKR;7DA5;7YR5;		P53985;	112454;					P53985;	P53985;	9606.ENSP00000441065;	P53985;	CHEMBL4360;	DB03166;DB01762;DB03773;DB04074;DB00345;DB00415;DB08892;DB03793;DB03066;DB07767;DB00529;DB01440;DB00142;DB04398;DB09338;DB00563;DB00731;DB00627;DB04552;DB00175;DB01032;DB00119;DB04216;DB00936;DB04348;DB00313;		988;								2.A.1.13.1;		P53985;	rs11551867 rs80358222 rs606231302 rs72552271 rs1049434		P53985;	P53985;	P53985;		9606-ENSP00000441065;	P53985;	56635 [P53985-1];62023;	ENST00000369626.8 [P53985-1];ENST00000429288.2 [P53985-1];ENST00000443580.6 [P53985-1];ENST00000458229.6 [P53985-1];ENST00000538576.5 [P53985-1];ENST00000628110.2 [P53985-1];ENST00000630362.4 [P53985-1];ENST00000679803.1 [P53985-1];						6566;		hsa:6566;						6566;			SLC16A1;	HGNC:10922;	ENSG00000155380;		245340;600682;610021;616095;	NX_P53985;	165991;438075;171690;	PA35813;										KOG2504;	ENSGT00940000154955;		HLIPFSH;	2917104at2759;	P53985;	TF313792;	MetaCyc:ENSG00000155380-MONOMER;		P53985;	R-HSA-210991;R-HSA-433692;R-HSA-5619070;R-HSA-70268;R-HSA-9749641;			ENSG00000155380;	P53985;	cd17426;			IPR004743;IPR011701;IPR020846;IPR036259;	PTHR11360;PTHR11360:SF24;	PF07690;			PS50850;		SSF103473;
339	P54136	RARS1	9606	ALTERNATIVE PRODUCTS:  Event=Alternative initiation; Named isoforms=2; Name=Complexed; IsoId=P54136-1; Sequence=Displayed; Name=Monomeric; IsoId=P54136-2; Sequence=VSP_018905;	6.1.1.19	RHEA:20301	UPI0000136648	GO:0000049; GO:0004814; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006418; GO:0006420; GO:0016020; GO:0017101; GO:0034618; GO:0045296; GO:0070062	"CHAIN 1..660; /note=""Arginine--tRNA ligase, cytoplasmic""; /id=""PRO_0000035797"""	7590355; 14702039; 15489334; 12665801; 10358004; 10791971; 16055448; 16430231; 17443684; 19413330; 19131329; 19289464; 19608861; 21269460; 22223895; 22814378; 24656866; 24777941; 24275569; 24859084; 25288775	CCDS4367.1 [P54136-1];	S80343;BT007394;AK314795;AK222797;BC000528;BC014619;	NP_002878.2 [P54136-1];		4Q2T;4Q2X;4Q2Y;4R3Z;4ZAJ;		P54136;	111852;	P54136;	CPX-2469;			P54136;	P54136;	9606.ENSP00000231572;	P54136;	CHEMBL2824;													P54136;	rs672601372 rs244903 rs1059443 rs2305734 rs369398935		P54136;	P54136;	P54136;		9606-ENSP00000231572;	P54136;	56650 [P54136-1];56651 [P54136-2];	ENST00000231572.8 [P54136-1];						5917;		hsa:5917;						5917;			RARS1;	HGNC:9870;	ENSG00000113643;		107820;616140;	NX_P54136;	438114;	PA34231;										KOG4426;	ENSGT00530000063407;	CLU_006406_5_1_1;	NKPLHLG;	67085at2759;	P54136;	TF106111;		6.1.1.19;	P54136;	R-HSA-2408522;R-HSA-379716;	P54136;	RARS_(gene);	ENSG00000113643;	P54136;	cd00671;		MF_00123;	IPR001412;IPR001278;IPR005148;IPR036695;IPR035684;IPR008909;IPR014729;IPR009080;	PTHR11956:SF5;PTHR11956;	PF03485;PF05746;PF00750;		PR01038;	PS00178;	SM01016;SM00836;	SSF47323;SSF55190;SSF52374;
340	P54577	YARS1	9606	ALTERNATIVE PRODUCTS:  	6.1.1.1	RHEA:10220	UPI0000136762	GO:0000049; GO:0003723; GO:0004831; GO:0005153; GO:0005524; GO:0005615; GO:0005634; GO:0005737; GO:0005829; GO:0006437; GO:0006915; GO:0016604; GO:0036094; GO:0042594; GO:1905594	"CHAIN 1..528; /note=""Tyrosine--tRNA ligase, cytoplasmic""; /id=""PRO_0000423285""; CHAIN 2..528; /note=""Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed""; /id=""PRO_0000055673"""	8552597; 9162081; 14702039; 15489334; 12665801; 19413330; 19608861; 21269460; 22291016; 23186163; 24275569; 25944712; 12427973; 14671330; 25533949; 16429158; 24627108; 27633801; 29232904; 30304524; 36307205	CCDS368.1;	U40714;U89436;AK125213;AK223608;CH471059;CH471059;BC001933;BC004151;BC016689;	NP_003671.1;		1N3L;1NTG;1Q11;4Q93;4QBT;5THH;5THL;7ROU;	P54577;	P54577;	114134;			DIP-50415N;		P54577;	P54577;	9606.ENSP00000362576;	P54577;	CHEMBL3179;	DB08617;DB01766;DB07205;DB08371;DB02709;DB03978;DB00135;	P54577;											P54577;	rs121908833 rs2128600 rs121908834 rs1553123702 rs758897498 rs1207371448 rs1553122256		P54577;	P54577;	P54577;		9606-ENSP00000362576;	P54577;	56686;	ENST00000373477.9;						8565;		hsa:8565;						8565;			YARS1;	HGNC:12840;	ENSG00000134684;		603623;608323;619418;	NX_P54577;	100045;	PA37431;										KOG2144;KOG2241;	ENSGT00940000156949;	CLU_035267_3_0_1;	ERPEKFG;	1405752at2759;	P54577;	TF300898;		6.1.1.1;	P54577;	R-HSA-379716;	P54577;	YARS;	ENSG00000134684;	P54577;	cd02799;cd00805;			IPR002305;IPR012340;IPR014729;IPR002547;IPR002307;	PTHR11586;PTHR11586:SF43;	PF00579;PF01588;		PR01040;	PS50886;		SSF50249;SSF52374;
341	P54619	PRKAG1	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3; Name=1; IsoId=P54619-1; Sequence=Displayed; Name=2; IsoId=P54619-2; Sequence=VSP_046711; Name=3; IsoId=P54619-3; Sequence=VSP_046712;			UPI00001250B2	GO:0004672; GO:0004691; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006110; GO:0006468; GO:0006633; GO:0007165; GO:0007283; GO:0008603; GO:0010628; GO:0016020; GO:0016208; GO:0019887; GO:0019901; GO:0031588; GO:0031669; GO:0043531; GO:0045860; GO:0051170	"CHAIN 1..331; /note=""5'-AMP-activated protein kinase subunit gamma-1""; /id=""PRO_0000204377"""	8621499; 14702039; 16541075; 15489334; 14722619; 17028174; 17255938; 18403135; 18691976; 21460634; 21269460; 21680840; 24563466; 17307971; 17712357; 24275569; 17452784; 24352254; 25412657; 26952388	CCDS55824.1 [P54619-2];CCDS55825.1 [P54619-3];CCDS8777.1 [P54619-1];	U42412;BT007345;AK097606;AK293332;AC011603;BC000358;	NP_001193638.1 [P54619-3];NP_001193639.1 [P54619-2];NP_002724.1 [P54619-1];XP_006719562.1;XP_011536864.1 [P54619-2];		2UV4;2UV5;2UV6;2UV7;4CFE;4CFF;4RER;4REW;4ZHX;5EZV;5ISO;6B1U;6B2E;6C9F;6C9G;6C9H;6C9J;7JHG;7JHH;7JIJ;7M74;7MYJ;		P54619;	111558;	P54619;	CPX-5633;CPX-5787;CPX-5790;CPX-5791;	DIP-39974N;		P54619;	P54619;	9606.ENSP00000323867;	P54619;	CHEMBL2393;	DB00945;DB00131;DB12010;DB00273;						IID00660;						P54619;	rs1126930 rs34210356		P54619;	P54619;	P54619;		9606-ENSP00000323867;	P54619;	3890;56688 [P54619-1];	ENST00000316299.9 [P54619-3];ENST00000548065.7 [P54619-1];ENST00000552212.5 [P54619-2];						5571;		hsa:5571;						5571;			PRKAG1;	HGNC:9385;	ENSG00000181929;		602742;	NX_P54619;		PA33751;										KOG1764;	ENSGT00950000183019;	CLU_021740_3_0_1;	ACVKMLE;	880743at2759;	P54619;	TF313247;		2.7.11.31;	P54619;	R-HSA-1445148;R-HSA-1632852;R-HSA-2151209;R-HSA-380972;R-HSA-5628897;R-HSA-6804756;R-HSA-9613354;R-HSA-9619483;	P54619;	PRKAG1;	ENSG00000181929;	P54619;	cd04618;cd04641;			IPR000644;IPR046342;	PTHR13780:SF38;PTHR13780;	PF00571;			PS51371;	SM00116;	SSF54631;
342	P54709	ATP1B3	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P54709-1; Sequence=Displayed; Name=2; IsoId=P54709-2; Sequence=VSP_056686, VSP_056687;			UPI0000000CBB	GO:0001671; GO:0005886; GO:0005890; GO:0006883; GO:0016323; GO:0016324; GO:0030007; GO:0030674; GO:0032781; GO:0035725; GO:0036126; GO:0036376; GO:0042470; GO:0050821; GO:0051117; GO:0070062; GO:0071805; GO:0072659; GO:0086009; GO:1901018; GO:1903278; GO:1903288; GO:1990573	"CHAIN 1..279; /note=""Sodium/potassium-transporting ATPase subunit beta-3""; /id=""PRO_0000219108"""	8798450; 9457675; 14702039; 16641997; 15489334; 12754519; 17081065; 21269460; 25944712	CCDS3121.1 [P54709-1];	U51478;AF005896;AF005890;AF005891;AF005892;AF005893;AF005894;AF005895;AK293697;AC112504;BC011835;	NP_001670.1 [P54709-1];				P54709;	106973;			DIP-50717N;		P54709;	P54709;	9606.ENSP00000286371;	P54709;	CHEMBL2095186;	DB09020;DB09479;DB16690;	P54709;									3.A.3.1.1;		P54709;			P54709;	P54709;	P54709;		9606-ENSP00000286371;	P54709;	56697 [P54709-1];6354;	ENST00000286371.8 [P54709-1];						483;		hsa:483;						483;			ATP1B3;	HGNC:806;	ENSG00000069849;		601867;	NX_P54709;		PA68;										KOG3927;	ENSGT01030000234579;	CLU_057702_1_1_1;	PRIDCIS;	2880589at2759;	P54709;	TF314618;			P54709;	R-HSA-210991;R-HSA-5578775;R-HSA-936837;R-HSA-9679191;		ATP1B3;	ENSG00000069849;	P54709;				IPR000402;IPR038702;	PTHR11523;PTHR11523:SF47;	PF00287;			PS00390;
343	P55011	SLC12A2	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P55011-1; Sequence=Displayed; Name=2; IsoId=P55011-3; Sequence=VSP_006105;		RHEA:72395	UPI000013541A	GO:0005886; GO:0006811; GO:0006883; GO:0006884; GO:0006972; GO:0007214; GO:0008511; GO:0008519; GO:0009925; GO:0010818; GO:0015079; GO:0015377; GO:0016020; GO:0016323; GO:0016324; GO:0016328; GO:0019901; GO:0030007; GO:0030321; GO:0030644; GO:0030659; GO:0031253; GO:0035633; GO:0035725; GO:0035865; GO:0042995; GO:0043005; GO:0043025; GO:0044297; GO:0044298; GO:0045795; GO:0046873; GO:0051087; GO:0051879; GO:0055064; GO:0055075; GO:0055078; GO:0061044; GO:0070062; GO:0070634; GO:0071944; GO:0072488; GO:0098658; GO:0098659; GO:0098719; GO:0150003; GO:0150104; GO:1902476; GO:1903561; GO:1904450; GO:1904464; GO:1990573; GO:1990869	"CHAIN 1..1212; /note=""Solute carrier family 12 member 2""; /id=""PRO_0000178023"""	7629105; 11700976; 12145305; 16669787; 16832045; 18220336; 18669648; 21613606; 22223895; 23186163; 32081947; 33597714; 30740830; 32658972; 32754646; 32294086	CCDS4144.1 [P55011-1];CCDS58965.1 [P55011-3];	U30246;AF439152;	NP_001037.1 [P55011-1];		6PZT;7D10;7MXO;7N3N;7S1X;7S1Y;7S1Z;7SFL;7SMP;7ZGO;		P55011;	112447;			DIP-43979N;		P55011;	P55011;	9606.ENSP00000262461;	P55011;	CHEMBL1615383;	DB00887;DB11098;DB00761;DB01325;DB00214;	P55011;	969;								2.A.30.1.4;		P55011;	rs1761279419 rs537215758 rs1581138934 rs1763563407 rs1581138944 rs1581138965		P55011;	P55011;	P55011;		9606-ENSP00000262461;	P55011;	56757 [P55011-1];56758 [P55011-3];	ENST00000262461.7 [P55011-1];ENST00000343225.4 [P55011-3];						6558;		hsa:6558;						6558;			SLC12A2;	HGNC:10911;	ENSG00000064651;		600840;619080;619081;619083;	NX_P55011;	633024;633021;	PA35806;										KOG2083;	ENSGT00940000155742;	CLU_001883_0_0_1;	DTISFEM;	5490251at2759;	P55011;	TF313191;			P55011;	R-HSA-426117;	P55011;		ENSG00000064651;	P55011;				IPR004841;IPR013612;IPR002444;IPR018491;IPR002443;IPR004842;	PTHR11827:SF58;PTHR11827;	PF00324;PF08403;PF03522;		PR01207;PR01208;
