	genes	mim	type	ncbigene	hgnc.symbol	ensembl	chromosome	phenotypes	mgi
240	PDE2A	602658	gene	5138	PDE2A	ENSG00000186642	chr11	Intellectual developmental disorder with paroxysmal dyskinesia or seizures, 619150 (3)	MGI:2446107
241	PDE2A	619150	phenotype						
243	PDE3A	123805	gene	5139	PDE3A	ENSG00000172572	chr12	Hypertension and brachydactyly syndrome, 112410 (3)	MGI:1860764
242	PDE3A	112410	phenotype						
245	PDE3B	602047	gene	5140	PDE3B	ENSG00000152270	chr11		MGI:1333863
239	PDE4A	600126	gene	5141	PDE4A	ENSG00000065989	chr19		MGI:99558
224	PDE4B	600127	gene	5142	PDE4B	ENSG00000184588	chr1		MGI:99557
238	PDE4C	600128	gene	5143	PDE4C	ENSG00000105650	chr19		MGI:99556
232	PDE4D	600129	gene	5144	PDE4D	ENSG00000113448	chr5	Acrodysostosis 2, with or without hormone resistance, 614613 (3)	MGI:99555
233	PDE4D	614613	phenotype						
225	PDE7A	171885	gene	5150	PDE7A	ENSG00000205268	chr8		MGI:1202402
244	PDE7B	604645	gene	27115	PDE7B	ENSG00000171408	chr6		MGI:1352752
235	PDE8A	602972	gene	5151	PDE8A	ENSG00000073417	chr15		MGI:1277116
228	PDE8B	603390	gene	8622	PDE8B	ENSG00000113231	chr5	Pigmented nodular adrenocortical disease, primary, 3, 614190 (3)	MGI:2443999
229	PDE8B	603390	gene	8622	PDE8B	ENSG00000113231	chr5	Striatal degeneration, autosomal dominant, 609161 (3)	MGI:2443999
230	PDE8B	609161	phenotype						
231	PDE8B	614190	phenotype						
312	PDXK	179020	gene	8566	PDXK	ENSG00000160209	chr21	Neuropathy, hereditary motor and sensory, type VIC, with optic atrophy, 618511 (3)	MGI:1351869
313	PDXK	618511	phenotype						
248	PDXP	609246	gene	57026	PDXP	ENSG00000241360	chr22		MGI:1919282
507	PFKFB1	311790	gene	5207	PFKFB1	ENSG00000158571	chrX		MGI:107816
512	PFKFB2	171835	gene	5208	PFKFB2	ENSG00000123836	chr1		MGI:107815
508	PFKFB3	605319	gene	5209	PFKFB3	ENSG00000170525	chr10		MGI:2181202
511	PFKFB4	605320	gene	5210	PFKFB4	ENSG00000114268	chr3		MGI:2687284
251	PFKL	171860	gene	5211	PFKL	ENSG00000141959	chr21	Hemolytic anemia due to phosphofructokinase deficiency (1)	MGI:97547
253	PFKM	610681	gene	5213	PFKM	ENSG00000152556	chr12	Glycogen storage disease VII, 232800 (3)	MGI:97548
252	PFKM	232800	phenotype						
70	PGD	172200	gene	5226	PGD	ENSG00000142657	chr1		MGI:97553
257	PGK1	311800	gene	5230	PGK1	ENSG00000102144	chrX	Phosphoglycerate kinase 1 deficiency, 300653 (3)	MGI:97555
256	PGK1	300653	phenotype						
258	PGLS	604951	gene	25796	PGLS	ENSG00000130313	chr19		MGI:1913421
300	PGM1	171900	gene	5236	PGM1	ENSG00000079739	chr1	Congenital disorder of glycosylation, type It, 614921 (3)	MGI:97565
301	PGM1	614921	phenotype						
329	PGM2	172000	gene	55276	PGM2	ENSG00000169299	chr4		MGI:97564
437	PHOSPHO1								
272	PI4K2A	609763	gene	55361	PI4K2A	ENSG00000155252	chr10		MGI:1934031
275	PI4KA	600286	gene	5297	PI4KA	ENSG00000241973	chr22	Gastrointestinal defects and immunodeficiency syndrome 2, 619708 (3)	MGI:2448506
276	PI4KA	600286	gene	5297	PI4KA	ENSG00000241973	chr22	Polymicrogyria, perisylvian, with cerebellar hypoplasia and arthrogryposis, 616531 (3)	MGI:2448506
277	PI4KA	600286	gene	5297	PI4KA	ENSG00000241973	chr22	Spastic paraplegia 84, autosomal recessive, 619621 (3)	MGI:2448506
278	PI4KA	616531	phenotype						
279	PI4KA	619621	phenotype						
280	PI4KA	619708	phenotype						
273	PI4KB	602758	gene	5298	PI4KB	ENSG00000143393	chr1	Deafness, autosomal dominant 87, 620281 (3)	MGI:1334433
274	PI4KB	620281	phenotype						
269	PIKFYVE	609414	gene	200576	PIKFYVE	ENSG00000115020	chr2	Corneal fleck dystrophy, 121850 (3)	MGI:1335106
268	PIKFYVE	121850	phenotype						
264	PIP4K2A	603140	gene	5305	PIP4K2A	ENSG00000150867	chr10		MGI:1298206
271	PIP4K2B	603261	gene	8396	PIP4K2B	ENSG00000276293	chr17		MGI:1934234
267	PIP4K2C								
270	PIP5K1A	603275	gene	8394	PIP5K1A	ENSG00000143398	chr1		MGI:107929
263	PIP5K1B	602745	gene	8395	PIP5K1B	ENSG00000107242	chr9		MGI:107930
265	PIP5K1C	606102	gene	23396	PIP5K1C	ENSG00000186111	chr19	Lethal congenital contractural syndrome 3, 611369 (3)	MGI:1298224
266	PIP5K1C	611369	phenotype						
317	PKLR	609712	gene	5313	PKLR	ENSG00000143627	chr1	Adenosine triphosphate, elevated, of erythrocytes, 102900 (3)	MGI:97604
318	PKLR	609712	gene	5313	PKLR	ENSG00000143627	chr1	Pyruvate kinase deficiency, 266200 (3)	MGI:97604
315	PKLR	102900	phenotype						
316	PKLR	266200	phenotype						
319	PKM	179050	gene	5315	PKM	ENSG00000067225	chr15		MGI:97591
281	PLA2G2A	172411	gene	5320	PLA2G2A	ENSG00000188257	chr1	{?Colorectal cancer, susceptibility to}, 114500 (3)	MGI:104642
170	PLA2G4A	600522	gene	5321	PLA2G4A	ENSG00000116711	chr1	Gastrointestinal ulceration, recurrent, with dysfunctional platelets, 618372 (3)	MGI:1195256
171	PLA2G4A	618372	phenotype						
283	PLA2G6	603604	gene	8398	PLA2G6	ENSG00000184381	chr22	Infantile neuroaxonal dystrophy 1, 256600 (3)	MGI:1859152
284	PLA2G6	603604	gene	8398	PLA2G6	ENSG00000184381	chr22	Neurodegeneration with brain iron accumulation 2B, 610217 (3)	MGI:1859152
285	PLA2G6	603604	gene	8398	PLA2G6	ENSG00000184381	chr22	Parkinson disease 14, autosomal recessive, 612953 (3)	MGI:1859152
282	PLA2G6	256600	phenotype						
286	PLA2G6	610217	phenotype						
287	PLA2G6	612953	phenotype						
261	PLCB3	600230	gene	5331	PLCB3	ENSG00000149782	chr11	Spondylometaphyseal dysplasia with corneal dystrophy, 618961 (3)	MGI:104778
262	PLCB3	618961	phenotype						
296	PLPP1	607124	gene	8611	PLPP1	ENSG00000067113	chr5		MGI:108412
294	PLPP2	607126	gene	8612	PLPP2	ENSG00000141934	chr19		MGI:1354945
295	PLPP3	607125	gene	8613	PLPP3	ENSG00000162407	chr1		MGI:1915166
289	PMM2	601785	gene	5373	PMM2	ENSG00000140650	chr16	Congenital disorder of glycosylation, type Ia, 212065 (3)	MGI:1859214
288	PMM2	212065	phenotype						
246	PNPO	603287	gene	55163	PNPO	ENSG00000108439	chr17	Pyridoxamine 5'-phosphate oxidase deficiency, 610090 (3)	MGI:2144151
247	PNPO	610090	phenotype						
290	PPA2	609988	gene	27068	PPA2	ENSG00000138777	chr4	?Sudden cardiac failure, alcohol-induced, 617223 (3)	MGI:1922026
291	PPA2	609988	gene	27068	PPA2	ENSG00000138777	chr4	Sudden cardiac failure, infantile, 617222 (3)	MGI:1922026
292	PPA2	617222	phenotype						
293	PPA2	617223	phenotype						
74	PRDX1	176763	gene	5052	PRDX1	ENSG00000117450	chr1	Methylmalonic aciduria and homocystinuria, cblC type, digenic, 277400 (3)	MGI:99523
76	PRDX2	600538	gene	7001	PRDX2	ENSG00000167815	chr19		MGI:109486
306	PRPS1	311850	gene	5631	PRPS1	ENSG00000147224	chrX	Arts syndrome, 301835 (3)	MGI:97775
307	PRPS1	311850	gene	5631	PRPS1	ENSG00000147224	chrX	Charcot-Marie-Tooth disease, X-linked recessive, 5, 311070 (3)	MGI:97775
308	PRPS1	311850	gene	5631	PRPS1	ENSG00000147224	chrX	Deafness, X-linked 1, 304500 (3)	MGI:97775
309	PRPS1	311850	gene	5631	PRPS1	ENSG00000147224	chrX	Gout, PRPS-related, 300661 (3)	MGI:97775
310	PRPS1	311850	gene	5631	PRPS1	ENSG00000147224	chrX	Phosphoribosylpyrophosphate synthetase superactivity, 300661 (3)	MGI:97775
302	PRPS1	300661	phenotype						
303	PRPS1	301835	phenotype						
304	PRPS1	304500	phenotype						
305	PRPS1	311070	phenotype						
311	PRPS1L1	611566	gene	221823	PRPS1L1	ENSG00000229937	chr7		MGI:1922706
337	RENBP	312420	gene	5973	RENBP	ENSG00000102032	chrX		MGI:105940
320	RFK	613010	gene	55312	RFK	ENSG00000135002	chr9		MGI:1914688
205	RHAG	180297	gene	6005	RHAG	ENSG00000112077	chr6	Anemia, hemolytic, Rh-null, regulator type, 268150 (3)	MGI:1202713
206	RHAG	180297	gene	6005	RHAG	ENSG00000112077	chr6	Overhydrated hereditary stomatocytosis, 185000 (3)	MGI:1202713
207	RHAG	185000	phenotype						
208	RHAG	268150	phenotype						
209	RHBG	607079	gene	57127	RHBG	ENSG00000132677	chr1		MGI:1927379
1	RPE	180480	gene	6120	RPE	ENSG00000197713	chr2		MGI:1913896
2	RPIA	180430	gene	22934	RPIA	ENSG00000153574	chr2	Ribose 5-phosphate isomerase deficiency, 608611 (3)	MGI:103254
3	RPIA	608611	phenotype						
164	SLC12A7	604879	gene	10723	SLC12A7	ENSG00000113504	chr5		MGI:1342283
39	SLC14A1	613868	gene	6563	SLC14A1	ENSG00000141469	chr18	[Blood group, Kidd], 111000 (3)	MGI:1351654
38	SLC14A1	111000	phenotype						
456	SLC16A1	600682	gene	6566	SLC16A1	ENSG00000155380	chr1	Erythrocyte lactate transporter defect, 245340 (3)	MGI:106013
457	SLC16A1	600682	gene	6566	SLC16A1	ENSG00000155380	chr1	Hyperinsulinemic hypoglycemia, familial, 7, 610021 (3)	MGI:106013
458	SLC16A1	600682	gene	6566	SLC16A1	ENSG00000155380	chr1	Monocarboxylate transporter 1 deficiency, 616095 (3)	MGI:106013
455	SLC16A1	245340	phenotype						
459	SLC16A1	610021	phenotype						
460	SLC16A1	616095	phenotype						
487	SLC22A2	602608	gene	6582	SLC22A2	ENSG00000112499	chr6		MGI:1335072
486	SLC22A3	604842	gene	6581	SLC22A3	ENSG00000146477	chr6		MGI:1333817
370	SLC29A1	602193	gene	2030	SLC29A1	ENSG00000112759	chr6		MGI:1927073
346	SLC29A2	602110	gene	3177	SLC29A2	ENSG00000174669	chr11		MGI:1345278
472	SLC2A1	138140	gene	6513	SLC2A1	ENSG00000117394	chr1	Dystonia 9, 601042 (3)	MGI:95755
473	SLC2A1	138140	gene	6513	SLC2A1	ENSG00000117394	chr1	GLUT1 deficiency syndrome 1, infantile onset, severe, 606777 (3)	MGI:95755
474	SLC2A1	138140	gene	6513	SLC2A1	ENSG00000117394	chr1	GLUT1 deficiency syndrome 2, childhood onset, 612126 (3)	MGI:95755
475	SLC2A1	138140	gene	6513	SLC2A1	ENSG00000117394	chr1	Stomatin-deficient cryohydrocytosis with neurologic defects, 608885 (3)	MGI:95755
476	SLC2A1	138140	gene	6513	SLC2A1	ENSG00000117394	chr1	{Epilepsy, idiopathic generalized, susceptibility to, 12}, 614847 (3)	MGI:95755
477	SLC2A1	601042	phenotype						
478	SLC2A1	606777	phenotype						
479	SLC2A1	608885	phenotype						
480	SLC2A1	612126	phenotype						
481	SLC2A1	614847	phenotype						
522	SLC2A11	610367	gene	66035	SLC2A11	ENSG00000133460	chr22		
519	SLC2A2	138160	gene	6514	SLC2A2	ENSG00000163581	chr3	Fanconi-Bickel syndrome, 227810 (3)	MGI:1095438
520	SLC2A2	138160	gene	6514	SLC2A2	ENSG00000163581	chr3	{Diabetes mellitus, noninsulin-dependent}, 125853 (3)	MGI:1095438
521	SLC2A2	227810	phenotype						
49	SLC2A3	138170	gene	6515	SLC2A3	ENSG00000059804	chr12		MGI:95757
51	SLC2A4	138190	gene	6517	SLC2A4	ENSG00000181856	chr17		MGI:95758
50	SLC2A4	125853	phenotype						
518	SLC2A5	138230	gene	6518	SLC2A5	ENSG00000142583	chr1		MGI:1928369
517	SLC2A7	610371	gene	155184	SLC2A7	ENSG00000197241	chr1		MGI:3650865
523	SLC2A8	605245	gene	29988	SLC2A8	ENSG00000136856	chr9		MGI:1860103
384	SLC38A1	608490	gene	81539	SLC38A1	ENSG00000111371	chr12		MGI:2145895
383	SLC38A2	605180	gene	54407	SLC38A2	ENSG00000134294	chr12		MGI:1915010
388	SLC38A4	608065	gene	55089	SLC38A4	ENSG00000139209	chr12		MGI:1916604
182	SLC43A1	603733	gene	8501	SLC43A1	ENSG00000149150	chr11		MGI:1931352
453	SLC43A2	610791	gene	124935	SLC43A2	ENSG00000167703	chr17		MGI:2442746
114	SLC4A1	109270	gene/phenotype	6521	SLC4A1	ENSG00000004939	chr17	Cryohydrocytosis, 185020 (3)	MGI:109393
115	SLC4A1	109270	gene/phenotype	6521	SLC4A1	ENSG00000004939	chr17	Distal renal tubular acidosis 1, 179800 (3)	MGI:109393
116	SLC4A1	109270	gene/phenotype	6521	SLC4A1	ENSG00000004939	chr17	Distal renal tubular acidosis 4 with hemolytic anemia, 611590 (3)	MGI:109393
117	SLC4A1	109270	gene/phenotype	6521	SLC4A1	ENSG00000004939	chr17	Ovalocytosis, SA type, 166900 (3)	MGI:109393
118	SLC4A1	109270	gene/phenotype	6521	SLC4A1	ENSG00000004939	chr17	Spherocytosis, type 4, 612653 (3)	MGI:109393
119	SLC4A1	109270	gene/phenotype	6521	SLC4A1	ENSG00000004939	chr17	[Blood group, Diego], 110500 (3)	MGI:109393
120	SLC4A1	109270	gene/phenotype	6521	SLC4A1	ENSG00000004939	chr17	[Blood group, Froese], 601551 (3)	MGI:109393
121	SLC4A1	109270	gene/phenotype	6521	SLC4A1	ENSG00000004939	chr17	[Blood group, Swann], 601550 (3)	MGI:109393
122	SLC4A1	109270	gene/phenotype	6521	SLC4A1	ENSG00000004939	chr17	[Blood group, Waldner], 112010 (3)	MGI:109393
123	SLC4A1	109270	gene/phenotype	6521	SLC4A1	ENSG00000004939	chr17	[Blood group, Wright], 112050 (3)	MGI:109393
124	SLC4A1	109270	gene/phenotype	6521	SLC4A1	ENSG00000004939	chr17	{Malaria, resistance to}, 611162 (3)	MGI:109393
125	SLC4A1	110500	phenotype						
126	SLC4A1	112010	phenotype						
127	SLC4A1	112050	phenotype						
128	SLC4A1	130600	phenotype						
129	SLC4A1	166900	phenotype						
130	SLC4A1	179800	phenotype						
131	SLC4A1	185020	phenotype						
132	SLC4A1	601550	phenotype						
133	SLC4A1	601551	phenotype						
134	SLC4A1	611162	phenotype						
135	SLC4A1	611590	phenotype						
136	SLC4A1	612653	phenotype						
108	SLC5A1	182380	gene	6523	SLC5A1	ENSG00000100170	chr22	Glucose/galactose malabsorption, 606824 (3)	MGI:107678
109	SLC5A1	606824	phenotype						
199	SLC5A3	600444	gene	6526	SLC5A3	ENSG00000198743	chr21		MGI:1858226
201	SLC5A5	601843	gene	6528	SLC5A5	ENSG00000105641	chr19	Thyroid dyshormonogenesis 1, 274400 (3)	MGI:2149330
200	SLC5A5	274400	phenotype						
446	SLC5A7	608761	gene	60482	SLC5A7	ENSG00000115665	chr2	Myasthenic syndrome, congenital, 20, presynaptic, 617143 (3)	MGI:1927126
447	SLC5A7	608761	gene	60482	SLC5A7	ENSG00000115665	chr2	Neuronopathy, distal hereditary motor, autosomal dominant 7, 158580 (3)	MGI:1927126
445	SLC5A7	158580	phenotype						
448	SLC5A7	617143	phenotype						
386	SLC6A14	300444	gene	11254	SLC6A14	ENSG00000268104	chrX		MGI:1890216
66	SLC6A9	601019	gene	6536	SLC6A9	ENSG00000196517	chr1	Glycine encephalopathy with normal serum glycine, 617301 (3)	MGI:95760
67	SLC6A9	617301	phenotype						
387	SLC7A1	104615	gene	6541	SLC7A1	ENSG00000139514	chr13		MGI:88117
385	SLC7A2	601872	gene	6542	SLC7A2	ENSG00000003989	chr8		MGI:99828
389	SLC7A3	300443	gene	84889	SLC7A3	ENSG00000165349	chrX		MGI:1100521
404	SLCO1B1	604843	gene	10599	SLCO1B1	ENSG00000134538	chr12	Hyperbilirubinemia, Rotor type, digenic, 237450 (3)	MGI:1351899
403	SLCO1B1	237450	phenotype						
402	SLCO1B3	605495	gene	28234	SLCO1B3	ENSG00000111700	chr12	Hyperbilirubinemia, Rotor type, digenic, 237450 (3)	MGI:1351899
401	SLCO1B3	237450	phenotype						
10	SMS	300105	gene	6611	SMS	ENSG00000102172	chrX	Intellectual developmental disorder, X-linked syndromic, Snyder-Robinson type, 309583 (3)	MGI:109490;MGI:3705601
11	SMS	309583	phenotype						
5	SORD	182500	gene	6652	SORD	ENSG00000140263	chr15	Neuronopathy, distal hereditary motor, autosomal recessive 8, 618912 (3)	MGI:98266
6	SORD	618912	phenotype						
8	SRM	182891	gene	6723	SRM	ENSG00000116649	chr1		MGI:102690
183	SYNJ1	604297	gene	8867	SYNJ1	ENSG00000159082	chr21	Developmental and epileptic encephalopathy 53, 617389 (3)	MGI:1354961
184	SYNJ1	604297	gene	8867	SYNJ1	ENSG00000159082	chr21	Parkinson disease 20, early-onset, 615530 (3)	MGI:1354961
185	SYNJ1	615530	phenotype						
186	SYNJ1	617389	phenotype						
12	TALDO1	602063	gene	6888	TALDO1	ENSG00000177156	chr11	Transaldolase deficiency, 606003 (3)	MGI:1274789
13	TALDO1	606003	phenotype						
336	TAT	613018	gene	6898	TAT	ENSG00000198650	chr16	Tyrosinemia, type II, 276600 (3)	MGI:98487
335	TAT	276600	phenotype						
14	THTPA	611612	gene	79178	THTPA	ENSG00000259431	chr14		MGI:2446078
15	TKT	606781	gene	7086	TKT	ENSG00000163931	chr3	Short stature, developmental delay, and congenital heart defects, 617044 (3)	MGI:105992
16	TKT	617044	phenotype						
21	TPI1	190450	gene	7167	TPI1	ENSG00000111669	chr12	Hemolytic anemia due to triosephosphate isomerase deficiency, 615512 (3)	MGI:98797
22	TPI1	615512	phenotype						
17	TPK1	606370	gene	27010	TPK1	ENSG00000196511	chr7	Thiamine metabolism dysfunction syndrome 5 (episodic encephalopathy type), 614458 (3)	MGI:1352500
18	TPK1	614458	phenotype						
25	UGDH	603370	gene	7358	UGDH	ENSG00000109814	chr4	Developmental and epileptic encephalopathy 84, 618792 (3)	MGI:1306785
26	UGDH	618792	phenotype						
47	UGP2	191760	gene	7360	UGP2	ENSG00000169764	chr2	Developmental and epileptic encephalopathy 83, 618744 (3)	MGI:2183447
46	UGP2	191750							
48	UGP2	618744	phenotype						
407	UGT1A1	191740	gene	54658	UGT1A1	ENSG00000241635	chr2	Crigler-Najjar syndrome, type I, 218800 (3)	MGI:98898
408	UGT1A1	191740	gene	54658	UGT1A1	ENSG00000241635	chr2	Crigler-Najjar syndrome, type II, 606785 (3)	MGI:98898
409	UGT1A1	191740	gene	54658	UGT1A1	ENSG00000241635	chr2	Hyperbilirubinemia, familial transient neonatal, 237900 (3)	MGI:98898
410	UGT1A1	191740	gene	54658	UGT1A1	ENSG00000241635	chr2	[Bilirubin, serum level of, QTL1], 601816 (3)	MGI:98898
411	UGT1A1	191740	gene	54658	UGT1A1	ENSG00000241635	chr2	[Gilbert syndrome], 143500 (3)	MGI:98898
406	UGT1A1	143500	phenotype						
412	UGT1A1	218800	phenotype						
413	UGT1A1	237900	phenotype						
414	UGT1A1	601816	phenotype						
415	UGT1A1	606785	phenotype						
405	UGT1A4	606429	gene	54657	UGT1A4	ENSG00000244474	chr2		MGI:3032634
218	UMPS	613891	gene	7372	UMPS	ENSG00000114491	chr3	Orotic aciduria, 258900 (3)	MGI:1298388
217	UMPS	258900	phenotype						
35	UROD	613521	gene	7389	UROD	ENSG00000126088	chr1	Porphyria cutanea tarda, 176100 (3)	MGI:98916
36	UROD	613521	gene	7389	UROD	ENSG00000126088	chr1	Porphyria, hepatoerythropoietic, 176100 (3)	MGI:98916
34	UROD	176100	phenotype						
33	UROS	606938	gene	7390	UROS	ENSG00000188690	chr10	Porphyria, congenital erythropoietic, 263700 (3)	MGI:98917
32	UROS	263700	phenotype						
40	XYLB	604049	gene	9942	XYLB	ENSG00000093217	chr3		MGI:2142985
211	ZNF384	609951	gene	171017	ZNF384	ENSG00000126746	chr12		MGI:2443203
