	node_id	node_alias	node_source	node_type	alias_type
7734	rs373562040	rs373562040	dbsnp	snp	identifier
7735	rs3736297	rs3736297	dbsnp	snp	identifier
7736	rs373697663	rs373697663	dbsnp	snp	identifier
7737	rs3737084	rs3737084	dbsnp	snp	identifier
7738	rs373748155	rs373748155	dbsnp	snp	identifier
7739	rs373762572	rs373762572	dbsnp	snp	identifier
7740	rs373768879	rs373768879	dbsnp	snp	identifier
7741	rs3738046	rs3738046	dbsnp	snp	identifier
7742	rs3738477	rs3738477	dbsnp	snp	identifier
7743	rs373849532	rs373849532	dbsnp	snp	identifier
7744	rs373875797	rs373875797	dbsnp	snp	identifier
7745	rs373916826	rs373916826	dbsnp	snp	identifier
7746	rs373953317	rs373953317	dbsnp	snp	identifier
7747	rs3739721	rs3739721	dbsnp	snp	identifier
7748	rs3740421	rs3740421	dbsnp	snp	identifier
7749	rs374094065	rs374094065	dbsnp	snp	identifier
7750	rs3741040	rs3741040	dbsnp	snp	identifier
7751	rs374122292	rs374122292	dbsnp	snp	identifier
7752	rs3741252	rs3741252	dbsnp	snp	identifier
7753	rs374172791	rs374172791	dbsnp	snp	identifier
7754	rs374190304	rs374190304	dbsnp	snp	identifier
7755	rs3742191	rs3742191	dbsnp	snp	identifier
7756	rs3742192	rs3742192	dbsnp	snp	identifier
7757	rs374259530	rs374259530	dbsnp	snp	identifier
7758	rs374304304	rs374304304	dbsnp	snp	identifier
7759	rs3743808	rs3743808	dbsnp	snp	identifier
7760	rs374434303	rs374434303	dbsnp	snp	identifier
7761	rs3744692	rs3744692	dbsnp	snp	identifier
7762	rs3745674	rs3745674	dbsnp	snp	identifier
7763	rs374583873	rs374583873	dbsnp	snp	identifier
7764	rs3745842	rs3745842	dbsnp	snp	identifier
7765	rs374628199	rs374628199	dbsnp	snp	identifier
7766	rs3747386	rs3747386	dbsnp	snp	identifier
7767	rs3748811	rs3748811	dbsnp	snp	identifier
7768	rs3748976	rs3748976	dbsnp	snp	identifier
7769	rs3748980	rs3748980	dbsnp	snp	identifier
7770	rs3750904	rs3750904	dbsnp	snp	identifier
7771	rs3751143	rs3751143	dbsnp	snp	identifier
7772	rs3752232	rs3752232	dbsnp	snp	identifier
7773	rs3752233	rs3752233	dbsnp	snp	identifier
7774	rs3752239	rs3752239	dbsnp	snp	identifier
7775	rs3752246	rs3752246	dbsnp	snp	identifier
7776	rs375315619	rs375315619	dbsnp	snp	identifier
7777	rs3753494	rs3753494	dbsnp	snp	identifier
7778	rs375690568	rs375690568	dbsnp	snp	identifier
7779	rs375692175	rs375692175	dbsnp	snp	identifier
7780	rs375915127	rs375915127	dbsnp	snp	identifier
7781	rs3762685	rs3762685	dbsnp	snp	identifier
7782	rs376355660	rs376355660	dbsnp	snp	identifier
7783	rs3763980	rs3763980	dbsnp	snp	identifier
7784	rs3764645	rs3764645	dbsnp	snp	identifier
7785	rs3764647	rs3764647	dbsnp	snp	identifier
7786	rs376532514	rs376532514	dbsnp	snp	identifier
7787	rs376533026	rs376533026	dbsnp	snp	identifier
7788	rs3765534	rs3765534	dbsnp	snp	identifier
7789	rs376565432	rs376565432	dbsnp	snp	identifier
7790	rs376607329	rs376607329	dbsnp	snp	identifier
7791	rs376894109	rs376894109	dbsnp	snp	identifier
7792	rs376910645	rs376910645	dbsnp	snp	identifier
7793	rs376921379	rs376921379	dbsnp	snp	identifier
7794	rs376937460	rs376937460	dbsnp	snp	identifier
7795	rs377144951	rs377144951	dbsnp	snp	identifier
7796	rs377268767	rs377268767	dbsnp	snp	identifier
7797	rs377280518	rs377280518	dbsnp	snp	identifier
7798	rs3772809	rs3772809	dbsnp	snp	identifier
7799	rs377297166	rs377297166	dbsnp	snp	identifier
7800	rs3793524	rs3793524	dbsnp	snp	identifier
7801	rs3793744	rs3793744	dbsnp	snp	identifier
7802	rs3800962	rs3800962	dbsnp	snp	identifier
7803	rs3802829	rs3802829	dbsnp	snp	identifier
7804	rs3803466	rs3803466	dbsnp	snp	identifier
7805	rs3803467	rs3803467	dbsnp	snp	identifier
7806	rs3803739	rs3803739	dbsnp	snp	identifier
7807	rs3813768	rs3813768	dbsnp	snp	identifier
7808	rs3814519	rs3814519	dbsnp	snp	identifier
7809	rs3816497	rs3816497	dbsnp	snp	identifier
7810	rs3816533	rs3816533	dbsnp	snp	identifier
7811	rs3816877	rs3816877	dbsnp	snp	identifier
7812	rs3817672	rs3817672	dbsnp	snp	identifier
7813	rs3838786	rs3838786	dbsnp	snp	identifier
7814	rs386352352	rs386352352	dbsnp	snp	identifier
7815	rs387906310	rs387906310	dbsnp	snp	identifier
7816	rs387906619	rs387906619	dbsnp	snp	identifier
7817	rs387906639	rs387906639	dbsnp	snp	identifier
7818	rs387906693	rs387906693	dbsnp	snp	identifier
7819	rs387906694	rs387906694	dbsnp	snp	identifier
7820	rs387906695	rs387906695	dbsnp	snp	identifier
7821	rs387906703	rs387906703	dbsnp	snp	identifier
7822	rs387906725	rs387906725	dbsnp	snp	identifier
7823	rs387906789	rs387906789	dbsnp	snp	identifier
7824	rs387906790	rs387906790	dbsnp	snp	identifier
7825	rs387906792	rs387906792	dbsnp	snp	identifier
7826	rs387906824	rs387906824	dbsnp	snp	identifier
7827	rs387906910	rs387906910	dbsnp	snp	identifier
7828	rs387906911	rs387906911	dbsnp	snp	identifier
7829	rs387906935	rs387906935	dbsnp	snp	identifier
7830	rs387906936	rs387906936	dbsnp	snp	identifier
7831	rs387907205	rs387907205	dbsnp	snp	identifier
7832	rs387907206	rs387907206	dbsnp	snp	identifier
7833	rs387907281	rs387907281	dbsnp	snp	identifier
7834	rs387907282	rs387907282	dbsnp	snp	identifier
7835	rs387907312	rs387907312	dbsnp	snp	identifier
7836	rs387907313	rs387907313	dbsnp	snp	identifier
7837	rs3918166	rs3918166	dbsnp	snp	identifier
7838	rs3918201	rs3918201	dbsnp	snp	identifier
7839	rs3918232	rs3918232	dbsnp	snp	identifier
7840	rs3918234	rs3918234	dbsnp	snp	identifier
7841	rs397507501	rs397507501	dbsnp	snp	identifier
7842	rs397507506	rs397507506	dbsnp	snp	identifier
7843	rs397507509	rs397507509	dbsnp	snp	identifier
7844	rs397507510	rs397507510	dbsnp	snp	identifier
7845	rs397507511	rs397507511	dbsnp	snp	identifier
7846	rs397507512	rs397507512	dbsnp	snp	identifier
7847	rs397507514	rs397507514	dbsnp	snp	identifier
7848	rs397507517	rs397507517	dbsnp	snp	identifier
7849	rs397507520	rs397507520	dbsnp	snp	identifier
7850	rs397507523	rs397507523	dbsnp	snp	identifier
7851	rs397507525	rs397507525	dbsnp	snp	identifier
7852	rs397507526	rs397507526	dbsnp	snp	identifier
7853	rs397507529	rs397507529	dbsnp	snp	identifier
7854	rs397507531	rs397507531	dbsnp	snp	identifier
7855	rs397507539	rs397507539	dbsnp	snp	identifier
7856	rs397507541	rs397507541	dbsnp	snp	identifier
7857	rs397507542	rs397507542	dbsnp	snp	identifier
7858	rs397507543	rs397507543	dbsnp	snp	identifier
7859	rs397507545	rs397507545	dbsnp	snp	identifier
7860	rs397507546	rs397507546	dbsnp	snp	identifier
7861	rs397507547	rs397507547	dbsnp	snp	identifier
7862	rs397507549	rs397507549	dbsnp	snp	identifier
7863	rs397508139	rs397508139	dbsnp	snp	identifier
7864	rs397508146	rs397508146	dbsnp	snp	identifier
7865	rs397508152	rs397508152	dbsnp	snp	identifier
7866	rs397508195	rs397508195	dbsnp	snp	identifier
7867	rs397508220	rs397508220	dbsnp	snp	identifier
7868	rs397508223	rs397508223	dbsnp	snp	identifier
7869	rs397508225	rs397508225	dbsnp	snp	identifier
7870	rs397508241	rs397508241	dbsnp	snp	identifier
7871	rs397508267	rs397508267	dbsnp	snp	identifier
7872	rs397508272	rs397508272	dbsnp	snp	identifier
7873	rs397508276	rs397508276	dbsnp	snp	identifier
7874	rs397508277	rs397508277	dbsnp	snp	identifier
7875	rs397508280	rs397508280	dbsnp	snp	identifier
7876	rs397508282	rs397508282	dbsnp	snp	identifier
7877	rs397508288	rs397508288	dbsnp	snp	identifier
7878	rs397508306	rs397508306	dbsnp	snp	identifier
7879	rs397508311	rs397508311	dbsnp	snp	identifier
7880	rs397508313	rs397508313	dbsnp	snp	identifier
7881	rs397508314	rs397508314	dbsnp	snp	identifier
7882	rs397508315	rs397508315	dbsnp	snp	identifier
7883	rs397508316	rs397508316	dbsnp	snp	identifier
7884	rs397508318	rs397508318	dbsnp	snp	identifier
7885	rs397508338	rs397508338	dbsnp	snp	identifier
7886	rs397508363	rs397508363	dbsnp	snp	identifier
7887	rs397508373	rs397508373	dbsnp	snp	identifier
7888	rs397508378	rs397508378	dbsnp	snp	identifier
7889	rs397508381	rs397508381	dbsnp	snp	identifier
7890	rs397508403	rs397508403	dbsnp	snp	identifier
7891	rs397508428	rs397508428	dbsnp	snp	identifier
7892	rs397508448	rs397508448	dbsnp	snp	identifier
7893	rs397508464	rs397508464	dbsnp	snp	identifier
7894	rs397508479	rs397508479	dbsnp	snp	identifier
7895	rs397508480	rs397508480	dbsnp	snp	identifier
7896	rs397508531	rs397508531	dbsnp	snp	identifier
7897	rs397508553	rs397508553	dbsnp	snp	identifier
7898	rs397508557	rs397508557	dbsnp	snp	identifier
7899	rs397508567	rs397508567	dbsnp	snp	identifier
7900	rs397508616	rs397508616	dbsnp	snp	identifier
7901	rs397508621	rs397508621	dbsnp	snp	identifier
7902	rs397508635	rs397508635	dbsnp	snp	identifier
7903	rs397508670	rs397508670	dbsnp	snp	identifier
7904	rs397508691	rs397508691	dbsnp	snp	identifier
7905	rs397508700	rs397508700	dbsnp	snp	identifier
7906	rs397508718	rs397508718	dbsnp	snp	identifier
7907	rs397508759	rs397508759	dbsnp	snp	identifier
7908	rs397508765	rs397508765	dbsnp	snp	identifier
7909	rs397508780	rs397508780	dbsnp	snp	identifier
7910	rs397508783	rs397508783	dbsnp	snp	identifier
7911	rs397508790	rs397508790	dbsnp	snp	identifier
7912	rs397508804	rs397508804	dbsnp	snp	identifier
7913	rs397508817	rs397508817	dbsnp	snp	identifier
7914	rs397508819	rs397508819	dbsnp	snp	identifier
7915	rs397509345	rs397509345	dbsnp	snp	identifier
7916	rs397509395	rs397509395	dbsnp	snp	identifier
7917	rs397509422	rs397509422	dbsnp	snp	identifier
7918	rs397509424	rs397509424	dbsnp	snp	identifier
7919	rs397509425	rs397509425	dbsnp	snp	identifier
7920	rs397509426	rs397509426	dbsnp	snp	identifier
7921	rs397514452	rs397514452	dbsnp	snp	identifier
7922	rs397514453	rs397514453	dbsnp	snp	identifier
7923	rs397514454	rs397514454	dbsnp	snp	identifier
7924	rs397514464	rs397514464	dbsnp	snp	identifier
7925	rs397514465	rs397514465	dbsnp	snp	identifier
7926	rs397514466	rs397514466	dbsnp	snp	identifier
7927	rs397514467	rs397514467	dbsnp	snp	identifier
7928	rs397514468	rs397514468	dbsnp	snp	identifier
7929	rs397514469	rs397514469	dbsnp	snp	identifier
7930	rs397514489	rs397514489	dbsnp	snp	identifier
7931	rs397514490	rs397514490	dbsnp	snp	identifier
7932	rs397514491	rs397514491	dbsnp	snp	identifier
7933	rs397514493	rs397514493	dbsnp	snp	identifier
7934	rs397514502	rs397514502	dbsnp	snp	identifier
7935	rs397514537	rs397514537	dbsnp	snp	identifier
7936	rs397514540	rs397514540	dbsnp	snp	identifier
7937	rs397514553	rs397514553	dbsnp	snp	identifier
7938	rs397514559	rs397514559	dbsnp	snp	identifier
7939	rs397514560	rs397514560	dbsnp	snp	identifier
7940	rs397514564	rs397514564	dbsnp	snp	identifier
7941	rs397514707	rs397514707	dbsnp	snp	identifier
7942	rs397514735	rs397514735	dbsnp	snp	identifier
7943	rs397514745	rs397514745	dbsnp	snp	identifier
7944	rs397514746	rs397514746	dbsnp	snp	identifier
7945	rs397514756	rs397514756	dbsnp	snp	identifier
7946	rs397514757	rs397514757	dbsnp	snp	identifier
7947	rs397514758	rs397514758	dbsnp	snp	identifier
7948	rs397515330	rs397515330	dbsnp	snp	identifier
7949	rs397515433	rs397515433	dbsnp	snp	identifier
7950	rs397515527	rs397515527	dbsnp	snp	identifier
7951	rs397515528	rs397515528	dbsnp	snp	identifier
7952	rs397515549	rs397515549	dbsnp	snp	identifier
7953	rs397515550	rs397515550	dbsnp	snp	identifier
7954	rs397515553	rs397515553	dbsnp	snp	identifier
7955	rs397515559	rs397515559	dbsnp	snp	identifier
7956	rs397516790	rs397516790	dbsnp	snp	identifier
7957	rs397516797	rs397516797	dbsnp	snp	identifier
7958	rs397517042	rs397517042	dbsnp	snp	identifier
7959	rs397518416	rs397518416	dbsnp	snp	identifier
7960	rs397518420	rs397518420	dbsnp	snp	identifier
7961	rs397518461	rs397518461	dbsnp	snp	identifier
7962	rs397518462	rs397518462	dbsnp	snp	identifier
7963	rs398122379	rs398122379	dbsnp	snp	identifier
7964	rs398122403	rs398122403	dbsnp	snp	identifier
7965	rs398122813	rs398122813	dbsnp	snp	identifier
7966	rs398122855	rs398122855	dbsnp	snp	identifier
7967	rs398122887	rs398122887	dbsnp	snp	identifier
7968	rs398122912	rs398122912	dbsnp	snp	identifier
7969	rs398122917	rs398122917	dbsnp	snp	identifier
7970	rs398122936	rs398122936	dbsnp	snp	identifier
7971	rs398123069	rs398123069	dbsnp	snp	identifier
7972	rs398123309	rs398123309	dbsnp	snp	identifier
7973	rs398123311	rs398123311	dbsnp	snp	identifier
7974	rs398123314	rs398123314	dbsnp	snp	identifier
7975	rs398123316	rs398123316	dbsnp	snp	identifier
7976	rs398123317	rs398123317	dbsnp	snp	identifier
7977	rs398123477	rs398123477	dbsnp	snp	identifier
7978	rs398123479	rs398123479	dbsnp	snp	identifier
7979	rs398123546	rs398123546	dbsnp	snp	identifier
7980	rs398123562	rs398123562	dbsnp	snp	identifier
7981	rs41271499	rs41271499	dbsnp	snp	identifier
7982	rs41274720	rs41274720	dbsnp	snp	identifier
7983	rs41276886	rs41276886	dbsnp	snp	identifier
7984	rs41279408	rs41279408	dbsnp	snp	identifier
7985	rs41281039	rs41281039	dbsnp	snp	identifier
7986	rs41282401	rs41282401	dbsnp	snp	identifier
7987	rs41291971	rs41291971	dbsnp	snp	identifier
7988	rs41292782	rs41292782	dbsnp	snp	identifier
7989	rs41295774	rs41295774	dbsnp	snp	identifier
7990	rs41295879	rs41295879	dbsnp	snp	identifier
7991	rs41295942	rs41295942	dbsnp	snp	identifier
7992	rs41296590	rs41296590	dbsnp	snp	identifier
7993	rs41298067	rs41298067	dbsnp	snp	identifier
7994	rs41298293	rs41298293	dbsnp	snp	identifier
7995	rs41298977	rs41298977	dbsnp	snp	identifier
7996	rs41301381	rs41301381	dbsnp	snp	identifier
7997	rs41302905	rs41302905	dbsnp	snp	identifier
7998	rs41303465	rs41303465	dbsnp	snp	identifier
7999	rs41303501	rs41303501	dbsnp	snp	identifier
8000	rs41307640	rs41307640	dbsnp	snp	identifier
8001	rs41314549	rs41314549	dbsnp	snp	identifier
8002	rs41330850	rs41330850	dbsnp	snp	identifier
8003	rs41331747	rs41331747	dbsnp	snp	identifier
8004	rs41338947	rs41338947	dbsnp	snp	identifier
8005	rs41344646	rs41344646	dbsnp	snp	identifier
8006	rs41361546	rs41361546	dbsnp	snp	identifier
8007	rs41364652	rs41364652	dbsnp	snp	identifier
8008	rs41378349	rs41378349	dbsnp	snp	identifier
8009	rs41392146	rs41392146	dbsnp	snp	identifier
8010	rs41395947	rs41395947	dbsnp	snp	identifier
8011	rs41397847	rs41397847	dbsnp	snp	identifier
8012	rs41404150	rs41404150	dbsnp	snp	identifier
8013	rs41410450	rs41410450	dbsnp	snp	identifier
8014	rs41462048	rs41462048	dbsnp	snp	identifier
8015	rs41469945	rs41469945	dbsnp	snp	identifier
8016	rs41475844	rs41475844	dbsnp	snp	identifier
8017	rs4147918	rs4147918	dbsnp	snp	identifier
8018	rs4147934	rs4147934	dbsnp	snp	identifier
8019	rs41479347	rs41479347	dbsnp	snp	identifier
8020	rs41479844	rs41479844	dbsnp	snp	identifier
8021	rs4148356	rs4148356	dbsnp	snp	identifier
8022	rs4148460	rs4148460	dbsnp	snp	identifier
8023	rs4148725	rs4148725	dbsnp	snp	identifier
8024	rs41491146	rs41491146	dbsnp	snp	identifier
8025	rs41494447	rs41494447	dbsnp	snp	identifier
8026	rs41515649	rs41515649	dbsnp	snp	identifier
8027	rs41518249	rs41518249	dbsnp	snp	identifier
8028	rs41525149	rs41525149	dbsnp	snp	identifier
8029	rs41528545	rs41528545	dbsnp	snp	identifier
8030	rs41529844	rs41529844	dbsnp	snp	identifier
8031	rs41557318	rs41557318	dbsnp	snp	identifier
8032	rs431905501	rs431905501	dbsnp	snp	identifier
8033	rs449856	rs449856	dbsnp	snp	identifier
8034	rs4526148	rs4526148	dbsnp	snp	identifier
8035	rs45449793	rs45449793	dbsnp	snp	identifier
8036	rs45454092	rs45454092	dbsnp	snp	identifier
8037	rs45458701	rs45458701	dbsnp	snp	identifier
8038	rs45461899	rs45461899	dbsnp	snp	identifier
8039	rs45476795	rs45476795	dbsnp	snp	identifier
8040	rs45477596	rs45477596	dbsnp	snp	identifier
8041	rs45495897	rs45495897	dbsnp	snp	identifier
8042	rs45504892	rs45504892	dbsnp	snp	identifier
8043	rs45511401	rs45511401	dbsnp	snp	identifier
8044	rs45517537	rs45517537	dbsnp	snp	identifier
8045	rs45529437	rs45529437	dbsnp	snp	identifier
8046	rs45530133	rs45530133	dbsnp	snp	identifier
8047	rs45541435	rs45541435	dbsnp	snp	identifier
8048	rs45547936	rs45547936	dbsnp	snp	identifier
8049	rs45556333	rs45556333	dbsnp	snp	identifier
8050	rs45557031	rs45557031	dbsnp	snp	identifier
8051	rs45562031	rs45562031	dbsnp	snp	identifier
8052	rs45563137	rs45563137	dbsnp	snp	identifier
8053	rs45567334	rs45567334	dbsnp	snp	identifier
8054	rs45568837	rs45568837	dbsnp	snp	identifier
8055	rs45573936	rs45573936	dbsnp	snp	identifier
8056	rs45575636	rs45575636	dbsnp	snp	identifier
8057	rs45581032	rs45581032	dbsnp	snp	identifier
8058	rs45582934	rs45582934	dbsnp	snp	identifier
8059	rs45596335	rs45596335	dbsnp	snp	identifier
8060	rs45605536	rs45605536	dbsnp	snp	identifier
8061	rs45606432	rs45606432	dbsnp	snp	identifier
8062	rs45628633	rs45628633	dbsnp	snp	identifier
8063	rs45629036	rs45629036	dbsnp	snp	identifier
8064	rs45630737	rs45630737	dbsnp	snp	identifier
8065	rs4646201	rs4646201	dbsnp	snp	identifier
8066	rs4648279	rs4648279	dbsnp	snp	identifier
8067	rs4672	rs4672	dbsnp	snp	identifier
8068	rs4680	rs4680	dbsnp	snp	identifier
8069	rs473267	rs473267	dbsnp	snp	identifier
8070	rs4746	rs4746	dbsnp	snp	identifier
8071	rs4762	rs4762	dbsnp	snp	identifier
8072	rs4767	rs4767	dbsnp	snp	identifier
8073	rs4791641	rs4791641	dbsnp	snp	identifier
8074	rs4807	rs4807	dbsnp	snp	identifier
8075	rs4816	rs4816	dbsnp	snp	identifier
8076	rs4826245	rs4826245	dbsnp	snp	identifier
8077	rs483352684	rs483352684	dbsnp	snp	identifier
8078	rs4836639	rs4836639	dbsnp	snp	identifier
8079	rs4902283	rs4902283	dbsnp	snp	identifier
8080	rs4925	rs4925	dbsnp	snp	identifier
8081	rs4986871	rs4986871	dbsnp	snp	identifier
8082	rs4987121	rs4987121	dbsnp	snp	identifier
8083	rs5018	rs5018	dbsnp	snp	identifier
8084	rs5019	rs5019	dbsnp	snp	identifier
8085	rs5022	rs5022	dbsnp	snp	identifier
8086	rs5023	rs5023	dbsnp	snp	identifier
8087	rs5025	rs5025	dbsnp	snp	identifier
8088	rs5026	rs5026	dbsnp	snp	identifier
8089	rs5030751	rs5030751	dbsnp	snp	identifier
8090	rs5030752	rs5030752	dbsnp	snp	identifier
8091	rs5030868	rs5030868	dbsnp	snp	identifier
8092	rs5030869	rs5030869	dbsnp	snp	identifier
8093	rs5030872	rs5030872	dbsnp	snp	identifier
8094	rs5031015	rs5031015	dbsnp	snp	identifier
8095	rs5035	rs5035	dbsnp	snp	identifier
8096	rs5036	rs5036	dbsnp	snp	identifier
8097	rs5037	rs5037	dbsnp	snp	identifier
8098	rs5041	rs5041	dbsnp	snp	identifier
8099	rs5054	rs5054	dbsnp	snp	identifier
8100	rs5056	rs5056	dbsnp	snp	identifier
8101	rs5057	rs5057	dbsnp	snp	identifier
8102	rs5061	rs5061	dbsnp	snp	identifier
8103	rs5062	rs5062	dbsnp	snp	identifier
8104	rs512770	rs512770	dbsnp	snp	identifier
8105	rs5272	rs5272	dbsnp	snp	identifier
8106	rs527236148	rs527236148	dbsnp	snp	identifier
8107	rs527236149	rs527236149	dbsnp	snp	identifier
8108	rs527236150	rs527236150	dbsnp	snp	identifier
8109	rs5273	rs5273	dbsnp	snp	identifier
8110	rs52800171	rs52800171	dbsnp	snp	identifier
8111	rs52826008	rs52826008	dbsnp	snp	identifier
8112	rs52836744	rs52836744	dbsnp	snp	identifier
8113	rs528448732	rs528448732	dbsnp	snp	identifier
8114	rs528467258	rs528467258	dbsnp	snp	identifier
8115	rs528655917	rs528655917	dbsnp	snp	identifier
8116	rs534926223	rs534926223	dbsnp	snp	identifier
8117	rs534960245	rs534960245	dbsnp	snp	identifier
8118	rs536175170	rs536175170	dbsnp	snp	identifier
8119	rs536681257	rs536681257	dbsnp	snp	identifier
8120	rs536814318	rs536814318	dbsnp	snp	identifier
8121	rs537215758	rs537215758	dbsnp	snp	identifier
8122	rs538368217	rs538368217	dbsnp	snp	identifier
8123	rs539585071	rs539585071	dbsnp	snp	identifier
8124	rs5397	rs5397	dbsnp	snp	identifier
8125	rs5400	rs5400	dbsnp	snp	identifier
8126	rs540053239	rs540053239	dbsnp	snp	identifier
8127	rs540935874	rs540935874	dbsnp	snp	identifier
8128	rs541098659	rs541098659	dbsnp	snp	identifier
8129	rs541208827	rs541208827	dbsnp	snp	identifier
8130	rs541408630	rs541408630	dbsnp	snp	identifier
8131	rs542652468	rs542652468	dbsnp	snp	identifier
8132	rs542876370	rs542876370	dbsnp	snp	identifier
8133	rs5434	rs5434	dbsnp	snp	identifier
8134	rs5447	rs5447	dbsnp	snp	identifier
8135	rs5450	rs5450	dbsnp	snp	identifier
8136	rs5453	rs5453	dbsnp	snp	identifier
8137	rs5455	rs5455	dbsnp	snp	identifier
8138	rs5456	rs5456	dbsnp	snp	identifier
8139	rs5461	rs5461	dbsnp	snp	identifier
8140	rs546127665	rs546127665	dbsnp	snp	identifier
8141	rs5465	rs5465	dbsnp	snp	identifier
8142	rs546693824	rs546693824	dbsnp	snp	identifier
8143	rs547013163	rs547013163	dbsnp	snp	identifier
8144	rs548137246	rs548137246	dbsnp	snp	identifier
8145	rs549006436	rs549006436	dbsnp	snp	identifier
8146	rs549295725	rs549295725	dbsnp	snp	identifier
8147	rs549446	rs549446	dbsnp	snp	identifier
8148	rs549477447	rs549477447	dbsnp	snp	identifier
8149	rs550365194	rs550365194	dbsnp	snp	identifier
8150	rs550423482	rs550423482	dbsnp	snp	identifier
8151	rs551209435	rs551209435	dbsnp	snp	identifier
8152	rs551275663	rs551275663	dbsnp	snp	identifier
8153	rs551784583	rs551784583	dbsnp	snp	identifier
8154	rs551883218	rs551883218	dbsnp	snp	identifier
8155	rs552951774	rs552951774	dbsnp	snp	identifier
8156	rs554254383	rs554254383	dbsnp	snp	identifier
8157	rs555935217	rs555935217	dbsnp	snp	identifier
8158	rs556155	rs556155	dbsnp	snp	identifier
8159	rs55666418	rs55666418	dbsnp	snp	identifier
8160	rs55699712	rs55699712	dbsnp	snp	identifier
8161	rs55702630	rs55702630	dbsnp	snp	identifier
8162	rs557052809	rs557052809	dbsnp	snp	identifier
8163	rs55722810	rs55722810	dbsnp	snp	identifier
8164	rs55724992	rs55724992	dbsnp	snp	identifier
8165	rs55754218	rs55754218	dbsnp	snp	identifier
8166	rs55756402	rs55756402	dbsnp	snp	identifier
8167	rs557577836	rs557577836	dbsnp	snp	identifier
8168	rs55778349	rs55778349	dbsnp	snp	identifier
8169	rs55780547	rs55780547	dbsnp	snp	identifier
8170	rs55782848	rs55782848	dbsnp	snp	identifier
8171	rs55799101	rs55799101	dbsnp	snp	identifier
8172	rs55818316	rs55818316	dbsnp	snp	identifier
8173	rs55852620	rs55852620	dbsnp	snp	identifier
8174	rs55852813	rs55852813	dbsnp	snp	identifier
8175	rs55859133	rs55859133	dbsnp	snp	identifier
8176	rs55870409	rs55870409	dbsnp	snp	identifier
8177	rs55875349	rs55875349	dbsnp	snp	identifier
8178	rs558826439	rs558826439	dbsnp	snp	identifier
8179	rs55894011	rs55894011	dbsnp	snp	identifier
8180	rs55906835	rs55906835	dbsnp	snp	identifier
8181	rs559088058	rs559088058	dbsnp	snp	identifier
8182	rs55911144	rs55911144	dbsnp	snp	identifier
8183	rs55911249	rs55911249	dbsnp	snp	identifier
8184	rs55911801	rs55911801	dbsnp	snp	identifier
8185	rs55923222	rs55923222	dbsnp	snp	identifier
8186	rs55940927	rs55940927	dbsnp	snp	identifier
8187	rs55948437	rs55948437	dbsnp	snp	identifier
8188	rs55968863	rs55968863	dbsnp	snp	identifier
8189	rs559784211	rs559784211	dbsnp	snp	identifier
8190	rs56015776	rs56015776	dbsnp	snp	identifier
8191	rs56017162	rs56017162	dbsnp	snp	identifier
8192	rs56029020	rs56029020	dbsnp	snp	identifier
8193	rs56029200	rs56029200	dbsnp	snp	identifier
8194	rs56038081	rs56038081	dbsnp	snp	identifier
8195	rs56061056	rs56061056	dbsnp	snp	identifier
8196	rs56067280	rs56067280	dbsnp	snp	identifier
8197	rs56073403	rs56073403	dbsnp	snp	identifier
8198	rs56082459	rs56082459	dbsnp	snp	identifier
8199	rs56085217	rs56085217	dbsnp	snp	identifier
8200	rs560952220	rs560952220	dbsnp	snp	identifier
8201	rs56108438	rs56108438	dbsnp	snp	identifier
8202	rs56141211	rs56141211	dbsnp	snp	identifier
8203	rs56143363	rs56143363	dbsnp	snp	identifier
8204	rs561449819	rs561449819	dbsnp	snp	identifier
8205	rs56154494	rs56154494	dbsnp	snp	identifier
8206	rs56161402	rs56161402	dbsnp	snp	identifier
8207	rs56187107	rs56187107	dbsnp	snp	identifier
8208	rs561903908	rs561903908	dbsnp	snp	identifier
8209	rs562015640	rs562015640	dbsnp	snp	identifier
8210	rs56216806	rs56216806	dbsnp	snp	identifier
8211	rs56218010	rs56218010	dbsnp	snp	identifier
8212	rs562403512	rs562403512	dbsnp	snp	identifier
8213	rs56262445	rs56262445	dbsnp	snp	identifier
8214	rs56264133	rs56264133	dbsnp	snp	identifier
8215	rs56340103	rs56340103	dbsnp	snp	identifier
8216	rs56348461	rs56348461	dbsnp	snp	identifier
8217	rs56351358	rs56351358	dbsnp	snp	identifier
8218	rs56384680	rs56384680	dbsnp	snp	identifier
8219	rs56395521	rs56395521	dbsnp	snp	identifier
8220	rs564764153	rs564764153	dbsnp	snp	identifier
8221	rs565898944	rs565898944	dbsnp	snp	identifier
8222	rs566620411	rs566620411	dbsnp	snp	identifier
8223	rs567511139	rs567511139	dbsnp	snp	identifier
8224	rs568009639	rs568009639	dbsnp	snp	identifier
8225	rs568589179	rs568589179	dbsnp	snp	identifier
8226	rs56993041	rs56993041	dbsnp	snp	identifier
8227	rs571210585	rs571210585	dbsnp	snp	identifier
8228	rs571555115	rs571555115	dbsnp	snp	identifier
8229	rs572122562	rs572122562	dbsnp	snp	identifier
8230	rs57374291	rs57374291	dbsnp	snp	identifier
8231	rs574051756	rs574051756	dbsnp	snp	identifier
8232	rs5745934	rs5745934	dbsnp	snp	identifier
8233	rs57467915	rs57467915	dbsnp	snp	identifier
8234	rs575139300	rs575139300	dbsnp	snp	identifier
8235	rs575222284	rs575222284	dbsnp	snp	identifier
