Entry	Entry Name	Protein	Protein Names	Gene Names (Primary)	Length	Mass
P15311	EZRI_HUMAN	EZRI	Ezrin (Cytovillin) (Villin-2) (p81)	EZR	586	69413
P15374	UCHL3_HUMAN	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3 (UCH-L3) (EC 3.4.19.12) (Ubiquitin thioesterase L3)	UCHL3	230	26183
P15531	NDKA_HUMAN	NDKA	Nucleoside diphosphate kinase A (NDK A) (NDP kinase A) (EC 2.7.4.6) (Granzyme A-activated DNase) (GAAD) (Metastasis inhibition factor nm23) (NM23-H1) (Tumor metastatic process-associated protein)	NME1	152	17149
P15880	RS2_HUMAN	RS2	Small ribosomal subunit protein uS5 (40S ribosomal protein S2) (40S ribosomal protein S4) (Protein LLRep3)	RPS2	293	31324
P15924	DESP_HUMAN	DESP	Desmoplakin (DP) (250/210 kDa paraneoplastic pemphigus antigen)	DSP	2871	331774
P16070	CD44_HUMAN	CD44	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	CD44	742	81538
P16083	NQO2_HUMAN	NQO2	Ribosyldihydronicotinamide dehydrogenase [quinone] (EC 1.10.5.1) (NRH dehydrogenase [quinone] 2) (NRH:quinone oxidoreductase 2) (Quinone reductase 2) (QR2)	NQO2	231	25919
P16152	CBR1_HUMAN	CBR1	"Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)]) (EC 1.1.1.196, EC 1.1.1.197) (20-beta-hydroxysteroid dehydrogenase) (Alcohol dehydrogenase [NAD(P)+] CBR1) (EC 1.1.1.71) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase) (PG-9-KR) (Prostaglandin-E(2) 9-reductase) (EC 1.1.1.189) (Short chain dehydrogenase/reductase family 21C member 1)"	CBR1	277	30375
P16157	ANK1_HUMAN	ANK1	Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)	ANK1	1881	206265
P16452	EPB42_HUMAN	EPB42	Protein 4.2 (P4.2) (Erythrocyte membrane protein band 4.2) (Erythrocyte protein 4.2)	EPB42	691	77009
P16671	CD36_HUMAN	CD36	Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36)	CD36	472	53053
P16930	FAAA_HUMAN	FAAA	Fumarylacetoacetase (FAA) (EC 3.7.1.2) (Beta-diketonase) (Fumarylacetoacetate hydrolase)	FAH	419	46374
P16949	STMN1_HUMAN	STMN1	Stathmin (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18) (Op18) (Phosphoprotein p19) (pp19) (Prosolin) (Protein Pr22) (pp17)	STMN1	149	17303
P16989	YBOX3_HUMAN	YBOX3	Y-box-binding protein 3 (Cold shock domain-containing protein A) (DNA-binding protein A) (Single-strand DNA-binding protein NF-GMB)	YBX3	372	40090
P17174	AATC_HUMAN	AATC	"Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)"	GOT1	413	46248
P17612	KAPCA_HUMAN	KAPCA	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	PRKACA	351	40590
P17655	CAN2_HUMAN	CAN2	Calpain-2 catalytic subunit (EC 3.4.22.53) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain large polypeptide L2) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain)	CAPN2	700	79995
P17812	PYRG1_HUMAN	PYRG1	CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)	CTPS1	591	66690
P17858	PFKAL_HUMAN	PFKAL	"ATP-dependent 6-phosphofructokinase, liver type (ATP-PFK) (PFK-L) (EC 2.7.1.11) (6-phosphofructokinase type B) (Phosphofructo-1-kinase isozyme B) (PFK-B) (Phosphohexokinase)"	PFKL	780	85018
P17927	CR1_HUMAN	CR1	Complement receptor type 1 (C3b/C4b receptor) (CD antigen CD35)	CR1	2039	223663
P17931	LEG3_HUMAN	LEG3	Galectin-3 (Gal-3) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Galactose-specific lectin 3) (Galactoside-binding protein) (GALBP) (IgE-binding protein) (L-31) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen)	LGALS3	250	26152
P17936	IBP3_HUMAN	IBP3	Insulin-like growth factor-binding protein 3 (IBP-3) (IGF-binding protein 3) (IGFBP-3)	IGFBP3	291	31674
P17980	PRS6A_HUMAN	PRS6A	26S proteasome regulatory subunit 6A (26S proteasome AAA-ATPase subunit RPT5) (Proteasome 26S subunit ATPase 3) (Proteasome subunit P50) (Tat-binding protein 1) (TBP-1)	PSMC3	439	49204
P17987	TCPA_HUMAN	TCPA	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha) (Chaperonin containing T-complex polypeptide 1 subunit 1)	TCP1	556	60344
P18085	ARF4_HUMAN	ARF4	ADP-ribosylation factor 4	ARF4	180	20511
P18206	VINC_HUMAN	VINC	Vinculin (Metavinculin) (MV)	VCL	1134	123799
P18428	LBP_HUMAN	LBP	Lipopolysaccharide-binding protein (LBP)	LBP	481	53384
P18577	RHCE_HUMAN	RHCE	Blood group Rh(CE) polypeptide (Rh polypeptide 1) (RhPI) (Rh30A) (RhIXB) (Rhesus C/E antigens) (CD antigen CD240CE)	RHCE	417	45451
P18621	RL17_HUMAN	RL17	Large ribosomal subunit protein uL22 (60S ribosomal protein L17) (60S ribosomal protein L23) (PD-1)	RPL17	184	21397
P18669	PGAM1_HUMAN	PGAM1	Phosphoglycerate mutase 1 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 1) (Phosphoglycerate mutase isozyme B) (PGAM-B)	PGAM1	254	28804
P19256	LFA3_HUMAN	LFA3	Lymphocyte function-associated antigen 3 (Ag3) (Surface glycoprotein LFA-3) (CD antigen CD58)	CD58	250	28147
P19367	HXK1_HUMAN	HXK1	Hexokinase-1 (EC 2.7.1.1) (Brain form hexokinase) (Hexokinase type I) (HK I) (Hexokinase-A)	HK1	917	102486
P19474	RO52_HUMAN	RO52	E3 ubiquitin-protein ligase TRIM21 (EC 2.3.2.27) (52 kDa Ro protein) (52 kDa ribonucleoprotein autoantigen Ro/SS-A) (RING finger protein 81) (Ro(SS-A)) (Sjoegren syndrome type A antigen) (SS-A) (Tripartite motif-containing protein 21)	TRIM21	475	54170
P19623	SPEE_HUMAN	SPEE	Spermidine synthase (SPDSY) (EC 2.5.1.16) (Putrescine aminopropyltransferase)	SRM	302	33825
P19652	A1AG2_HUMAN	A1AG2	Alpha-1-acid glycoprotein 2 (AGP 2) (Orosomucoid-2) (OMD 2)	ORM2	201	23603
P19784	CSK22_HUMAN	CSK22	Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1)	CSNK2A2	350	41213
P19823	ITIH2_HUMAN	ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2 (ITI heavy chain H2) (ITI-HC2) (Inter-alpha-inhibitor heavy chain 2) (Inter-alpha-trypsin inhibitor complex component II) (Serum-derived hyaluronan-associated protein) (SHAP)	ITIH2	946	106463
P19827	ITIH1_HUMAN	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1 (ITI heavy chain H1) (ITI-HC1) (Inter-alpha-inhibitor heavy chain 1) (Inter-alpha-trypsin inhibitor complex component III) (Serum-derived hyaluronan-associated protein) (SHAP)	ITIH1	911	101389
P20020	AT2B1_HUMAN	AT2B1	Plasma membrane calcium-transporting ATPase 1 (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 1) (PMCA1) (Plasma membrane calcium pump isoform 1)	ATP2B1	1220	134685
P20042	IF2B_HUMAN	IF2B	Eukaryotic translation initiation factor 2 subunit 2 (Eukaryotic translation initiation factor 2 subunit beta) (eIF2-beta)	EIF2S2	333	38388
P20073	ANXA7_HUMAN	ANXA7	Annexin A7 (Annexin VII) (Annexin-7) (Synexin)	ANXA7	488	52739
P20290	BTF3_HUMAN	BTF3	Transcription factor BTF3 (Nascent polypeptide-associated complex subunit beta) (NAC-beta) (RNA polymerase B transcription factor 3)	BTF3	206	22168
P20339	RAB5A_HUMAN	RAB5A	Ras-related protein Rab-5A (EC 3.6.5.2)	RAB5A	215	23659
P20340	RAB6A_HUMAN	RAB6A	Ras-related protein Rab-6A (Rab-6)	RAB6A	208	23593
P20618	PSB1_HUMAN	PSB1	Proteasome subunit beta type-1 (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain) (Proteasome subunit beta-6) (beta-6)	PSMB1	241	26489
P20742	PZP_HUMAN	PZP	Pregnancy zone protein (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 6)	PZP	1482	163863
P20810	ICAL_HUMAN	ICAL	Calpastatin (Calpain inhibitor) (Sperm BS-17 component)	CAST	708	76573
P21266	GSTM3_HUMAN	GSTM3	Glutathione S-transferase Mu 3 (EC 2.5.1.18) (GST class-mu 3) (GSTM3-3) (hGSTM3-3)	GSTM3	225	26560
P21281	VATB2_HUMAN	VATB2	"V-type proton ATPase subunit B, brain isoform (V-ATPase subunit B 2) (Endomembrane proton pump 58 kDa subunit) (HO57) (Vacuolar proton pump subunit B 2)"	ATP6V1B2	511	56501
P21283	VATC1_HUMAN	VATC1	V-type proton ATPase subunit C 1 (V-ATPase subunit C 1) (Vacuolar proton pump subunit C 1)	ATP6V1C1	382	43942
P21333	FLNA_HUMAN	FLNA	Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)	FLNA	2647	280739
P21399	ACOHC_HUMAN	ACOHC	Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Ferritin repressor protein) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1)	ACO1	889	98399
P21964	COMT_HUMAN	COMT	Catechol O-methyltransferase (EC 2.1.1.6)	COMT	271	30037
P21980	TGM2_HUMAN	TGM2	Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (Erythrocyte transglutaminase) (Heart G alpha(h)) (hhG alpha(h)) (Isopeptidase TGM2) (EC 3.4.-.-) (Protein G alpha(h)) (G(h)) (Protein-glutamine deamidase TGM2) (EC 3.5.1.44) (Protein-glutamine dopaminyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine histaminyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine noradrenalinyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine serotonyltransferase TGM2) (EC 2.3.1.-) (Tissue transglutaminase) (tTG) (tTgase) (Transglutaminase C) (TG(C)) (TGC) (TGase C) (Transglutaminase H) (TGase H) (Transglutaminase II) (TGase II) (Transglutaminase-2) (TG2) (TGase-2) (hTG2)	TGM2	687	77329
P22061	PIMT_HUMAN	PIMT	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PIMT) (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl/D-aspartyl methyltransferase) (Protein-beta-aspartate methyltransferase)	PCMT1	227	24636
P22102	PUR2_HUMAN	PUR2	Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase); Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)]	GART	1010	107767
P22234	PUR6_HUMAN	PUR6	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase (PAICS) [Includes: Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC); Phosphoribosylaminoimidazole succinocarboxamide synthetase (EC 6.3.2.6) (SAICAR synthetase)]	PAICS	425	47079
P22303	ACES_HUMAN	ACES	Acetylcholinesterase (AChE) (EC 3.1.1.7)	ACHE	614	67796
P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1)	UBA1	1058	117849
P22352	GPX3_HUMAN	GPX3	Glutathione peroxidase 3 (GPx-3) (GSHPx-3) (EC 1.11.1.9) (Extracellular glutathione peroxidase) (Plasma glutathione peroxidase) (GPx-P) (GSHPx-P)	GPX3	226	25552
P22392	NDKB_HUMAN	NDKB	Nucleoside diphosphate kinase B (NDK B) (NDP kinase B) (EC 2.7.4.6) (C-myc purine-binding transcription factor PUF) (Histidine protein kinase NDKB) (EC 2.7.13.3) (nm23-H2)	NME2	152	17298
P22792	CPN2_HUMAN	CPN2	Carboxypeptidase N subunit 2 (Carboxypeptidase N 83 kDa chain) (Carboxypeptidase N large subunit) (Carboxypeptidase N polypeptide 2) (Carboxypeptidase N regulatory subunit)	CPN2	545	60557
P22830	HEMH_HUMAN	HEMH	"Ferrochelatase, mitochondrial (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase)"	FECH	423	47862
P23142	FBLN1_HUMAN	FBLN1	Fibulin-1 (FIBL-1)	FBLN1	703	77214
P23193	TCEA1_HUMAN	TCEA1	Transcription elongation factor A protein 1 (Transcription elongation factor S-II protein 1) (Transcription elongation factor TFIIS.o)	TCEA1	301	33970
P23258	TBG1_HUMAN	TBG1	Tubulin gamma-1 chain (Gamma-1-tubulin) (Gamma-tubulin complex component 1) (GCP-1)	TUBG1	451	51170
P23276	KELL_HUMAN	KELL	Kell blood group glycoprotein (EC 3.4.24.-) (CD antigen CD238)	KEL	732	82824
P23284	PPIB_HUMAN	PPIB	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)	PPIB	216	23743
P23381	SYWC_HUMAN	SYWC	"Tryptophan--tRNA ligase, cytoplasmic (EC 6.1.1.2) (Interferon-induced protein 53) (IFP53) (Tryptophanyl-tRNA synthetase) (TrpRS) (hWRS) [Cleaved into: T1-TrpRS; T2-TrpRS]"	WARS1	471	53165
P23396	RS3_HUMAN	RS3	Small ribosomal subunit protein uS3 (40S ribosomal protein S3) (EC 4.2.99.18)	RPS3	243	26688
P23443	KS6B1_HUMAN	KS6B1	Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (Serine/threonine-protein kinase 14A) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA)	RPS6KB1	525	59140
P23526	SAHH_HUMAN	SAHH	Adenosylhomocysteinase (AdoHcyase) (EC 3.13.2.1) (S-adenosyl-L-homocysteine hydrolase)	AHCY	432	47716
P23528	COF1_HUMAN	COF1	"Cofilin-1 (18 kDa phosphoprotein) (p18) (Cofilin, non-muscle isoform)"	CFL1	166	18502
P23588	IF4B_HUMAN	IF4B	Eukaryotic translation initiation factor 4B (eIF-4B)	EIF4B	611	69151
P23634	AT2B4_HUMAN	AT2B4	Plasma membrane calcium-transporting ATPase 4 (PMCA4) (EC 7.2.2.10) (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4)	ATP2B4	1241	137920
P23743	DGKA_HUMAN	DGKA	Diacylglycerol kinase alpha (DAG kinase alpha) (EC 2.7.1.107) (EC 2.7.1.93) (80 kDa diacylglycerol kinase) (Diglyceride kinase alpha) (DGK-alpha)	DGKA	735	82630
P23919	KTHY_HUMAN	KTHY	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	DTYMK	212	23819
P23921	RIR1_HUMAN	RIR1	Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase subunit M1) (Ribonucleotide reductase large subunit)	RRM1	792	90070
P24298	ALAT1_HUMAN	ALAT1	Alanine aminotransferase 1 (ALT1) (EC 2.6.1.2) (Glutamate pyruvate transaminase 1) (GPT 1) (Glutamic--alanine transaminase 1) (Glutamic--pyruvic transaminase 1)	GPT	496	54637
P24666	PPAC_HUMAN	PPAC	Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.48) (Adipocyte acid phosphatase) (Low molecular weight cytosolic acid phosphatase) (EC 3.1.3.2) (Red cell acid phosphatase 1)	ACP1	158	18042
P24752	THIL_HUMAN	THIL	"Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)"	ACAT1	427	45200
P24941	CDK2_HUMAN	CDK2	Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2) (p33 protein kinase)	CDK2	298	33930
P25311	ZA2G_HUMAN	ZA2G	Zinc-alpha-2-glycoprotein (Zn-alpha-2-GP) (Zn-alpha-2-glycoprotein)	AZGP1	298	34259
P25325	THTM_HUMAN	THTM	3-mercaptopyruvate sulfurtransferase (MST) (EC 2.8.1.2)	MPST	297	33178
P25398	RS12_HUMAN	RS12	Small ribosomal subunit protein eS12 (40S ribosomal protein S12)	RPS12	132	14515
P25445	TNR6_HUMAN	TNR6	Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95)	FAS	335	37732
P25685	DNJB1_HUMAN	DNJB1	DnaJ homolog subfamily B member 1 (DnaJ protein homolog 1) (Heat shock 40 kDa protein 1) (HSP40) (Heat shock protein 40) (Human DnaJ protein 1) (hDj-1)	DNAJB1	340	38044
P25686	DNJB2_HUMAN	DNJB2	DnaJ homolog subfamily B member 2 (Heat shock 40 kDa protein 3) (Heat shock protein J1) (HSJ-1)	DNAJB2	324	35580
P25705	ATPA_HUMAN	ATPA	"ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)"	ATP5F1A	553	59751
P25786	PSA1_HUMAN	PSA1	Proteasome subunit alpha type-1 (30 kDa prosomal protein) (PROS-30) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain) (Proteasome subunit alpha-6) (alpha-6)	PSMA1	263	29556
P25787	PSA2_HUMAN	PSA2	Proteasome subunit alpha type-2 (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3) (Proteasome subunit alpha-2) (alpha-2)	PSMA2	234	25899
P25788	PSA3_HUMAN	PSA3	Proteasome subunit alpha type-3 (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8) (Proteasome subunit alpha-7) (alpha-7)	PSMA3	255	28433
P25789	PSA4_HUMAN	PSA4	Proteasome subunit alpha type-4 (Macropain subunit C9) (Multicatalytic endopeptidase complex subunit C9) (Proteasome component C9) (Proteasome subunit L) (Proteasome subunit alpha-3) (alpha-3)	PSMA4	261	29484
P26022	PTX3_HUMAN	PTX3	Pentraxin-related protein PTX3 (Pentaxin-related protein PTX3) (Tumor necrosis factor alpha-induced protein 5) (TNF alpha-induced protein 5) (Tumor necrosis factor-inducible gene 14 protein) (TSG-14)	PTX3	381	41976
P26038	MOES_HUMAN	MOES	Moesin (Membrane-organizing extension spike protein)	MSN	577	67820
P26373	RL13_HUMAN	RL13	Large ribosomal subunit protein eL13 (60S ribosomal protein L13) (Breast basic conserved protein 1)	RPL13	211	24261
P26447	S10A4_HUMAN	S10A4	Protein S100-A4 (Calvasculin) (Metastasin) (Placental calcium-binding protein) (Protein Mts1) (S100 calcium-binding protein A4)	S100A4	101	11729
P26599	PTBP1_HUMAN	PTBP1	Polypyrimidine tract-binding protein 1 (PTB) (57 kDa RNA-binding protein PPTB-1) (Heterogeneous nuclear ribonucleoprotein I) (hnRNP I)	PTBP1	557	59633
P26639	SYTC_HUMAN	SYTC	"Threonine--tRNA ligase 1, cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase 1)"	TARS1	723	83435
P26640	SYVC_HUMAN	SYVC	Valine--tRNA ligase (EC 6.1.1.9) (Protein G7a) (Valyl-tRNA synthetase) (ValRS)	VARS1	1264	140476
P26641	EF1G_HUMAN	EF1G	Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)	EEF1G	437	50119
P27105	STOM_HUMAN	STOM	Stomatin (Erythrocyte band 7 integral membrane protein) (Erythrocyte membrane protein band 7.2) (Protein 7.2b)	STOM	288	31731
P27169	PON1_HUMAN	PON1	Serum paraoxonase/arylesterase 1 (PON 1) (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1) (Aromatic esterase 1) (A-esterase 1) (K-45) (Serum aryldialkylphosphatase 1)	PON1	355	39731
P27348	1433T_HUMAN	1433T	14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1)	YWHAQ	245	27764
P27361	MK03_HUMAN	MK03	Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)	MAPK3	379	43136
P27448	MARK3_HUMAN	MARK3	MAP/microtubule affinity-regulating kinase 3 (EC 2.7.11.1) (C-TAK1) (cTAK1) (Cdc25C-associated protein kinase 1) (ELKL motif kinase 2) (EMK-2) (Protein kinase STK10) (Ser/Thr protein kinase PAR-1) (Par-1a) (Serine/threonine-protein kinase p78)	MARK3	753	84429
P27449	VATL_HUMAN	VATL	V-type proton ATPase 16 kDa proteolipid subunit c (V-ATPase 16 kDa proteolipid subunit c) (Vacuolar proton pump 16 kDa proteolipid subunit c)	ATP6V0C	155	15736
P27701	CD82_HUMAN	CD82	CD82 antigen (C33 antigen) (IA4) (Inducible membrane protein R2) (Metastasis suppressor Kangai-1) (Suppressor of tumorigenicity 6 protein) (Tetraspanin-27) (Tspan-27) (CD antigen CD82)	CD82	267	29626
P27708	PYR1_HUMAN	PYR1	Multifunctional protein CAD (Carbamoyl phosphate synthetase 2-aspartate transcarbamylase-dihydroorotase) [Includes: Glutamine-dependent carbamoyl phosphate synthase (EC 6.3.5.5); Glutamine amidotransferase (GATase) (GLNase) (EC 3.5.1.2); Ammonium-dependent carbamoyl phosphate synthase (CPS) (CPSase) (EC 6.3.4.16); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)]	CAD	2225	242984
P27797	CALR_HUMAN	CALR	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP) (grp60)	CALR	417	48142
P27824	CALX_HUMAN	CALX	Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90)	CANX	592	67568
P28062	PSB8_HUMAN	PSB8	Proteasome subunit beta type-8 (EC 3.4.25.1) (Low molecular mass protein 7) (Macropain subunit C13) (Multicatalytic endopeptidase complex subunit C13) (Proteasome component C13) (Proteasome subunit beta-5i) (Really interesting new gene 10 protein)	PSMB8	276	30354
P28066	PSA5_HUMAN	PSA5	Proteasome subunit alpha type-5 (Macropain zeta chain) (Multicatalytic endopeptidase complex zeta chain) (Proteasome subunit alpha-5) (alpha-5) (Proteasome zeta chain)	PSMA5	241	26411
P28070	PSB4_HUMAN	PSB4	Proteasome subunit beta type-4 (26 kDa prosomal protein) (HsBPROS26) (PROS-26) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3) (HsN3) (Proteasome subunit beta-7) (beta-7)	PSMB4	264	29204
P28072	PSB6_HUMAN	PSB6	Proteasome subunit beta type-6 (EC 3.4.25.1) (Macropain delta chain) (Multicatalytic endopeptidase complex delta chain) (Proteasome delta chain) (Proteasome subunit Y) (Proteasome subunit beta-1) (beta-1)	PSMB6	239	25358
P28074	PSB5_HUMAN	PSB5	Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain epsilon chain) (Multicatalytic endopeptidase complex epsilon chain) (Proteasome chain 6) (Proteasome epsilon chain) (Proteasome subunit MB1) (Proteasome subunit X) (Proteasome subunit beta-5) (beta-5)	PSMB5	263	28480
P28161	GSTM2_HUMAN	GSTM2	Glutathione S-transferase Mu 2 (EC 2.5.1.18) (GST class-mu 2) (GSTM2-2)	GSTM2	218	25745
P28289	TMOD1_HUMAN	TMOD1	Tropomodulin-1 (Erythrocyte tropomodulin) (E-Tmod)	TMOD1	359	40569
P28482	MK01_HUMAN	MK01	Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)	MAPK1	360	41390
P28676	GRAN_HUMAN	GRAN	Grancalcin	GCA	217	24010
P28838	AMPL_HUMAN	AMPL	Cytosol aminopeptidase (EC 3.4.11.1) (Cysteinylglycine-S-conjugate dipeptidase) (EC 3.4.13.23) (Leucine aminopeptidase 3) (LAP-3) (Leucyl aminopeptidase) (Peptidase S) (Proline aminopeptidase) (EC 3.4.11.5) (Prolyl aminopeptidase)	LAP3	519	56166
P29144	TPP2_HUMAN	TPP2	Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II)	TPP2	1249	138350
P29218	IMPA1_HUMAN	IMPA1	Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)	IMPA1	277	30189
P29401	TKT_HUMAN	TKT	Transketolase (TK) (EC 2.2.1.1)	TKT	623	67878
P29622	KAIN_HUMAN	KAIN	Kallistatin (Kallikrein inhibitor) (Peptidase inhibitor 4) (PI-4) (Serpin A4)	SERPINA4	427	48542
P29692	EF1D_HUMAN	EF1D	Elongation factor 1-delta (EF-1-delta) (Antigen NY-CO-4)	EEF1D	281	31122
P29972	AQP1_HUMAN	AQP1	Aquaporin-1 (AQP-1) (Aquaporin-CHIP) (Channel-like integral membrane protein of 28 kDa) (Urine water channel)	AQP1	269	28526
P29992	GNA11_HUMAN	GNA11	Guanine nucleotide-binding protein subunit alpha-11 (G alpha-11) (G-protein subunit alpha-11) (EC 3.6.5.-) (Guanine nucleotide-binding protein G(y) subunit alpha)	GNA11	359	42123
P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29 (ERp29) (Endoplasmic reticulum resident protein 28) (ERp28) (Endoplasmic reticulum resident protein 31) (ERp31)	ERP29	261	28993
